"종목","기호","거래소","부문","산업"
"BDO Unibank","BDO","필리핀","금융","지방 은행"
"Bank of the Philippine Islands","BPI","필리핀","금융","지방 은행"
"Metropolitan Bank","MBT","필리핀","금융","지방 은행"
"LT Group","LTG","필리핀","금융","지방 은행"
"Security Bank","SECB","필리핀","금융","지방 은행"
"Philtrust Bank","PTC","필리핀","금융","지방 은행"
"Union Bank","UBP","필리핀","금융","지방 은행"
"China Banking","CHIB","필리핀","금융","지방 은행"
"Philippine National Bank","PNB","필리핀","금융","지방 은행"
"Rizal Commercial Banking","RCB","필리핀","금융","지방 은행"
"Synergy Grid","SGP","필리핀","금융","다종 금융 서비스"
"Asia United Bank","AUB","필리핀","금융","지방 은행"
"East West Banking","EW","필리핀","금융","지방 은행"
"LBC Express","LBC","필리핀","금융","투자 서비스"
"Philippine Savings Bank","PSB","필리핀","금융","단기금융시장은행"
"Philippine Stock Exchange","PSE","필리핀","금융","투자 서비스"
"Global Ferronickel","FNI","필리핀","금융","투자 서비스"
"Philippine Business Bank","PBB","필리핀","금융","저축대부조합/저축은행"
"COL Financial","COL","필리핀","금융","투자 서비스"
"Philippine Bank of Communications","PBC","필리핀","금융","지방 은행"
"BDO Leasing","BLFI","필리핀","금융","소비자 금융 서비스"
"Asiabest Group","ABG","필리핀","금융","다종 금융 서비스"
"Vantage Equities","V","필리핀","금융","소비자 금융 서비스"
"National Reinsuranceoration","NRCP","필리핀","금융","보험 (손해)"
"Bright Kindle","BKR","필리핀","금융","소비자 금융 서비스"
"Lodestar Investment","LIHC","필리핀","금융","다종 금융 서비스"
"Republic Glass","REG","필리핀","금융","투자 서비스"
"ISM Communications","ISM","필리핀","금융","다종 금융 서비스"
"Asia Amalgamated","AAA","필리핀","금융","다종 금융 서비스"
"BHI","BH","필리핀","금융","다종 금융 서비스"
"AG Finance","FERRO","필리핀","금융","소비자 금융 서비스"
"Mabuhay","MHC","필리핀","금융","다종 금융 서비스"
"Prime Media","PRIM","필리핀","금융","다종 금융 서비스"
"First Abacus Fin","FAF","필리핀","금융","투자 서비스"
"Makati Finance","MFIN","필리핀","금융","소비자 금융 서비스"
"Citystate Savings Bank","CSB","필리핀","금융","지방 은행"
"Zeus","ZHI","필리핀","금융","다종 금융 서비스"
"Jackstones","JAS","필리핀","금융","투자 서비스"
"Filipino Fund","FFI","필리핀","금융","다종 금융 서비스"
"Medco","MED","필리핀","금융","투자 서비스"
"Unioil Resources","UNI","필리핀","금융","투자 서비스"
"Manulife Financial Corporation","MFC","필리핀","금융","보험 (생명)"
"Sun Life Fin.","SLF","필리핀","금융","보험 (생명)"
