"종목","기호","거래소","부문","산업"
"Hi P International Ltd","HIPI","싱가포르","기초 소재","조립식 플라스틱과 고무"
"HALCYON Agri Corp Ltd","HALC","싱가포르","기초 소재","화학 제품 – 플라스틱과 고무"
"Straits Trading Company Ltd","STCM","싱가포르","기초 소재","금속 광업"
"China Sunsine Chemical Holdings Ltd","CHSN","싱가포르","기초 소재","화학제조"
"Delong Holdings","DELO","싱가포르","기초 소재","철과 철강"
"Midas Holdings Ltd","MIDA","싱가포르","기초 소재","다종 조립 제품"
"Kingboard Copper Foil Holdings Ltd","KCFH","싱가포르","기초 소재","다종 조립 제품"
"Nordic Group Ltd","NRGL","싱가포르","기초 소재","다종 조립 제품"
"UPP Holdings Ltd","UPPS","싱가포르","기초 소재","종이와 종이 제품"
"Alliance Mineral Assets Ltd","ALLI","싱가포르","기초 소재","금속 광업"
"Lee Metal Group Ltd","LEEM","싱가포르","기초 소재","철과 철강"
"Tai Sin Electric Ltd","TAIS","싱가포르","기초 소재","다종 조립 제품"
"LTC Corp","LTCL","싱가포르","기초 소재","철과 철강"
"Fu Yu Corporation Ltd","FUYU","싱가포르","기초 소재","화학 제품 – 플라스틱과 고무"
"Samurai 2K Aerosol","SAMR","싱가포르","기초 소재","화학제조"
"Hanwell Holdings Ltd","HANW","싱가포르","기초 소재","종이와 종이 제품"
"Wilton Resources Corporation Ltd","WILT","싱가포르","기초 소재","금과 은"
"Tat Seng Packaging Group Ltd","TASE","싱가포르","기초 소재","컨테이너와 포장"
"Jiutian Chemical Group Ltd","JUTN","싱가포르","기초 소재","화학제조"
"HupSteel Ltd","HUPS","싱가포르","기초 소재","다종 조립 제품"
"New Toyo International Holdings Ltd","NTYO","싱가포르","기초 소재","컨테이너와 포장"
"CNMC Goldmine Holdings Ltd","CNMC","싱가포르","기초 소재","금과 은"
"Yorkshine Holdings","YORK","싱가포르","기초 소재","다종 조립 제품"
"Dutech Holdings Ltd","DTHL","싱가포르","기초 소재","다종 조립 제품"
"Soo Kee Group Ltd","SOOK","싱가포르","기초 소재","다종 조립 제품"
"Allied Technologies Ltd","ALLT","싱가포르","기초 소재","다종 조립 제품"
"Kencana Agri Ltd","KCAL","싱가포르","기초 소재","임업과 목재 제품"
"Asia Enterprises Holding Ltd","AEHL","싱가포르","기초 소재","다종 조립 제품"
"Dynamic Colours","DYCL","싱가포르","기초 소재","조립식 플라스틱과 고무"
"Oriental Group Ltd","ORIE","싱가포르","기초 소재","철과 철강"
"Southern Packaging","SOUT","싱가포르","기초 소재","컨테이너와 포장"
"Sin Ghee Huat Corp Ltd","SGHC","싱가포르","기초 소재","다종 조립 제품"
"MegaChem Ltd","MEGA","싱가포르","기초 소재","화학제조"
"HG Metal Manufacturing Ltd","HGMM","싱가포르","기초 소재","다종 조립 제품"
"Green Build Technology Ltd","GREE","싱가포르","기초 소재","컨테이너와 포장"
"Gaylin","GAYL","싱가포르","기초 소재","다종 조립 제품"
"LHT Holdings Ltd","LHTH","싱가포르","기초 소재","컨테이너와 포장"
"AP Oil International Ltd","AOIL","싱가포르","기초 소재","화학제조"
"Amplefield Ltd","AMPL","싱가포르","기초 소재","다종 조립 제품"
"Sunvic Chemical Holdings Ltd","SVCH","싱가포르","기초 소재","화학제조"
"Regal International Group Ltd","REGI","싱가포르","기초 소재","다종 조립 제품"
"CosmoSteel Holdings Ltd","COSM","싱가포르","기초 소재","다종 조립 제품"
"Intraco Ltd","ITRS","싱가포르","기초 소재","조립식 플라스틱과 고무"
"Anchor Resources","ANCH","싱가포르","기초 소재","금속 광업"
"Sen Yue Holdings","SENY","싱가포르","기초 소재","다종 조립 제품"
"AsiaPhos Ltd","ASIP","싱가포르","기초 소재","비금속 광업"
"Union Steel Holdings Ltd","UNIS","싱가포르","기초 소재","철과 철강"
"AEI Corporation Ltd","AEIC","싱가포르","기초 소재","다종 조립 제품"
"New Wave Holdings Ltd","NEWW","싱가포르","기초 소재","금속 광업"
"ICP Ltd","ICPL","싱가포르","기초 소재","다종 조립 제품"
"Full Apex","FULL","싱가포르","기초 소재","컨테이너와 포장"
"Shinvest Holding","SHIN","싱가포르","기초 소재","다종 조립 제품"
"Metal Component Engineering Ltd","META","싱가포르","기초 소재","다종 조립 제품"
"Renewable Energy Asia Group Ltd","REAG","싱가포르","기초 소재","다종 조립 제품"
"USP Group Ltd","USPG","싱가포르","기초 소재","다종 조립 제품"
"Anchun International Holdings Ltd","ANIH","싱가포르","기초 소재","화학제조"
"Sincap Group Ltd","SINC","싱가포르","기초 소재","금속 광업"
"Hoe Leong Corporation Ltd","HLEC","싱가포르","기초 소재","다종 조립 제품"
"China Medical Int","CHIM","싱가포르","기초 소재","철과 철강"
"Fabchem China Ltd","FBCH","싱가포르","기초 소재","화학제조"
"Soon Lian Holdings Ltd","SNLN","싱가포르","기초 소재","다종 조립 제품"
"LionGold Corp Ltd","LION","싱가포르","기초 소재","금과 은"
