"종목","기호","거래소","부문","산업"
"Singapore Telecommunications Ltd","STEL","싱가포르","서비스","통신 서비스"
"Singapore Telecommunications Ltd","STELy","싱가포르","서비스","통신 서비스"
"Alibaba Pictures","ALIB","싱가포르","서비스","영화"
"HK Land Holdings","HKLD","싱가포르","서비스","부동산 운용"
"Genting international","GENS","싱가포르","서비스","호텔과 모텔"
"City Development","CTDM","싱가포르","서비스","호텔과 모텔"
"Dairy Farm Intl Holdings","DAIR","싱가포르","서비스","소매(식료잡화)"
"Frasers Property","FRPL","싱가포르","서비스","부동산 운용"
"Singapore press hldg","SPRM","싱가포르","서비스","인쇄와 출판"
"Starhub","STAR","싱가포르","서비스","통신 서비스"
"Mandarin Oriental International Ltd","MOIL","싱가포르","서비스","호텔과 모텔"
"GuocoLand Ltd","GUOC","싱가포르","서비스","부동산 운용"
"Hotel Properties Ltd","HPPS","싱가포르","서비스","호텔과 모텔"
"Oxley Holdings Ltd","OXHL","싱가포르","서비스","부동산 운용"
"OUE Ltd","OVES","싱가포르","서비스","호텔과 모텔"
"Frasers Logistics","FRAE","싱가포르","서비스","부동산 운용"
"M1 Ltd","MONE","싱가포르","서비스","통신 서비스"
"CITIC Envirotech","CITI","싱가포르","서비스","폐기물 관리 서비스"
"OUE Hospitality Trust","OUER","싱가포르","서비스","부동산 운용"
"Perennial Real Estate Holdings Ltd","PERE","싱가포르","서비스","부동산 운용"
"Sheng Siong Group Ltd","SHEN","싱가포르","서비스","소매(백화점과 할인점)"
"Far East Hospitality Trust","FAEH","싱가포르","서비스","부동산 운용"
"SIIC Environment Holdings Ltd","SIIC","싱가포르","서비스","폐기물 관리 서비스"
"GL Ltd","GLLI","싱가포르","서비스","호텔과 모텔"
"Hotel Grand Central Ltd","HGCS","싱가포르","서비스","호텔과 모텔"
"Metro Holdings Ltd","MTHL","싱가포르","서비스","소매(백화점과 할인점)"
"Talkmed Group Ltd","TALK","싱가포르","서비스","개인 서비스"
"Cromwell European RE","CROM","싱가포르","서비스","부동산 운용"
"Viva Industrial Trust","VIVA","싱가포르","서비스","부동산 운용"
"HRnetGroup","HRNE","싱가포르","서비스","사업 서비스"
"Roxy Pacific Holdings LTD","RXYP","싱가포르","서비스","부동산 운용"
"Straco Corporation Ltd","STRA","싱가포르","서비스","여가 활동"
"MM2 Asia","MM2A","싱가포르","서비스","영화"
"Bund Center Investment Ltd","BCIL","싱가포르","서비스","부동산 운용"
"Vicom Ltd","VCOM","싱가포르","서비스","사업 서비스"
"Bonvests Holdings Ltd","BVHS","싱가포르","서비스","호텔과 모텔"
"Banyan Tree Holdings Ltd","BANY","싱가포르","서비스","호텔과 모텔"
"Unusual","UNUS","싱가포르","서비스","렌탈과 리스"
"Hour Glass","HRGS","싱가포르","서비스","소매(전문)"
"APAC Realty","APAC","싱가포르","서비스","부동산 운용"
"Stamford Land Corporation Ltd","SFLD","싱가포르","서비스","호텔과 모텔"
"SingHaiyi Group Ltd","SIHL","싱가포르","서비스","부동산 운용"
"Centurion","CNCL","싱가포르","서비스","호텔과 모텔"
"Kimly","KIML","싱가포르","서비스","레스토랑"
"Tat Hong Holdings Ltd","TAT","싱가포르","서비스","렌탈과 리스"
"JUMBO Group Ltd","JUMB","싱가포르","서비스","레스토랑"
"Ying Li International Real Estate","YING","싱가포르","서비스","부동산 운용"
"Hotel Royal Ltd","HTRS","싱가포르","서비스","호텔과 모텔"
"Astaka Holdings","ASTA","싱가포르","서비스","개인 서비스"
