"종목","기호","거래소","부문","산업"
"Cathay Holdings","2882","대만","금융","보험 (생명)"
"Fubon Financial","2881","대만","금융","보험 (생명)"
"CTBC","2891","대만","금융","지방 은행"
"Mega FHC","2886","대만","금융","지방 은행"
"FFHC","2892","대만","금융","단기금융시장은행"
"TCFHC","5880","대만","금융","지방 은행"
"E.S.F.H","2884","대만","금융","투자 서비스"
"HNFHC","2880","대만","금융","지방 은행"
"TSFHC","2887","대만","금융","지방 은행"
"Chang Hwa Bank","2801","대만","금융","지방 은행"
"Yuanta Group","2885","대만","금융","지방 은행"
"CDIBH","2883","대만","금융","투자 서비스"
"SKFH","2888","대만","금융","보험 (생명)"
"SinoPac Holdings","2890","대만","금융","지방 은행"
"China Life Insurance","2823","대만","금융","보험 (생명)"
"TBB","2834","대만","금융","지방 은행"
"King’s Town Bank","2809","대만","금융","지방 은행"
"UBOT","2838","대만","금융","지방 은행"
"T.C.C.B.","2812","대만","금융","지방 은행"
"Acceptance","9941","대만","금융","소비자 금융 서비스"
"FEIB","2845","대만","금융","단기금융시장은행"
"Mercuries Life","2867","대만","금융","보험 (생명)"
"Waterland","2889","대만","금융","투자 서비스"
"Capital Securities","6005","대만","금융","투자 서비스"
"EnTie Bank","2849","대만","금융","지방 은행"
"O-Bank","2897","대만","금융","지방 은행"
"President Securities","2855","대만","금융","투자 서비스"
"CBF","2820","대만","금융","투자 서비스"
"Mercuries","2905","대만","금융","보험 (생명)"
"Masterlink Securities","2856","대만","금융","투자 서비스"
"Central Reinsurance","2851","대만","금융","보험 (생명)"
"Capital Futures","6024","대만","금융","투자 서비스"
"SK Insurance","2850","대만","금융","보험 (손해)"
"Bank of Kaohsiung","2836","대만","금융","지방 은행"
"TFMI","2832","대만","금융","보험 (손해)"
"First Insurance Co","2852","대만","금융","보험 (손해)"
"Union Insurance Co","2816","대만","금융","보험 (손해)"
"Jih Sun Financial","5820","TPEX","금융","투자 서비스"
"Taipei Star Bank","5863","TPEX","금융","지방 은행"
"Shanghai Commercial Bank","5876","TPEX","금융","지방 은행"
"Concord Securities","6016","TPEX","금융","투자 서비스"
"Tachan Securities","6020","TPEX","금융","투자 서비스"
"Reliance Securities","6027","TPEX","금융","투자 서비스"
"Horizon Securities","6015","TPEX","금융","투자 서비스"
"Farglory Life Insurance","5859","TPEX","금융","보험 (생명)"
"Concord Intl Securities","5864","TPEX","금융","투자 서비스"
"Taiming Assurance","5878","TPEX","금융","보험(다종)"
"Ta Ching Securities","6021","TPEX","금융","투자 서비스"
"Grand Fortune Securities","6026","TPEX","금융","투자 서비스"
"Yuanta Futures","6023","TPEX","금융","투자 서비스"
