"종목","기호","거래소","부문","산업"
"Univ. Forest","UFPI","나스닥","기초 소재","임업과 목재 제품"
"Cleveland-Cliffs","CLF","뉴욕","기초 소재","금속 광업"
"Ferro Corporation","FOE","뉴욕","기초 소재","화학제조"
"Quaker Chemical","KWR","뉴욕","기초 소재","화학제조"
"Venator Materials","VNTR","뉴욕","기초 소재","화학제조"
"Stepan Comp","SCL","뉴욕","기초 소재","화학 제품 – 플라스틱과 고무"
"PQ","PQG","뉴욕","기초 소재","화학제조"
"Ferroglobe","GSM","나스닥","기초 소재","금속 광업"
"Mueller Water","MWA","뉴욕","기초 소재","다종 조립 제품"
"Kaman Corp","KAMN","뉴욕","기초 소재","다종 조립 제품"
"Innospec Inc","IOSP","나스닥","기초 소재","화학제조"
"Sun Hydraulics","SNHY","나스닥","기초 소재","다종 조립 제품"
"Kaiser Aluminum","KALU","나스닥","기초 소재","금속 광업"
"Harsco Corp","HSC","뉴욕","기초 소재","금속 광업"
"Enpro Ind.","NPO","뉴욕","기초 소재","조립식 플라스틱과 고무"
"Matthews Intern","MATW","나스닥","기초 소재","다종 조립 제품"
"Orion Engineered Carbons","OEC","뉴욕","기초 소재","화학제조"
"MRC Global","MRC","뉴욕","기초 소재","다종 조립 제품"
"Mueller Ind.","MLI","뉴욕","기초 소재","다종 조립 제품"
"New Gold","NGD","뉴욕","기초 소재","금과 은"
"Kraton","KRA","뉴욕","기초 소재","화학 제품 – 플라스틱과 고무"
"Hecla Mining","HL","뉴욕","기초 소재","금과 은"
"Coeur Mining","CDE","뉴욕","기초 소재","금과 은"
"Century Aluminum Co","CENX","나스닥","기초 소재","다종 조립 제품"
"ADS","WMS","뉴욕","기초 소재","조립식 플라스틱과 고무"
"Constellium Nv","CSTM","뉴욕","기초 소재","다종 조립 제품"
"Novagold","NG","뉴욕","기초 소재","금과 은"
"Actuant Corp","ATU","뉴욕","기초 소재","다종 조립 제품"
"AK Holding","AKS","뉴욕","기초 소재","철과 철강"
"Neenah Paper","NP","뉴욕","기초 소재","종이와 종이 제품"
"MPM","MPMQ","OTC Markets","기초 소재","화학 제품 – 플라스틱과 고무"
"A. Schulman","SHLM","나스닥","기초 소재","화학 제품 – 플라스틱과 고무"
"Raven Ind.","RAVN","나스닥","기초 소재","조립식 플라스틱과 고무"
"Schweitzer-Mau.","SWM","뉴욕","기초 소재","종이와 종이 제품"
"TriMas Corp","TRS","나스닥","기초 소재","다종 조립 제품"
"Encore Wire","WIRE","나스닥","기초 소재","다종 조립 제품"
"SSR Mining","SSRM","나스닥","기초 소재","금과 은"
"Rayonier Advanced Materials","RYAM","뉴욕","기초 소재","화학제조"
"Chase","CCF","뉴욕","기초 소재","컨테이너와 포장"
"AdvanSix","ASIX","뉴욕","기초 소재","화학 제품 – 플라스틱과 고무"
"Wesco Aircraft","WAIR","뉴욕","기초 소재","다종 조립 제품"
"Kmg Chemical Inc","KMG","뉴욕","기초 소재","화학제조"
"Glatfelter","GLT","뉴욕","기초 소재","종이와 종이 제품"
"Kirkland Lake Gold","KL","뉴욕","기초 소재","금과 은"
"MAG Silver","MAG","뉴욕","기초 소재","금과 은"
"Schnitzer Steel","SCHN","나스닥","기초 소재","철과 철강"
"Koppers Hldg","KOP","뉴욕","기초 소재","화학제조"
"Mercer International","MERC","나스닥","기초 소재","종이와 종이 제품"
"Innophos Hldg","IPHS","나스닥","기초 소재","화학제조"
"Global Brass&Cop","BRSS","뉴욕","기초 소재","다종 조립 제품"
"Resolute Forest Products","RFP","뉴욕","기초 소재","종이와 종이 제품"
"AJ Greentech","SUIC","OTC Markets","기초 소재","화학제조"
"CIRCOR Intl","CIR","뉴욕","기초 소재","다종 조립 제품"
"Green Plains","GPRE","나스닥","기초 소재","화학제조"
"Nevsun","NSU","뉴욕","기초 소재","금속 광업"
"McEwen Mining Inc","MUX","뉴욕","기초 소재","금과 은"
"Omega Flex","OFLX","나스닥","기초 소재","다종 조립 제품"
"Timkensteel Corp","TMST","뉴욕","기초 소재","철과 철강"
