ADBE,거래소,기호,멕시코,부문,산업,소프트웨어와 프로그래밍,어도비 시스템즈,종목,테크놀로지
,상하이,600019,,기초 소재,철과 철강,,,Baoshan Iron & Steel,
,상하이,603993,,기초 소재,금속 광업,,,China Molybdenum A,
,상하이,600309,,기초 소재,화학 제품 – 플라스틱과 고무,,,Wanhua Chemical,
,상하이,600010,,기초 소재,철과 철강,,,Inner Mongolia BaoTou Steel,
,상하이,601899,,기초 소재,금과 은,,,Zijin Mining A,
,심천,2450,,기초 소재,컨테이너와 포장,,,Kangdexin A,
,상하이,603799,,기초 소재,금속 광업,,,Zhejiang Huayou Cobalt,
,상하이,601600,,기초 소재,금속 광업,,,Aluminum Corp of China,
,심천,2466,,기초 소재,화학제조,,,Tianqi Lithium A,
,심천,2460,,기초 소재,금속 광업,,,Ganfeng Lithium A,
,심천,300072,,기초 소재,화학제조,,,Beijing Sanju Environmental,
,심천,2493,,기초 소재,화학 제품 – 플라스틱과 고무,,,Rongsheng A,
,심천,2010,,기초 소재,화학제조,,,Zhejiang Transfar Co Ltd,
,상하이,600547,,기초 소재,금과 은,,,Shandong Gold Mining,
,상하이,600362,,기초 소재,금속 광업,,,Jiangxi Copper A,
,상하이,600111,,기초 소재,금속 광업,,,China Northern Rare Earth Hi-Tech,
,상하이,601212,,기초 소재,다종 조립 제품,,,Baiyin Nonferrous,
,심천,898,,기초 소재,철과 철강,,,Angang Steel A,
,심천,703,,기초 소재,화학 제품 – 플라스틱과 고무,,,Hengyi Petrochem A,
,상하이,601216,,기초 소재,화학 제품 – 플라스틱과 고무,,,Junzheng Energy & Chemical,
,심천,627,,기초 소재,화학제조,,,Hubei Biocause Pharmaceutical,
,상하이,600390,,기초 소재,금속 광업,,,Kingray New Materials,
,심천,2601,,기초 소재,화학제조,,,Billions Chemicl A,
,심천,2050,,기초 소재,다종 조립 제품,,,Zhejiang Sanhua Co Ltd,
,심천,709,,기초 소재,철과 철강,,,Hebei Steel A,
,심천,2468,,기초 소재,다종 조립 제품,,,Idc Fluidcontrol A,
,상하이,600522,,기초 소재,다종 조립 제품,,,Jiangsu Zhongtian Tech,
,상하이,600352,,기초 소재,화학제조,,,Zhejiang Longsheng,
,심천,2075,,기초 소재,다종 조립 제품,,,Jiangsu Shagang A,
,심천,792,,기초 소재,비금속 광업,,,Qinghai Saltlake A,
,심천,300618,,기초 소재,금속 광업,,,Nanjing Hanruibalt,
,상하이,600871,,기초 소재,화학 제품 – 플라스틱과 고무,,,Sinopec Oilfield,
,심천,825,,기초 소재,다종 조립 제품,,,Taigang A,
,심천,200553,,기초 소재,화학제조,,,Hubei Sanonda,
,심천,553,,기초 소재,화학제조,,,Hubei Sanonda A,
,상하이,600497,,기초 소재,금속 광업,,,Yunnan Chihong,
,심천,408,,기초 소재,금과 은,,,Jinguyuan Hold A,
,심천,2032,,기초 소재,다종 조립 제품,,,Zhejiang Supor A,
,상하이,600489,,기초 소재,금과 은,,,Zhongjin Gold,
,상하이,600219,,기초 소재,금속 광업,,,Shandong Nanshan,
,상하이,600704,,기초 소재,다종 조립 제품,,,Wuchan Zhongda,
,상하이,600549,,기초 소재,금속 광업,,,Xiamen Tungsten,
,심천,2078,,기초 소재,종이와 종이 제품,,,Sun Paper A,
,심천,200488,,기초 소재,종이와 종이 제품,,,Shandong Chenming Paper,
,심천,488,,기초 소재,종이와 종이 제품,,,Chenming Paper A,
,심천,630,,기초 소재,금속 광업,,,Tongling Nfm A,
,심천,2147,,기초 소재,다종 조립 제품,,,Fangyuan Slewing A,
,심천,2470,,기초 소재,화학제조,,,Kingenta Eco A,
,상하이,600426,,기초 소재,화학제조,,,Shandong Hualu Hengsheng,
,심천,629,,기초 소재,금속 광업,,,Pgvt A,
,상하이,600143,,기초 소재,화학 제품 – 플라스틱과 고무,,,Kingfa Sci&Tech,
,심천,878,,기초 소재,금속 광업,,,Yunnan Copper A,
,상하이,601168,,기초 소재,금속 광업,,,Western Mining,
,심천,2867,,기초 소재,다종 조립 제품,,,Chow Tai Seng Jewellery,
,상하이,600126,,기초 소재,철과 철강,,,Hang Zhou Iron & Steel,
,상하이,600873,,기초 소재,화학제조,,,MeiHua Holdings,
,심천,2709,,기초 소재,화학제조,,,Tinci Materials A,
,심천,300176,,기초 소재,다종 조립 제품,,,Guangdong Hongteo Accurate Tech,
,상하이,601003,,기초 소재,철과 철강,,,Liuzhou Iron & Steel,
,상하이,600500,,기초 소재,화학제조,,,Sinochem International,
,심천,717,,기초 소재,철과 철강,,,Sgis A,
,상하이,600307,,기초 소재,철과 철강,,,Hongxing Iron & Steel,
,상하이,600277,,기초 소재,화학 제품 – 플라스틱과 고무,,,Elion Energy,
,심천,2203,,기초 소재,다종 조립 제품,,,Hailiang A,
,상하이,600711,,기초 소재,다종 조립 제품,,,Eagle Mining,
,상하이,600486,,기초 소재,화학제조,,,Jiangsu Yangnong Chemical,
,상하이,603806,,기초 소재,조립식 플라스틱과 고무,,,Hangzhou First PV Material,
,상하이,600803,,기초 소재,화학제조,,,ENN Ecological,
,상하이,600226,,기초 소재,화학제조,,,Zhejiang Shenghua Biok,
,상하이,601969,,기초 소재,금속 광업,,,Hainan Mining,
,상하이,603699,,기초 소재,다종 조립 제품,,,Neway Valve Suzhou,
,심천,2597,,기초 소재,화학제조,,,Jinhe Industrial A,
,심천,2701,,기초 소재,컨테이너와 포장,,,Org Packaging A,
,심천,761,,기초 소재,철과 철강,,,Bengang Steel A,
,심천,200761,,기초 소재,철과 철강,,,Bengang Steel Plates,
,심천,2343,,기초 소재,조립식 플라스틱과 고무,,,Hexin Industry A,
,심천,976,,기초 소재,화학 제품 – 플라스틱과 고무,,,Guangdong Kaiping Chunhui Ltd,
,심천,930,,기초 소재,화학제조,,,Bbca A,
,상하이,603113,,기초 소재,화학제조,,,Jinneng Science,
,심천,2497,,기초 소재,화학제조,,,Yahua Ind A,
,심천,525,,기초 소재,화학제조,,,Redsun A,
,심천,902,,기초 소재,화학제조,,,China Garments A,
,상하이,600273,,기초 소재,화학제조,,,Zhejiang Jiahua,
,상하이,601069,,기초 소재,금과 은,,,Western Region Gold,
,상하이,600230,,기초 소재,화학제조,,,Cangzhou Dahua,
,심천,2018,,기초 소재,화학제조,,,Cefc Anhui Intl,
,상하이,600172,,기초 소재,금속 광업,,,Henan Huanghe Whirlwind,
,심천,2647,,기초 소재,다종 조립 제품,,,Zhejiang Honglei Copper,
,심천,2102,,기초 소재,다종 조립 제품,,,Guanfu Co Ltd A,
,상하이,600146,,기초 소재,조립식 플라스틱과 고무,,,Shangying Global,
,상하이,603595,,기초 소재,다종 조립 제품,,,Zhejiang Tony,
,심천,2721,,기초 소재,금속 광업,,,Kingee Culture A,
,심천,688,,기초 소재,금속 광업,,,Jianxin Mining A,
,심천,831,,기초 소재,금속 광업,,,Guanlu A,
,심천,2451,,기초 소재,다종 조립 제품,,,Sh Morn Elec A,
,심천,758,,기초 소재,금속 광업,,,Cn Metal Eng A,
,상하이,601113,,기초 소재,화학 제품 – 플라스틱과 고무,,,Yiwu Huading Nylon,
,심천,300409,,기초 소재,화학제조,,,Guangdong Dowstone Tech,
,심천,2407,,기초 소재,화학제조,,,Dfd Chemical A,
,상하이,600058,,기초 소재,다종 조립 제품,,,Minmetals Dev,
,심천,2716,,기초 소재,금속 광업,,,Jingui Silver A,
,상하이,600432,,기초 소재,화학제조,,,Jien Nickel,
,상하이,601678,,기초 소재,화학제조,,,Befar Group,
,심천,2155,,기초 소재,금과 은,,,Hunan Gold Corp,
,심천,2617,,기초 소재,다종 조립 제품,,,Roshow Tech,
,심천,683,,기초 소재,화학제조,,,Yuanxing Energy A,
,심천,697,,기초 소재,금속 광업,,,Ligeance Mineral A,
,심천,2501,,기초 소재,다종 조립 제품,,,Liyuan Precision A,
,심천,300083,,기초 소재,조립식 플라스틱과 고무,,,JANUS Dongguan Precision,
,심천,2258,,기초 소재,화학제조,,,Lier Chemical A,
,심천,2581,,기초 소재,화학제조,,,Wanchang Tech A,
,심천,2108,,기초 소재,조립식 플라스틱과 고무,,,Mz Plastic A,
,심천,300064,,기초 소재,금속 광업,,,Zhengzhou Sino Crystal Diamond,
,심천,2445,,기초 소재,다종 조립 제품,,,Zhongnan Heavy A,
,상하이,600581,,기초 소재,철과 철강,,,Xinjiang Ba Yi Iron & Steel,
,심천,2122,,기초 소재,다종 조립 제품,,,Tianma Bearing A,
,심천,2498,,기초 소재,다종 조립 제품,,,Hanhe Cable A,
,심천,2584,,기초 소재,화학제조,,,Xilong Chemical A,
,심천,2303,,기초 소재,컨테이너와 포장,,,Shenzhen Mys A,
,상하이,600231,,기초 소재,다종 조립 제품,,,Lingyuan Iron & Steel,
,상하이,900908,,기초 소재,화학제조,,,Shanghai Chlor-Alkali Chemical B,
,상하이,600618,,기초 소재,화학제조,,,Chlor-Alkali Chemical A,
,심천,300073,,기초 소재,화학제조,,,Beijing Easpring Material Tech,
,상하이,600259,,기초 소재,금속 광업,,,Rising Nonferrous,
,상하이,600227,,기초 소재,화학제조,,,Guizhou Chitianhua,
,심천,2643,,기초 소재,화학제조,,,Valiant Co,
,상하이,600295,,기초 소재,철과 철강,,,Eerduosi Resources A,
,상하이,900936,,기초 소재,철과 철강,,,Eerduosi-B,
,상하이,600569,,기초 소재,철과 철강,,,Anyang Iron & Steel,
,상하이,600096,,기초 소재,화학제조,,,Yunnan Yuntianhua,
,심천,2250,,기초 소재,화학제조,,,Lianhe Chem Tech A,
,심천,2895,,기초 소재,화학제조,,,Guizhou Chanhen Chemical,
,심천,300398,,기초 소재,화학 제품 – 플라스틱과 고무,,,Shanghai Phichem A,
,심천,2237,,기초 소재,금과 은,,,Humon Smelting A,
,심천,2522,,기초 소재,컨테이너와 포장,,,Zhongcheng Pack A,
,상하이,600596,,기초 소재,화학제조,,,Zhejiang XinAn Chemical,
,상하이,600069,,기초 소재,종이와 종이 제품,,,Henan Yinge Industrial Inv,
,상하이,603980,,기초 소재,화학제조,,,ZheJiang JiHua,
,상하이,600110,,기초 소재,다종 조립 제품,,,Nuode Investment,
,상하이,600366,,기초 소재,다종 조립 제품,,,Ningbo Yunsheng,
,상하이,603399,,기초 소재,다종 조립 제품,,,Dragon Molybde,
,상하이,600988,,기초 소재,금과 은,,,Chifeng Jilong Gold Mining,
,상하이,600141,,기초 소재,화학제조,,,Hubei Xingfa Chemicals,
,심천,576,,기초 소재,종이와 종이 제품,,,Jiangmen Sugar A,
,심천,612,,기초 소재,금속 광업,,,Jiaozuo Wanfang Aluminum,
,심천,155,,기초 소재,화학제조,,,Sichuan Chem A,
,심천,2540,,기초 소재,다종 조립 제품,,,Asia-Pacific Tech A,
,심천,300737,,기초 소재,화학제조,,,Keshun Waterproof A,
,심천,2245,,기초 소재,다종 조립 제품,,,Aucksun A,
,상하이,601020,,기초 소재,금속 광업,,,Tibet Huayu Mining,
,심천,818,,기초 소재,화학제조,,,Jinhua Chemical A,
,상하이,600456,,기초 소재,다종 조립 제품,,,BaoJi Titanium,
,심천,2256,,기초 소재,화학제조,,,Rainbow Fine Chemical Industry,
,심천,2427,,기초 소재,화학 제품 – 플라스틱과 고무,,,Unifull Fiber A,
,상하이,600331,,기초 소재,금속 광업,,,Hongda,
,심천,584,,기초 소재,화학 제품 – 플라스틱과 고무,,,Jiangsu Youli Investment Holding,
,상하이,600740,,기초 소재,철과 철강,,,ShanXi Coking,
,심천,2428,,기초 소재,금속 광업,,,Yn Germanium A,
,상하이,600963,,기초 소재,종이와 종이 제품,,,Yueyang Forest & Paper,
,상하이,600577,,기초 소재,다종 조립 제품,,,Tongling Jingd,
