"종목","기호","거래소","부문","산업"
"Joong Ang Enervis","000440","KOSDAQ","에너지","석유와 가스 운용"
"SI Resources","065420","KOSDAQ","에너지","석탄"
"HeunguOil","024060","KOSDAQ","에너지","석유와 가스 운용"
"UIM Entertainment","043220","KOSDAQ","에너지","석유와 가스 운용"
"JC Chemical Ltd","137950","KOSDAQ","에너지","석유와 가스 운용"
"Kiwi Media","012170","서울","에너지","석탄"
"Fourth-Link","056730","KOSDAQ","에너지","석탄"
"E1","017940","서울","에너지","석유와 가스 운용"
"STX","011810","서울","에너지","석유와 가스 운용"
"한국쉘석유","002960","서울","에너지","석유와 가스 운용"
"Seobu T&D","006730","KOSDAQ","에너지","석유와 가스 운용"
"SK가스","018670","서울","에너지","석유와 가스 운용"
"SK네트웍스","001740","서울","에너지","석유와 가스 운용"
"GS","078930","서울","에너지","석유와 가스 운용"
"현대중공업","009540","서울","에너지","석유와 가스 운용"
"S-Oil","010950","서울","에너지","석유와 가스 운용"
"S-Oil Pref","010955","서울","에너지","석유와 가스 운용"
"SK이노베이션","096770","서울","에너지","석유와 가스 운용"
