"종목","기호","거래소","부문","산업"
"간사이전력","9503","도쿄","유틸러티","전기 유틸러티"
"도쿄가스","9531","도쿄","유틸러티","천연가스 유틸러티"
"추부전력","9502","도쿄","유틸러티","전기 유틸러티"
"오사카 가스","9532","도쿄","유틸러티","천연가스 유틸러티"
"Tohoku Electric Power Co Inc","9506","도쿄","유틸러티","전기 유틸러티"
"도쿄전력","9501","도쿄","유틸러티","전기 유틸러티"
"Kyushu Electric Power Co Inc","9508","도쿄","유틸러티","전기 유틸러티"
"Electric Power Development Ltd","9513","도쿄","유틸러티","전기 유틸러티"
"The Chugoku Electric Power Inc","9504","도쿄","유틸러티","전기 유틸러티"
"Toho Gas Co Ltd","9533","도쿄","유틸러티","천연가스 유틸러티"
"Shikoku Electric Power Co Inc","9507","도쿄","유틸러티","전기 유틸러티"
"Nippon Gas Co Ltd","8174","도쿄","유틸러티","천연가스 유틸러티"
"Hokuriku Electric Power Co","9505","도쿄","유틸러티","전기 유틸러티"
"Hokkaido Electric Power Co Inc","9509","도쿄","유틸러티","전기 유틸러티"
"Okinawa Electric Power","9511","도쿄","유틸러티","전기 유틸러티"
"Saibu Gas Co Ltd","9536","도쿄","유틸러티","천연가스 유틸러티"
"Shizuoka Gas Co Ltd","9543","도쿄","유틸러티","천연가스 유틸러티"
"eREX Co","9517","도쿄","유틸러티","전기 유틸러티"
"Renova","9519","도쿄","유틸러티","전기 유틸러티"
"Keiyo Gas","9539","도쿄","유틸러티","천연가스 유틸러티"
"Hokkaido Gas Co Ltd","9534","도쿄","유틸러티","천연가스 유틸러티"
"Hiroshima Gas","9535","도쿄","유틸러티","천연가스 유틸러티"
"Eneres","6079","도쿄","유틸러티","전기 유틸러티"
"Hokuriku Gas","9537","도쿄","유틸러티","천연가스 유틸러티"
