"종목","기호","거래소","부문","산업"
"GSE","053050","KOSDAQ","유틸러티","천연가스 유틸러티"
"경동가스","012320","서울","유틸러티","천연가스 유틸러티"
"Eco Bio","038870","KOSDAQ","유틸러티","전기 유틸러티"
"인천도시가스","034590","서울","유틸러티","천연가스 유틸러티"
"대성에너지","117580","서울","유틸러티","천연가스 유틸러티"
"Kyungdong City Gas","267290","서울","유틸러티","천연가스 유틸러티"
"예스코","015360","서울","유틸러티","천연가스 유틸러티"
"부산가스","015350","서울","유틸러티","천연가스 유틸러티"
"서울가스","017390","서울","유틸러티","천연가스 유틸러티"
"삼천리","004690","서울","유틸러티","천연가스 유틸러티"
"한국가스공사","036460","서울","유틸러티","천연가스 유틸러티"
"한국전력","015760","서울","유틸러티","전기 유틸러티"
