종목,기호,거래소,부문,산업
Dongfeng Automobile,600006,상하이,경기 민감형 소비재,자동차와 트럭 제조
Cnhtc Truck A,951,심천,경기 민감형 소비재,자동차와 트럭 제조
Gd Chj Industry A,2345,심천,경기 민감형 소비재,보석 및 은제품
Markor International,600337,상하이,경기 민감형 소비재,가구와 비품
Shanghai Haixin B,900917,상하이,경기 민감형 소비재,의복/액세서리
Shanghai Haixin A,600851,상하이,경기 민감형 소비재,의복/액세서리
Zhejiang Jingu A,2488,심천,경기 민감형 소비재,자동차와 트럭 부품
Yotrio Group A,2489,심천,경기 민감형 소비재,가구와 비품
Shanghai Conant Optics,300061,심천,경기 민감형 소비재,여가용 제품
Vanward New Elec A,2543,심천,경기 민감형 소비재,가전과 공구
Guangdong Xinbao A,2705,심천,경기 민감형 소비재,가전과 공구
FAWER Automotive,200030,심천,경기 민감형 소비재,자동차와 트럭 부품
Fawer Automotive A,30,심천,경기 민감형 소비재,자동차와 트럭 부품
Guangzhou Holike Creative Home,603898,상하이,경기 민감형 소비재,가구와 비품
Beijing Wkw Automotive Parts A,2662,심천,경기 민감형 소비재,자동차와 트럭 부품
Luen Thai Holdings,311,홍콩,경기 민감형 소비재,의복/액세서리
National Electronics,213,홍콩,경기 민감형 소비재,보석 및 은제품
Sinomax,1418,홍콩,경기 민감형 소비재,가구와 비품
Ruifeng Power,2025,홍콩,경기 민감형 소비재,자동차와 트럭 부품
Tesson,1201,홍콩,경기 민감형 소비재,오디오와 비디오 장비
Pak Tak Intl,2668,홍콩,경기 민감형 소비재,의복/액세서리
Wuling Motors,305,홍콩,경기 민감형 소비재,자동차와 트럭 부품
Jia Meng,8101,홍콩,경기 민감형 소비재,가구와 비품
Playmates Toys,869,홍콩,경기 민감형 소비재,여가용 제품
Win Hanverky Holdings,3322,홍콩,경기 민감형 소비재,의복/액세서리
Kenford,464,홍콩,경기 민감형 소비재,가전과 공구
Quali-Smart,1348,홍콩,경기 민감형 소비재,여가용 제품
SKY Light,3882,홍콩,경기 민감형 소비재,사진술
China Outfitters,1146,홍콩,경기 민감형 소비재,의복/액세서리
