종목,기호,거래소,부문,산업
Jinhui Liquor,603919,상하이,소비재/ 경기 방어형,음료(알코올성)
Fujian Anjoy Foods,603345,상하이,소비재/ 경기 방어형,식품 가공
Qianhe Condiment and Food,603027,상하이,소비재/ 경기 방어형,식품 가공
Qinghai Huzhu Barley Wine A,2646,심천,소비재/ 경기 방어형,음료(알코올성)
Oriental Ocean A,2086,심천,소비재/ 경기 방어형,식품 가공
Sz Shenbao A,19,심천,소비재/ 경기 방어형,식품 가공
Shenzhen Shenbao Industrial,200019,심천,소비재/ 경기 방어형,식품 가공
Xinjiang Guannong,600251,상하이,소비재/ 경기 방어형,곡물
Shanghai Laiyifen,603777,상하이,소비재/ 경기 방어형,식품 가공
Guangdong Kinlong Hardware,2791,심천,소비재/ 경기 방어형,개인과 가계용 제품
Beingmate A,2570,심천,소비재/ 경기 방어형,식품 가공
Chongqing Zaisheng Tech,603601,상하이,소비재/ 경기 방어형,개인과 가계용 제품
Kuaijishan Shaoxing Wine,601579,상하이,소비재/ 경기 방어형,음료(알코올성)
Royal Group Co Ltd,2329,심천,소비재/ 경기 방어형,식품 가공
China Green,904,홍콩,소비재/ 경기 방어형,식품 가공
China Candy Holdings Ltd,8182,홍콩,소비재/ 경기 방어형,식품 가공
Asia Pioneer,8400,홍콩,소비재/ 경기 방어형,개인과 가계용 제품
Winning Tower,8362,홍콩,소비재/ 경기 방어형,식품 가공
Asia Grocery,8413,홍콩,소비재/ 경기 방어형,식품 가공
China Demeter Financial,8120,홍콩,소비재/ 경기 방어형,식품 가공
Wealth Glory,8269,홍콩,소비재/ 경기 방어형,식품 가공
WH Group Ltd,288,홍콩,소비재/ 경기 방어형,식품 가공
China Mengniu Dairy Co.,2319,홍콩,소비재/ 경기 방어형,식품 가공
강사부홀딩스,322,홍콩,소비재/ 경기 방어형,음료 (비알코올성)
Dali Foods Co,3799,홍콩,소비재/ 경기 방어형,식품 가공
항안국제,1044,홍콩,소비재/ 경기 방어형,개인과 가계용 제품
왕왕차이나,151,홍콩,소비재/ 경기 방어형,식품 가공
Tsingtao Brewery,168,홍콩,소비재/ 경기 방어형,음료(알코올성)
H&H,1112,홍콩,소비재/ 경기 방어형,식품 가공
