"종목","기호","거래소","부문","산업"
"China Vanke A","000002","심천","자본재","건설 서비스"
"SJEC Corp","601360","상하이","자본재","다종 자본재"
"Gree Electric A","000651","심천","자본재","다종 자본재"
"China State Construction","601668","상하이","자본재","건설 서비스"
"Dingtai New Mat A","002352","심천","자본재","건설 – 용품과 비품"
"China Communications Construction","601800","상하이","자본재","건설 서비스"
"Anhui Conch Cement","600585","상하이","자본재","건설 – 원자재"
"China Merchants Shekou","001979","심천","자본재","건설 서비스"
"Poly Real Estate Group","600048","상하이","자본재","건설 서비스"
"China Railway A","601390","상하이","자본재","건설 서비스"
"China Railway Construction","601186","상하이","자본재","건설 서비스"
"Power Construction Corp of China","601669","상하이","자본재","건설 서비스"
"China Merchant A","000024","심천","자본재","건설 서비스"
"China Fortune Land","600340","상하이","자본재","건설 서비스"
"Greenland Holdings","600606","상하이","자본재","건설 서비스"
"Future Land","601155","상하이","자본재","건설 서비스"
"Metallurgical Corporation of China","601618","상하이","자본재","건설 서비스"
"Chinese Town A","000069","심천","자본재","건설 서비스"
"Dalian Rubber","600346","상하이","자본재","다종 자본재"
"AVIC Aviation Engine","600893","상하이","자본재","항공 우주와 방위"
"Sany Heavy Industry","600031","상하이","자본재","건설과 농업용 기계"
"Xj Goldwind A","002202","심천","자본재","다종 자본재"
"Oppein Home","603833","상하이","자본재","건설 – 용품과 비품"
"Han'S Laser Tech A","002008","심천","자본재","다종 자본재"
"Shanghai Lujiazui Finance A","600663","상하이","자본재","건설 서비스"
"Shanghai Lujiazui Finance B","900932","상하이","자본재","건설 서비스"
"Gemdale Corp","600383","상하이","자본재","건설 서비스"
"BBMG A","601992","상하이","자본재","건설 – 원자재"
"Avic Aircraft A","000768","심천","자본재","항공 우주와 방위"
"New Material A","000786","심천","자본재","건설 – 용품과 비품"
"Hoshine Silicon Industry","603260","상하이","자본재","건설 – 용품과 비품"
"Risesun Real Est A","002146","심천","자본재","건설 서비스"
"Oceanwide Holdings A","000046","심천","자본재","건설 서비스"
"China Gezhouba Group","600068","상하이","자본재","건설 서비스"
"Xinhu Zhongbao","600208","상하이","자본재","건설 서비스"
"China National Chemical","601117","상하이","자본재","건설 서비스"
"Oriental Yuhong A","002271","심천","자본재","건설 – 용품과 비품"
"Shandong Zhongji Electrical","300308","심천","자본재","다종 자본재"
"Yinyi Real Estate A","000981","심천","자본재","건설 서비스"
"Zhongtian Urban A","000540","심천","자본재","건설 서비스"
"Taihe Group A","000732","심천","자본재","건설 서비스"
"Gold Mantis A","002081","심천","자본재","건설 서비스"
"Wuxi Lead Auto Equipment Co Ltd","300450","심천","자본재","건설과 농업용 기계"
"Shanghai Construction","600170","상하이","자본재","건설 서비스"
"SIASUN Robot Automation Co","300024","심천","자본재","다종 자본재"
"Yango A","000671","심천","자본재","건설 서비스"
"Cs Zoomlion A","000157","심천","자본재","건설과 농업용 기계"
"Financial St A","000402","심천","자본재","건설 서비스"
"Shandong Qixing Iron","002359","심천","자본재","건설 서비스"
"Jinke Property A","000656","심천","자본재","건설 서비스"
"Shanghai Jinqiao Export A","600639","상하이","자본재","건설 서비스"
"Shanghai Jinqiao Export B","900911","상하이","자본재","건설 서비스"
"CSG Holding Co Ltd","200012","심천","자본재","건설 – 용품과 비품"
"Csg Holding A","000012","심천","자본재","건설 – 용품과 비품"
"Jilin Yatai","600881","상하이","자본재","건설 – 원자재"
"Xinjiang Machinery Research Inst","300159","심천","자본재","건설과 농업용 기계"
"Sc Shuangma A","000935","심천","자본재","건설 – 원자재"
"Dongfang Precisn A","002611","심천","자본재","다종 자본재"
"Shenwu Environmental Tech","300156","심천","자본재","다종 자본재"
"Beijing Water Business Doctor","300055","심천","자본재","건설 서비스"
"Shanghai Chinafortune","600621","상하이","자본재","건설 서비스"
"Keda Clean Energy","600499","상하이","자본재","다종 자본재"
"Xuanhua Const A","000923","심천","자본재","건설과 농업용 기계"
"Cofco Property A","000031","심천","자본재","건설 서비스"
"Nanfang Pump Industry","300145","심천","자본재","다종 자본재"
"Zhonghua Geotech A","002542","심천","자본재","건설 서비스"
"Zhonghong Holding A","000979","심천","자본재","건설 서비스"
"Sichuan Road & Bridge","600039","상하이","자본재","건설 서비스"
"Zhejiang Kaishan Compressor","300257","심천","자본재","다종 자본재"
"Long Yuan Construction","600491","상하이","자본재","건설 서비스"
