"종목","기호","거래소","부문","산업"
"ICBC","601398","상하이","금융","지방 은행"
"China Construction Bank","601939","상하이","금융","지방 은행"
"Bank of China","601988","상하이","금융","지방 은행"
"Agricultural Bank China A","601288","상하이","금융","지방 은행"
"Ping An Insurance","601318","상하이","금융","보험 (생명)"
"Bank of Communications","601328","상하이","금융","단기금융시장은행"
"China Merchants Bank","600036","상하이","금융","지방 은행"
"China Life Insurance","601628","상하이","금융","보험 (생명)"
"Industrial Bank","601166","상하이","금융","지방 은행"
"Pudong Development Bank","600000","상하이","금융","단기금융시장은행"
"China Minsheng Banking","600016","상하이","금융","지방 은행"
"China Pacific Insurance","601601","상하이","금융","보험 (생명)"
"China Citic Bank A","601998","상하이","금융","지방 은행"
"CITIC Securities","600030","상하이","금융","투자 서비스"
"China Everbright Bank","601818","상하이","금융","지방 은행"
"Ping An Bank A","000001","심천","금융","지방 은행"
"Bank of Beijing","601169","상하이","금융","단기금융시장은행"
"Guotai Junan Securities","601211","상하이","금융","투자 서비스"
"New China Life Insurance","601336","상하이","금융","보험 (생명)"
"Haitong Securities","600837","상하이","금융","투자 서비스"
"Gf Securities A","000776","심천","금융","투자 서비스"
"Bank of Shanghai","601229","상하이","금융","지방 은행"
"Hua Xia Bank","600015","상하이","금융","지방 은행"
"Huatai Securities","601688","상하이","금융","투자 서비스"
"Shenwan Hongyuan","000166","심천","금융","투자 서비스"
"China Merchants Securities","600999","상하이","금융","투자 서비스"
"Bank Of Ningbo A","002142","심천","금융","단기금융시장은행"
"Guosen Securities","002736","심천","금융","투자 서비스"
"Bank of Jiangsu","600919","상하이","금융","지방 은행"
"China Galaxy A","601881","상하이","금융","투자 서비스"
"Orient Securities","600958","상하이","금융","투자 서비스"
"Bank of Nanjing","601009","상하이","금융","단기금융시장은행"
"Caitong Securities","601108","상하이","금융","투자 서비스"
"Anxin Trust","600816","상하이","금융","소비자 금융 서비스"
"Everbright Securities","601788","상하이","금융","투자 서비스"
"Founder Securities","601901","상하이","금융","투자 서비스"
"Industrial Securities","601377","상하이","금융","투자 서비스"
"Zheshang Securities","601878","상하이","금융","투자 서비스"
"Bank of Hangzhou","600926","상하이","금융","지방 은행"
"Bank of Chengdu","601838","상하이","금융","지방 은행"
"Changjiang Sec A","000783","심천","금융","투자 서비스"
"Dongxing Securities","601198","상하이","금융","투자 서비스"
"Huaxi Securities A","002926","심천","금융","투자 서비스"
"Western Securities A","002673","심천","금융","투자 서비스"
"Bank of Guiyang","601997","상하이","금융","지방 은행"
"Guoyuan Sec A","000728","심천","금융","투자 서비스"
"First Capital Securities A","002797","심천","금융","투자 서비스"
"Hithink RoyalFlush Info Network","300033","심천","금융","투자 서비스"
"Huaan Securities","600909","상하이","금융","투자 서비스"
"Sinolink Securities","600109","상하이","금융","투자 서비스"
"Soochow Securities","601555","상하이","금융","투자 서비스"
"Southwest Securities","600369","상하이","금융","투자 서비스"
"Gz Friendship A","000987","심천","금융","투자 서비스"
"Shanxi Security A","002500","심천","금융","투자 서비스"
"Central China Securities","601375","상하이","금융","투자 서비스"
"Pacific Securities","601099","상하이","금융","투자 서비스"
"Northeast Sec A","000686","심천","금융","투자 서비스"
"Sealand Securiti A","000750","심천","금융","투자 서비스"
"Jiangsu Changshu Rural Bank","601128","상하이","금융","지방 은행"
"Jiangsu Zhangjiagang","002839","심천","금융","지방 은행"
"Wuxi Rural Commercial Bank","600908","상하이","금융","지방 은행"
"Jiangsu Jiangyin Bank","002807","심천","금융","지방 은행"
"Shaanxi Trust A","000563","심천","금융","다종 금융 서비스"
"Jiangsu Wujiang Rural Bank","603323","상하이","금융","지방 은행"
"Echom Sci&Tech A","002420","심천","금융","투자 서비스"
"XI An Hongsheng Tech","600817","상하이","금융","다종 금융 서비스"
"Shanghai Lingyun Industries","900957","상하이","금융","투자 서비스"
