"종목","기호","거래소","부문","산업"
"Reliance Ind","RELI","BSE","에너지","석유와 가스 운용"
"Reliance Ind","RELI","NSE","에너지","석유와 가스 운용"
"Oil&Gas Corp","ONGC","BSE","에너지","석유와 가스 운용"
"Oil&Gas Corp","ONGC","NSE","에너지","석유와 가스 운용"
"Coal India","COAL","NSE","에너지","석탄"
"Coal India","COAL","BSE","에너지","석탄"
"Bharat Pet.","BPCL","NSE","에너지","석유와 가스 – 통합"
"Bharat Pet.","BPCL","BSE","에너지","석유와 가스 – 통합"
"Indian Oil Corporation","IOC","BSE","에너지","석유와 가스 – 통합"
"Indian Oil Corporation","IOC","NSE","에너지","석유와 가스 – 통합"
"Cairn India","CAIL","NSE","에너지","석유와 가스 운용"
"Hindustan Petroleum","HPCL","BSE","에너지","석유와 가스 운용"
"Hindustan Petroleum","HPCL","NSE","에너지","석유와 가스 운용"
"Petronet LNG","PLNG","NSE","에너지","석유와 가스 운용"
"Petronet LNG","PLNG","BSE","에너지","석유와 가스 운용"
"Castrol India","CAST","BSE","에너지","석유와 가스 운용"
"Castrol India","CAST","NSE","에너지","석유와 가스 운용"
"Mangalore Refinery and Petro.","MRPL","BSE","에너지","석유와 가스 운용"
"Mangalore Refinery and Petro.","MRPL","NSE","에너지","석유와 가스 운용"
"Adani Enterprises","ADEL","BSE","에너지","석탄"
"Adani Enterprises","ADEL","NSE","에너지","석탄"
"Oil India","OILI","BSE","에너지","석유와 가스 운용"
"Oil India","OILI","NSE","에너지","석유와 가스 운용"
"Aegis Logistics Ltd","AEGS","NSE","에너지","유정 서비스와 장비"
"Aegis Logistics Ltd","AEGS","BSE","에너지","유정 서비스와 장비"
"Chennai Petroleum Corporation","CHPC","BSE","에너지","석유와 가스 운용"
"Chennai Petroleum Corporation","CHPC","NSE","에너지","석유와 가스 운용"
"Gulf Oil Lubricants India Ltd","GOLU","BSE","에너지","석유와 가스 운용"
"Gulf Oil Lubricants India Ltd","GOLU","NSE","에너지","석유와 가스 운용"
"GOCL Corp","GOCL","NSE","에너지","석유와 가스 운용"
"GOCL Corp","GOCL","BSE","에너지","석유와 가스 운용"
"Tide Water Oil India Co Ltd","TIDE","NSE","에너지","석유와 가스 운용"
"Tide Water Oil India Co Ltd","TIDE","BSE","에너지","석유와 가스 운용"
"Hindustan Oil Exploration","HOEX","NSE","에너지","석유와 가스 운용"
"Hindustan Oil Exploration","HOEX","BSE","에너지","석유와 가스 운용"
"Mercator","MRCT","NSE","에너지","석탄"
"Mercator","MRCT","BSE","에너지","석탄"
"Aban Offshore","ABAN","NSE","에너지","유정 서비스와 장비"
"Aban Offshore","ABAN","BSE","에너지","유정 서비스와 장비"
"Goa Carbon Ltd","GOAC","NSE","에너지","석유와 가스 운용"
"Goa Carbon Ltd","GOAC","BSE","에너지","석유와 가스 운용"
"Man Indus","MIND","NSE","에너지","유정 서비스와 장비"
"Man Indus","MIND","BSE","에너지","유정 서비스와 장비"
"Asian Oilfield Services","AOSL","BSE","에너지","유정 서비스와 장비"
"Alphageo India Ltd","ALPI","NSE","에너지","유정 서비스와 장비"
"Alphageo India Ltd","ALPI","BSE","에너지","유정 서비스와 장비"
"Deep Industries Ltd","DEIN","NSE","에너지","유정 서비스와 장비"
"Deep Industries Ltd","DEIN","BSE","에너지","유정 서비스와 장비"
"Jindal Drilling Industries","JNDR","BSE","에너지","유정 서비스와 장비"
"Jindal Drilling Industries","JNDR","NSE","에너지","유정 서비스와 장비"
"GP Petroleums","GPPE","BSE","에너지","석유와 가스 운용"
"GP Petroleums","GPPE","NSE","에너지","석유와 가스 운용"
"Selan Exploration Technology","SELA","BSE","에너지","석유와 가스 운용"
"Selan Exploration Technology","SELA","NSE","에너지","석유와 가스 운용"
"United Drilling Tools","UNDR","BSE","에너지","유정 서비스와 장비"
"Nagarjuna Oil Refinery Ltd","NORL","BSE","에너지","석유와 가스 운용"
"Nagarjuna Oil Refinery Ltd","NORL","NSE","에너지","석유와 가스 운용"
"Oil Country Tubular Ltd","OCTL","NSE","에너지","유정 서비스와 장비"
"Oil Country Tubular Ltd","OCTL","BSE","에너지","유정 서비스와 장비"
"Dolphin Offshore Enterprises","DOLP","NSE","에너지","유정 서비스와 장비"
"Dolphin Offshore Enterprises","DOLP","BSE","에너지","유정 서비스와 장비"
"Gujarat Natural Resources","GUJA","BSE","에너지","석유와 가스 – 통합"
"Cals Refineries","CALS","BSE","에너지","석유와 가스 운용"
"Scanpoint Geomatics","SCAG","BSE","에너지","유정 서비스와 장비"
"GOL Offshore","GOFS","BSE","에너지","유정 서비스와 장비"
"GOL Offshore","GOFS","NSE","에너지","유정 서비스와 장비"
"SVOGL Oil Gas and Energy","SVOG","BSE","에너지","유정 서비스와 장비"
"SVOGL Oil Gas and Energy","SVOG","NSE","에너지","유정 서비스와 장비"
"Eastern Gases","EASG","BSE","에너지","석유와 가스 운용"
"Gemmia Oiltech India","GEMM","BSE","에너지","유정 서비스와 장비"
"Jaihind Projects Ltd","JHNP","NSE","에너지","유정 서비스와 장비"
"Jaihind Projects Ltd","JHNP","BSE","에너지","유정 서비스와 장비"
"Pagaria Energy","MWOM","BSE","에너지","석탄"
