"종목","기호","거래소","부문","산업"
"Mundra Port Special Eco. Zone","APSE","NSE","운송","다종 운송"
"Mundra Port Special Eco. Zone","APSE","BSE","운송","다종 운송"
"Interglobe Aviation Ltd","INGL","BSE","운송","항공사"
"Interglobe Aviation Ltd","INGL","NSE","운송","항공사"
"Container Corporation of India","CCRI","BSE","운송","철도"
"Container Corporation of India","CCRI","NSE","운송","철도"
"GMR Infrastructure","GMRI","NSE","운송","다종 운송"
"GMR Infrastructure","GMRI","BSE","운송","다종 운송"
"Blue Dart Express","BLDT","NSE","운송","항공 우편"
"Blue Dart Express","BLDT","BSE","운송","항공 우편"
"Spicejet Ltd BSE","SPJT","BSE","운송","항공사"
"Gujarat Pipavav Port","GPPL","NSE","운송","다종 운송"
"Gujarat Pipavav Port","GPPL","BSE","운송","다종 운송"
"Jet Airways","JET","NSE","운송","항공사"
"Jet Airways","JET","BSE","운송","항공사"
"Cochin Shipyard","COCH","NSE","운송","수상 운송"
"Cochin Shipyard","COCH","BSE","운송","수상 운송"
"Great Eastern Shipping","GESC","BSE","운송","수상 운송"
"Great Eastern Shipping","GESC","NSE","운송","수상 운송"
"VRL Logistics Ltd","VRLL","BSE","운송","트럭 운송"
"VRL Logistics Ltd","VRLL","NSE","운송","트럭 운송"
"Mahindra","MALO","NSE","운송","트럭 운송"
"Mahindra","MALO","BSE","운송","트럭 운송"
"Shipping Corporation Of India","SCI","BSE","운송","수상 운송"
"Shipping Corporation Of India","SCI","NSE","운송","수상 운송"
"Navkar Corporation Ltd","NAVR","BSE","운송","트럭 운송"
"Navkar Corporation Ltd","NAVR","NSE","운송","트럭 운송"
"GVK Power & Infrastructure","GVKP","BSE","운송","다종 운송"
"GVK Power & Infrastructure","GVKP","NSE","운송","다종 운송"
"Transport Corp of India","TCIL","NSE","운송","트럭 운송"
"Transport Corp of India","TCIL","BSE","운송","트럭 운송"
"Reliance Naval","RELV","NSE","운송","수상 운송"
"Reliance Naval","RELV","BSE","운송","수상 운송"
"Gateway Distriparks","GATE","NSE","운송","트럭 운송"
"Gateway Distriparks","GATE","BSE","운송","트럭 운송"
"TCI Express","TCIE","NSE","운송","항공 우편"
"TCI Express","TCIE","BSE","운송","항공 우편"
"Arshiya","ARSH","BSE","운송","트럭 운송"
"Arshiya","ARSH","NSE","운송","트럭 운송"
"MEP Infrastructure","MPIN","NSE","운송","다종 운송"
"MEP Infrastructure","MPIN","BSE","운송","다종 운송"
"Sical Logistics Ltd","SICA","BSE","운송","다종 운송"
"Sical Logistics Ltd","SICA","NSE","운송","다종 운송"
"Shreyas Shipping Logistics","SRSH","NSE","운송","수상 운송"
