"종목","기호","거래소","부문","산업"
"Yoshimura Food Holdings KK","2884","도쿄","소비재/ 경기 방어형","식품 가공"
"Iwatsuka Confectionery","2221","도쿄","소비재/ 경기 방어형","식품 가공"
"Oenon Holdings Inc","2533","도쿄","소비재/ 경기 방어형","음료(알코올성)"
"Cota Co Ltd","4923","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Haba Laboratories","4925","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Transaction Co Ltd","7818","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Natori Co Ltd","2922","도쿄","소비재/ 경기 방어형","식품 가공"
"Hokkaido Coca Cola Bottling","2573","도쿄","소비재/ 경기 방어형","음료 (비알코올성)"
"Nakamuraya Co Ltd","2204","도쿄","소비재/ 경기 방어형","식품 가공"
"Hagoromo Foods","2831","도쿄","소비재/ 경기 방어형","식품 가공"
"Meito Sangyo Co Ltd","2207","도쿄","소비재/ 경기 방어형","식품 가공"
"Koikeya","2226","도쿄","소비재/ 경기 방어형","식품 가공"
"Axyz","1381","도쿄","소비재/ 경기 방어형","식품 가공"
"Carlit Holdings","4275","도쿄","소비재/ 경기 방어형","음료 (비알코올성)"
"Torigoe Co Ltd","2009","도쿄","소비재/ 경기 방어형","식품 가공"
"MarkLines","3901","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Artnature Inc","7823","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Morozoff Ltd","2217","도쿄","소비재/ 경기 방어형","식품 가공"
"Silver Life","9262","도쿄","소비재/ 경기 방어형","식품 가공"
"Gamecard Joyco","6249","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Nitto Fuji Flour Milling","2003","도쿄","소비재/ 경기 방어형","식품 가공"
"Premium Water","2588","도쿄","소비재/ 경기 방어형","음료 (비알코올성)"
"Ichimasa Kamaboko","2904","도쿄","소비재/ 경기 방어형","식품 가공"
"Ebara Foods Industry","2819","도쿄","소비재/ 경기 방어형","식품 가공"
"Yamatane Corp","9305","도쿄","소비재/ 경기 방어형","식품 가공"
"Sagami Rubber Industries","5194","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Fuji Nihon Seito","2114","도쿄","소비재/ 경기 방어형","식품 가공"
"Yamami","2820","도쿄","소비재/ 경기 방어형","식품 가공"
"Aohata","2830","도쿄","소비재/ 경기 방어형","식품 가공"
"Ozu Corp","7487","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Sato Foods","2923","도쿄","소비재/ 경기 방어형","식품 가공"
"Yutaka Foods","2806","도쿄","소비재/ 경기 방어형","식품 가공"
"Ivy Cosmetics","4918","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Lacto Japan","3139","도쿄","소비재/ 경기 방어형","식품 가공"
"Nakabayashi Co Ltd","7987","도쿄","소비재/ 경기 방어형","사무용품"
"Recomm","3323","도쿄","소비재/ 경기 방어형","사무용품"
"Yaizu Suisankagaku","2812","도쿄","소비재/ 경기 방어형","식품 가공"
"Yonkyu","9955","도쿄","소비재/ 경기 방어형","식품 가공"
"Sato Foods Industries","2814","도쿄","소비재/ 경기 방어형","식품 가공"
"Bull-Dog Sauce","2804","도쿄","소비재/ 경기 방어형","식품 가공"
"Nihon Shokuhin Kako","2892","도쿄","소비재/ 경기 방어형","식품 가공"
"Unicafe Inc","2597","도쿄","소비재/ 경기 방어형","식품 가공"
"KOWA CO","7807","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Miyoshi Oil Fat","4404","도쿄","소비재/ 경기 방어형","식품 가공"
"OUG Holdings Inc","8041","도쿄","소비재/ 경기 방어형","식품 가공"
"Satoh&Co","9996","도쿄","소비재/ 경기 방어형","식품 가공"
"C’Bon Cosmetics","4926","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Fundely","3137","도쿄","소비재/ 경기 방어형","식품 가공"
"Kanro","2216","도쿄","소비재/ 경기 방어형","식품 가공"
"Harima-Kyowa","7444","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Nippi","7932","도쿄","소비재/ 경기 방어형","Fish/Livestock 어업/축산"
"Daisho","2816","도쿄","소비재/ 경기 방어형","식품 가공"
"Dairei","2883","도쿄","소비재/ 경기 방어형","식품 가공"
"OM2 Network","7614","도쿄","소비재/ 경기 방어형","식품 가공"
"Chuo Gyorui","8030","도쿄","소비재/ 경기 방어형","식품 가공"
"Delica Foods Co Ltd","3392","도쿄","소비재/ 경기 방어형","곡물"
"Semba Tohka Industries","2916","도쿄","소비재/ 경기 방어형","식품 가공"
"Raccoon","3031","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Hokuryo","1384","도쿄","소비재/ 경기 방어형","Fish/Livestock 어업/축산"
"Pickles","2925","도쿄","소비재/ 경기 방어형","식품 가공"
"Oomitsu","3160","도쿄","소비재/ 경기 방어형","식품 가공"
"Shinobu Foods Products","2903","도쿄","소비재/ 경기 방어형","식품 가공"
"NittoBest","2877","도쿄","소비재/ 경기 방어형","식품 가공"
"Niitaka Co Ltd","4465","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Pietro","2818","도쿄","소비재/ 경기 방어형","식품 가공"
"AFC-HD AMS Life Science","2927","도쿄","소비재/ 경기 방어형","식품 가공"
"Ahjikan","2907","도쿄","소비재/ 경기 방어형","식품 가공"
"Hohsui Corp","1352","도쿄","소비재/ 경기 방어형","식품 가공"
"Ensuiko Sugar Refining","2112","도쿄","소비재/ 경기 방어형","식품 가공"
"Como","2224","도쿄","소비재/ 경기 방어형","식품 가공"
"Global Food Creators","7559","도쿄","소비재/ 경기 방어형","식품 가공"
"Japan Food & Liquor Alliance","2538","도쿄","소비재/ 경기 방어형","식품 가공"
"CB Group Management","9852","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Adjuvant Cosme Japan","4929","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"First Baking Co Ltd","2215","도쿄","소비재/ 경기 방어형","식품 가공"
"Tohto Suisan Co Ltd","8038","도쿄","소비재/ 경기 방어형","식품 가공"
"Fukutome Meat Packers","2291","도쿄","소비재/ 경기 방어형","식품 가공"
"Japan Foods Co Ltd","2599","도쿄","소비재/ 경기 방어형","음료 (비알코올성)"
"Nousouken","3541","도쿄","소비재/ 경기 방어형","곡물"
"Takizawa Ham","2293","도쿄","소비재/ 경기 방어형","식품 가공"
"Japan Animal Referral Medical","6039","도쿄","소비재/ 경기 방어형","Fish/Livestock 어업/축산"
"Hayashikane Sangyo","2286","도쿄","소비재/ 경기 방어형","식품 가공"
"Yokohama Maruuo","8045","도쿄","소비재/ 경기 방어형","식품 가공"
"Nichimo Co Ltd","8091","도쿄","소비재/ 경기 방어형","식품 가공"
"Toyo Sugar Refining","2107","도쿄","소비재/ 경기 방어형","식품 가공"
"Ifuji Sangyo","2924","도쿄","소비재/ 경기 방어형","Fish/Livestock 어업/축산"
"Kitoku Shinryo","2700","도쿄","소비재/ 경기 방어형","식품 가공"
"Nichiwa Sangyo","2055","도쿄","소비재/ 경기 방어형","식품 가공"
"Heiwa Paper","9929","도쿄","소비재/ 경기 방어형","사무용품"
"Nippon Shikizai","4920","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Shinyei Kaisha","3004","도쿄","소비재/ 경기 방어형","식품 가공"
"Imura Envelope Co","3955","도쿄","소비재/ 경기 방어형","사무용품"
"SHO-BI","7819","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Pixel Companyz","2743","도쿄","소비재/ 경기 방어형","사무용품"
"Econach Holdings","3521","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Cybele","2228","도쿄","소비재/ 경기 방어형","식품 가공"
"Atom Livin Tech","3426","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Lihit Lab","7975","도쿄","소비재/ 경기 방어형","사무용품"
"Masuda Flour Milling","2008","도쿄","소비재/ 경기 방어형","식품 가공"
"S.Ishimitsu &","2750","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"OK Food Industry","2905","도쿄","소비재/ 경기 방어형","식품 가공"
"Ohmoriya","2917","도쿄","소비재/ 경기 방어형","식품 가공"
"Ota Floriculture Auction","7555","도쿄","소비재/ 경기 방어형","곡물"
"O’ will","3143","도쿄","소비재/ 경기 방어형","식품 가공"
"Sailor Pen","7992","도쿄","소비재/ 경기 방어형","사무용품"
"Echo Trading Co Ltd","7427","도쿄","소비재/ 경기 방어형","식품 가공"
"Ishii Food","2894","도쿄","소비재/ 경기 방어형","식품 가공"
"Daito Gyorui","8044","도쿄","소비재/ 경기 방어형","식품 가공"
"Daisui","7538","도쿄","소비재/ 경기 방어형","식품 가공"
"Asahimatsu Foods","2911","도쿄","소비재/ 경기 방어형","식품 가공"
"JC Comsa","2876","도쿄","소비재/ 경기 방어형","식품 가공"
"Yokohama Gyorui","7443","도쿄","소비재/ 경기 방어형","식품 가공"
"Azearth","3161","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Fujicopian","7957","도쿄","소비재/ 경기 방어형","사무용품"
"Berg Earth","1383","도쿄","소비재/ 경기 방어형","곡물"
"Kyodo Paper","9849","도쿄","소비재/ 경기 방어형","사무용품"
"Akikawa Foods & Farms","1380","도쿄","소비재/ 경기 방어형","식품 가공"
"AuBEX","3583","도쿄","소비재/ 경기 방어형","사무용품"
"Wakou Shokuhin","2813","도쿄","소비재/ 경기 방어형","식품 가공"
"Boso Oil&Fat","2608","도쿄","소비재/ 경기 방어형","식품 가공"
"Tsukiji Uoichiba","8039","도쿄","소비재/ 경기 방어형","식품 가공"
"Ktk","3035","도쿄","소비재/ 경기 방어형","사무용품"
"Kaneyo","3209","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Shinozakiya","2926","도쿄","소비재/ 경기 방어형","식품 가공"
"Seihyo","2872","도쿄","소비재/ 경기 방어형","식품 가공"
"Sokensha","7413","도쿄","소비재/ 경기 방어형","식품 가공"
"Matsumoto","7901","도쿄","소비재/ 경기 방어형","사무용품"
"Fruta Fruta","2586","도쿄","소비재/ 경기 방어형","식품 가공"
"Taiyo Bussan Kaisha","9941","도쿄","소비재/ 경기 방어형","곡물"
"Ishigaki Foods","2901","도쿄","소비재/ 경기 방어형","식품 가공"
"Hob","1382","도쿄","소비재/ 경기 방어형","식품 가공"
"Japan Tobacco","2914","도쿄","소비재/ 경기 방어형","담배"
"가오","4452","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"아사히 그룹 홀딩스","2502","도쿄","소비재/ 경기 방어형","음료(알코올성)"
"시세이도","4911","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"기린 홀딩스","2503","도쿄","소비재/ 경기 방어형","음료(알코올성)"
"Unicharm Co","8113","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Suntory Beverage Food","2587","도쿄","소비재/ 경기 방어형","음료 (비알코올성)"
"Kose Corp","4922","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Yakult Honsha Co Ltd","2267","도쿄","소비재/ 경기 방어형","식품 가공"
"메이지 홀딩스","2269","도쿄","소비재/ 경기 방어형","식품 가공"
"아지노모토","2802","도쿄","소비재/ 경기 방어형","식품 가공"
"Pola Orbis Holdings","4927","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Coca-Cola West Co Ltd","2579","도쿄","소비재/ 경기 방어형","음료 (비알코올성)"
"기코망","2801","도쿄","소비재/ 경기 방어형","식품 가공"
"Nissin Foods Holdings Co Ltd","2897","도쿄","소비재/ 경기 방어형","식품 가공"
"닛신제분그룹","2002","도쿄","소비재/ 경기 방어형","식품 가공"
"Lion Corp","4912","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Pigeon Corp","7956","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Yamazaki Baking Co Ltd","2212","도쿄","소비재/ 경기 방어형","식품 가공"
"Calbee Inc","2229","도쿄","소비재/ 경기 방어형","식품 가공"
"닛폰햄","2282","도쿄","소비재/ 경기 방어형","식품 가공"
"Toyo Suisan Kaisha Ltd","2875","도쿄","소비재/ 경기 방어형","식품 가공"
"Ito En Ltd","2593","도쿄","소비재/ 경기 방어형","음료 (비알코올성)"
"Kewpie Corp","2809","도쿄","소비재/ 경기 방어형","식품 가공"
"니치레이","2871","도쿄","소비재/ 경기 방어형","식품 가공"
"Ezaki Glico Co Ltd","2206","도쿄","소비재/ 경기 방어형","식품 가공"
"Kagome Co Ltd","2811","도쿄","소비재/ 경기 방어형","음료 (비알코올성)"
"House Foods Group Inc","2810","도쿄","소비재/ 경기 방어형","식품 가공"
"Paltac Corp","8283","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Rohto Pharmaceutical","4527","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Fuji Oil Co Ltd","2607","도쿄","소비재/ 경기 방어형","식품 가공"
"Ariake Japan Co Ltd","2815","도쿄","소비재/ 경기 방어형","식품 가공"
"Pilot Corp","7846","도쿄","소비재/ 경기 방어형","사무용품"
"Itoham Yonekyu","2296","도쿄","소비재/ 경기 방어형","식품 가공"
"Noevir Holdings","4928","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Dr.Ci:Labo Co Ltd","4924","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Morinaga Co Ltd","2201","도쿄","소비재/ 경기 방어형","식품 가공"
"Fancl Corp","4921","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"삿포로 홀딩스","2501","도쿄","소비재/ 경기 방어형","음료(알코올성)"
"타카라 홀딩스","2531","도쿄","소비재/ 경기 방어형","음료(알코올성)"
"Morinaga Milk Industry","2264","도쿄","소비재/ 경기 방어형","식품 가공"
"Megmilk Snow Brand","2270","도쿄","소비재/ 경기 방어형","식품 가공"
"Askul Corp","2678","도쿄","소비재/ 경기 방어형","사무용품"
"Sakata Seed Corp","1377","도쿄","소비재/ 경기 방어형","곡물"
"Maruha Nichiro Corp","1333","도쿄","소비재/ 경기 방어형","Fish/Livestock 어업/축산"
"Mitsubishi Shokuhin","7451","도쿄","소비재/ 경기 방어형","식품 가공"
"Mandom Corp","4917","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Kotobuki Spirits","2222","도쿄","소비재/ 경기 방어형","식품 가공"
"일본수산","1332","도쿄","소비재/ 경기 방어형","식품 가공"
"Kobe Bussan Co Ltd","3038","도쿄","소비재/ 경기 방어형","식품 가공"
"Milbon Co Ltd","4919","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Mitsubishi Pencil","7976","도쿄","소비재/ 경기 방어형","사무용품"
"Prima Meat Packers","2281","도쿄","소비재/ 경기 방어형","식품 가공"
"S Foods Inc","2292","도쿄","소비재/ 경기 방어형","Fish/Livestock 어업/축산"
"Kato Sangyo Co Ltd","9869","도쿄","소비재/ 경기 방어형","식품 가공"
"Nippon Flour Mills","2001","도쿄","소비재/ 경기 방어형","식품 가공"
"Mitsui Sugar Co Ltd","2109","도쿄","소비재/ 경기 방어형","식품 가공"
"Kameda Seika Co Ltd","2220","도쿄","소비재/ 경기 방어형","식품 가공"
"Earth Chemical","4985","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Dydo Drinco Inc","2590","도쿄","소비재/ 경기 방어형","음료 (비알코올성)"
"Arata Corp","2733","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Nisshin OilliO Group","2602","도쿄","소비재/ 경기 방어형","식품 가공"
"Showa Sangyo Co Ltd","2004","도쿄","소비재/ 경기 방어형","식품 가공"
"닛토보","3110","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Euglena Co Ltd","2931","도쿄","소비재/ 경기 방어형","식품 가공"
"Bourbon","2208","도쿄","소비재/ 경기 방어형","식품 가공"
"Riken Vitamin","4526","도쿄","소비재/ 경기 방어형","식품 가공"
"Fujicco Co Ltd","2908","도쿄","소비재/ 경기 방어형","식품 가공"
"S&B Foods","2805","도쿄","소비재/ 경기 방어형","식품 가공"
"Itochu Shokuhin","2692","도쿄","소비재/ 경기 방어형","식품 가공"
"Lec Inc","7874","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Shoei Foods","8079","도쿄","소비재/ 경기 방어형","식품 가공"
"Nishimoto Wismettac","9260","도쿄","소비재/ 경기 방어형","식품 가공"
"Marudai Food Co Ltd","2288","도쿄","소비재/ 경기 방어형","식품 가공"
"Hokuto Corp","1379","도쿄","소비재/ 경기 방어형","곡물"
"Fujiya Co Ltd","2211","도쿄","소비재/ 경기 방어형","식품 가공"
"Chubushiryo Co Ltd","2053","도쿄","소비재/ 경기 방어형","식품 가공"
"Japan Pulp and Paper","8032","도쿄","소비재/ 경기 방어형","사무용품"
"Takasago International","4914","도쿄","소비재/ 경기 방어형","음료 (비알코올성)"
"Rheon Automatic Machinery","6272","도쿄","소비재/ 경기 방어형","식품 가공"
"J-Oil Mills","2613","도쿄","소비재/ 경기 방어형","식품 가공"
"Kadoya Sesame Mills","2612","도쿄","소비재/ 경기 방어형","식품 가공"
"Yokohama Reito","2874","도쿄","소비재/ 경기 방어형","식품 가공"
"Rock Field Co Ltd","2910","도쿄","소비재/ 경기 방어형","식품 가공"
"Kenko Mayonnaise","2915","도쿄","소비재/ 경기 방어형","식품 가공"
"Nagatanien Co Ltd","2899","도쿄","소비재/ 경기 방어형","식품 가공"
"ST Corporation","4951","도쿄","소비재/ 경기 방어형","개인과 가계용 제품"
"Imuraya Group","2209","도쿄","소비재/ 경기 방어형","식품 가공"
"Starzen Co Ltd","8043","도쿄","소비재/ 경기 방어형","식품 가공"
"Rokko Butter Co Ltd","2266","도쿄","소비재/ 경기 방어형","식품 가공"
"Key Coffee Inc","2594","도쿄","소비재/ 경기 방어형","식품 가공"
"Nissin Sugar","2117","도쿄","소비재/ 경기 방어형","식품 가공"
"Warabeya Nichiyo","2918","도쿄","소비재/ 경기 방어형","식품 가공"
"Feed One Holdings","2060","도쿄","소비재/ 경기 방어형","식품 가공"
"Kyokuyo","1301","도쿄","소비재/ 경기 방어형","식품 가공"
"Yomeishu Seizo","2540","도쿄","소비재/ 경기 방어형","음료(알코올성)"
"Kakiyasu Honten","2294","도쿄","소비재/ 경기 방어형","식품 가공"
"Nippon Beet Sugar","2108","도쿄","소비재/ 경기 방어형","식품 가공"
"FTGroup","2763","도쿄","소비재/ 경기 방어형","사무용품"
"Kanemi","2669","도쿄","소비재/ 경기 방어형","식품 가공"
