"종목","기호","거래소","부문","산업"
"Welcia Holdings","3141","도쿄","서비스","소매(약품)"
"Nippon Television Holdings Inc","9404","도쿄","서비스","방송과 케이블 티브이"
"MatsumotoKiyoshi Holdings Co","3088","도쿄","서비스","소매(약품)"
"Shimamura Co Ltd","8227","도쿄","서비스","소매(의복)"
"J프론트 리테일링","3086","도쿄","서비스","소매(백화점과 할인점)"
"MonotaRO","3064","도쿄","서비스","소매(카탈로그와 메일 주문)"
"Nippon Prologis REIT","3283","도쿄","서비스","렌탈과 리스"
"이세탄미츠코시 홀딩스","3099","도쿄","서비스","소매(백화점과 할인점)"
"Relo Holdings Inc","8876","도쿄","서비스","부동산 운용"
"Sega Sammy Holdings","6460","도쿄","서비스","카지노와 게임"
"Orix JREIT","8954","도쿄","서비스","부동산 운용"
"Cosmos Pharmaceutical Corp","3349","도쿄","서비스","소매(약품)"
"Daiwa House Reit","8984","도쿄","서비스","부동산 운용"
"Fuji Media Holdings Inc","4676","도쿄","서비스","방송과 케이블 티브이"
"Ntt Urban Development Corp","8933","도쿄","서비스","부동산 운용"
"Park24 Co Ltd","4666","도쿄","서비스","사업 서비스"
"Seria","2782","도쿄","서비스","소매(백화점과 할인점)"
"Benesse Holdings","9783","도쿄","서비스","학교"
"Tokyo Broadcasting System Inc","9401","도쿄","서비스","방송과 케이블 티브이"
"GLP J-REIT","3281","도쿄","서비스","렌탈과 리스"
"GMO Payment Gateway","3769","도쿄","서비스","사업 서비스"
"Universal Entertainment","6425","도쿄","서비스","카지노와 게임"
"Open House Co Ltd","3288","도쿄","서비스","렌탈과 리스"
"Sugi Holdings Co Ltd","7649","도쿄","서비스","소매(약품)"
"Advance Residence","3269","도쿄","서비스","부동산 운용"
"다카시마야","8233","도쿄","서비스","소매(백화점과 할인점)"
"Zensho Holdings Co Ltd","7550","도쿄","서비스","레스토랑"
"Japan Prime Realty","8955","도쿄","서비스","부동산 운용"
"도쿄타테모노","8804","도쿄","서비스","부동산 운용"
"Sankyo Co Ltd","6417","도쿄","서비스","카지노와 게임"
"K'S Holdings Corp","8282","도쿄","서비스","소매(전문)"
"BIC Camera Inc","3048","도쿄","서비스","소매(기술제품)"
"En-Japan","4849","도쿄","서비스","사업 서비스"
"Japan Hotel Reit","8985","도쿄","서비스","렌탈과 리스"
"Skylark Co Ltd","3197","도쿄","서비스","레스토랑"
"Ain Pharmaciez Inc","9627","도쿄","서비스","소매(약품)"
"Benefit One","2412","도쿄","서비스","사업 서비스"
"H.I.S. Co Ltd","9603","도쿄","서비스","개인 서비스"
"TV Asahi Holdings Corp","9409","도쿄","서비스","방송과 케이블 티브이"
"H2O Retailing Corp","8242","도쿄","서비스","소매(백화점과 할인점)"
"Kusuri No Aoki Holdings Co Ltd","3549","도쿄","서비스","소매(약품)"
"Resorttrust Inc","4681","도쿄","서비스","호텔과 모텔"
"Invincible","8963","도쿄","서비스","부동산 운용"
"T Gaia Corp","3738","도쿄","서비스","소매(기술제품)"
"Aoyama Trading","8219","도쿄","서비스","소매(의복)"
"Yaoko Co Ltd","8279","도쿄","서비스","소매(식료잡화)"
"Leopalace21 Corp","8848","도쿄","서비스","부동산 운용"
"TechnoPro Holdings","6028","도쿄","서비스","사업 서비스"
"Fuyo General Lease","8424","도쿄","서비스","렌탈과 리스"
"Frontier Real Estate","8964","도쿄","서비스","부동산 운용"
"Heiwa Corp","6412","도쿄","서비스","카지노와 게임"
"Shochiku Co Ltd","9601","도쿄","서비스","영화"
"Dip Corp","2379","도쿄","서비스","사업 서비스"
"Aeon Delight Co Ltd","9787","도쿄","서비스","사업 서비스"
"Cyberdyne","7779","도쿄","서비스","렌탈과 리스"
"Mori Trust Sogo Reit","8961","도쿄","서비스","부동산 운용"
"Workman","7564","도쿄","서비스","소매(의복)"
"Japan Logistics","8967","도쿄","서비스","렌탈과 리스"
"Aeon Reit","3292","도쿄","서비스","부동산 운용"
"Joyful Honda Co Ltd","3191","도쿄","서비스","소매(주택개조)"
"Kyoritsu Maintenance","9616","도쿄","서비스","렌탈과 리스"
"SMS Co Ltd","2175","도쿄","서비스","사업 서비스"
"San-A Co","2659","도쿄","서비스","소매(식료잡화)"
"Outsourcing Inc","2427","도쿄","서비스","사업 서비스"
"Industrial & Infrastructure","3249","도쿄","서비스","부동산 운용"
"Colowide Co Ltd","7616","도쿄","서비스","레스토랑"
"Cocokara Fine Inc","3098","도쿄","서비스","소매(약품)"
"Create SD Holdings","3148","도쿄","서비스","소매(약품)"
"DA Consortium","6534","도쿄","서비스","광고"
"Japan Excellent","8987","도쿄","서비스","부동산 운용"
"Atom","7412","도쿄","서비스","레스토랑"
"Meitec Corp","9744","도쿄","서비스","사업 서비스"
"Aplus Financial Co Ltd","8589","도쿄","서비스","사업 서비스"
"Sanrio Co Ltd","8136","도쿄","서비스","소매(전문)"
"Toei Co Ltd","9605","도쿄","서비스","영화"
"Toridoll Corp","3397","도쿄","서비스","레스토랑"
"Autobacs Seven","9832","도쿄","서비스","소매(전문)"
"스카이 퍼펙트 JSAT","9412","도쿄","서비스","방송과 케이블 티브이"
"Shimachu Co Ltd","8184","도쿄","서비스","소매(주택개조)"
"Round One Corp","4680","도쿄","서비스","여가 활동"
"Kenedix Inc","4321","도쿄","서비스","부동산 운용"
"Saizeriya Co Ltd","7581","도쿄","서비스","레스토랑"
"Tosho Co Ltd","8920","도쿄","서비스","여가 활동"
"Life Corp","8194","도쿄","서비스","소매(식료잡화)"
"Starts Corp Inc","8850","도쿄","서비스","부동산 운용"
"Kintetsu Department Store","8244","도쿄","서비스","소매(백화점과 할인점)"
"Komeri Co Ltd","8218","도쿄","서비스","소매(주택개조)"
"DCM Holdings Co Ltd","3050","도쿄","서비스","소매(주택개조)"
"Valor Co Ltd","9956","도쿄","서비스","소매(식료잡화)"
"Kura Corp","2695","도쿄","서비스","레스토랑"
"Heiwado Co Ltd","8276","도쿄","서비스","소매(식료잡화)"
"Koshidaka","2157","도쿄","서비스","여가 활동"
"Sushiro Global","3563","도쿄","서비스","레스토랑"
"United Super Markets","3222","도쿄","서비스","소매(식료잡화)"
"Duskin Co Ltd","4665","도쿄","서비스","개인 서비스"
"Aoki Holdings Inc","8214","도쿄","서비스","소매(의복)"
"Toei Animation","4816","도쿄","서비스","영화"
"Premier","8956","도쿄","서비스","부동산 운용"
"Comforia Residential Reit","3282","도쿄","서비스","부동산 운용"
"Link and Motivation","2170","도쿄","서비스","학교"
"Arcs Co Ltd","9948","도쿄","서비스","소매(식료잡화)"
"Parco Co Ltd","8251","도쿄","서비스","소매(백화점과 할인점)"
"Daibiru Corp","8806","도쿄","서비스","부동산 운용"
"Tokyu Reit","8957","도쿄","서비스","부동산 운용"
"JIN Co Ltd","3046","도쿄","서비스","소매(전문)"
"M&A Capital Partners","6080","도쿄","서비스","사업 서비스"
"Ichibanya Co Ltd","7630","도쿄","서비스","레스토랑"
"Yoshinoya Holdings","9861","도쿄","서비스","레스토랑"
