"종목","기호","거래소","부문","산업"
"Kanagawa Chuo Kotsu","9081","도쿄","운송","다종 운송"
"Nippon Sharyo Ltd","7102","도쿄","운송","철도"
"Mitsui Soko Holdings","9302","도쿄","운송","트럭 운송"
"Namura Shipbuild Co Ltd","7014","도쿄","운송","수상 운송"
"Chilled & Frozen Logistics","9099","도쿄","운송","트럭 운송"
"Hiroshima Electric Railway","9033","도쿄","운송","다종 운송"
"Alps Logistics","9055","도쿄","운송","트럭 운송"
"KRS Corp","9369","도쿄","운송","트럭 운송"
"Japan Transcity","9310","도쿄","운송","다종 운송"
"Kobe Electric Railway","9046","도쿄","운송","철도"
"Yasuda Logistics","9324","도쿄","운송","다종 운송"
"Shibusawa Warehouse","9304","도쿄","운송","트럭 운송"
"Zero","9028","도쿄","운송","트럭 운송"
"Shinki Bus","9083","도쿄","운송","다종 운송"
"Shin Keisei Electric Railway","9014","도쿄","운송","다종 운송"
"AIT Corp","9381","도쿄","운송","수상 운송"
"Chuo Warehouse","9319","도쿄","운송","트럭 운송"
"Nippon Concept","9386","도쿄","운송","수상 운송"
"Naigai Trans Line","9384","도쿄","운송","수상 운송"
"Utoc Corp","9358","도쿄","운송","트럭 운송"
"Sugimura Warehouse","9307","도쿄","운송","다종 운송"
"Kinki Sharyo Co Ltd","7122","도쿄","운송","철도"
"AGP","9377","도쿄","운송","다종 운송"
"Meiji Shipping","9115","도쿄","운송","수상 운송"
"S Line Co","9078","도쿄","운송","트럭 운송"
"Kawanishi Warehouse","9322","도쿄","운송","다종 운송"
"Toyo Logistics","9306","도쿄","운송","트럭 운송"
"Star Flyer","9206","도쿄","운송","항공사"
"Kanda","9059","도쿄","운송","트럭 운송"
"Toyo Wharf Warehouse","9351","도쿄","운송","다종 운송"
"Azuma Shipping","9380","도쿄","운송","다종 운송"
"Keihin Co Ltd","9312","도쿄","운송","트럭 운송"
"Enshu Truck","9057","도쿄","운송","트럭 운송"
"Japan Oil Transportation","9074","도쿄","운송","다종 운송"
"Kawasaki Kinkai Kisen Kaisha","9179","도쿄","운송","수상 운송"
"Maruwn Corp","9067","도쿄","운송","트럭 운송"
"Tokyo Kisen","9193","도쿄","운송","다종 운송"
"Refinverse","6531","도쿄","운송","트럭 운송"
"Sanoyas Holdings","7022","도쿄","운송","수상 운송"
"Kuribayashi Steamship","9171","도쿄","운송","수상 운송"
"Niigata Kotsu","9017","도쿄","운송","다종 운송"
"Daiwa Motor Transport","9082","도쿄","운송","다종 운송"
"Kyoei Tanker Co Ltd","9130","도쿄","운송","수상 운송"
"Nanso Transport","9034","도쿄","운송","트럭 운송"
"Asagami","9311","도쿄","운송","트럭 운송"
"Okayamaken Freight Transport","9063","도쿄","운송","트럭 운송"
"Tohbu Network","9036","도쿄","운송","트럭 운송"
"Maruhachi Warehouse","9313","도쿄","운송","다종 운송"
"Keifuku Electric Railroad","9049","도쿄","운송","철도"
"Higashi Twenty One","9029","도쿄","운송","트럭 운송"
"Daito Koun","9367","도쿄","운송","수상 운송"
"Sakurajima Futo Kaisha","9353","도쿄","운송","다종 운송"
"Toei Reefer Line","9133","도쿄","운송","수상 운송"
"Tokai Kisen","9173","도쿄","운송","수상 운송"
"Rinko","9355","도쿄","운송","수상 운송"
"Japan Logistic Systems","9060","도쿄","운송","트럭 운송"
"Chichibu Railway","9012","도쿄","운송","철도"
"Fushiki Kairiku Unso","9361","도쿄","운송","다종 운송"
"Sado Steam Ship","9176","도쿄","운송","수상 운송"
"Naikai Zosen","7018","도쿄","운송","수상 운송"
"Emergency Assistance Japan","6063","도쿄","운송","다종 운송"
"Daiun","9363","도쿄","운송","다종 운송"
"Tamai Steamship","9127","도쿄","운송","수상 운송"
"Tradia","9365","도쿄","운송","수상 운송"
"Hyoki Kaiun Kaisha","9362","도쿄","운송","수상 운송"
"Kyogoku Unyu Shoji","9073","도쿄","운송","트럭 운송"
"센트럴재팬 철도","9022","도쿄","운송","철도"
"동일본여객철도","9020","도쿄","운송","철도"
"Japan Airlines Co","9201","도쿄","운송","항공사"
"ANA Holdings","9202","도쿄","운송","항공사"
"서일본철도","9021","도쿄","운송","다종 운송"
"야마토 홀딩스","9064","도쿄","운송","항공 우편"
"도큐","9005","도쿄","운송","다종 운송"
"Hankyu Hanshin Holdings Inc","9042","도쿄","운송","철도"
"오다큐 전철","9007","도쿄","운송","다종 운송"
"Kintetsu Corp","9041","도쿄","운송","다종 운송"
"SG Holdings","9143","도쿄","운송","항공 우편"
"니폰통운","9062","도쿄","운송","다종 운송"
"도부 철도","9001","도쿄","운송","다종 운송"
"Seibu Holdings Inc","9024","도쿄","운송","철도"
"게이세이 전철","9009","도쿄","운송","다종 운송"
"Kyushu Railway","9142","도쿄","운송","다종 운송"
"Keikyu Corp","9006","도쿄","운송","다종 운송"
"Nagoya Railroad Co Ltd","9048","도쿄","운송","다종 운송"
"Seino Holdings Co Ltd","9076","도쿄","운송","트럭 운송"
"Keihan Electric Railway","9045","도쿄","운송","다종 운송"
"미쓰이 상선","9104","도쿄","운송","수상 운송"
"일본유선","9101","도쿄","운송","수상 운송"
"Sankyu Inc","9065","도쿄","운송","트럭 운송"
"Japan Airport Terminal","9706","도쿄","운송","다종 운송"
"Hitachi Transport Sys Ltd","9086","도쿄","운송","트럭 운송"
"Kamigumi Co Ltd","9364","도쿄","운송","트럭 운송"
"Nankai Electric Railway","9044","도쿄","운송","다종 운송"
"Sotetsu Holdings Inc","9003","도쿄","운송","철도"
"Fukuyama Transporting","9075","도쿄","운송","트럭 운송"
"가와사키 기선","9107","도쿄","운송","수상 운송"
"Nishi Nippon Railroad","9031","도쿄","운송","철도"
"미쓰비시 창고","9301","도쿄","운송","수상 운송"
"Nippon Konpo Unyu Soko","9072","도쿄","운송","트럭 운송"
"Fuji Kyuko Co Ltd","9010","도쿄","운송","철도"
"Modec Inc","6269","도쿄","운송","수상 운송"
"Kintetsu World Express","9375","도쿄","운송","다종 운송"
"미쓰이 조선","7003","도쿄","운송","수상 운송"
"The Sumitomo Warehouse Co Ltd","9303","도쿄","운송","트럭 운송"
"Senko Co Ltd","9069","도쿄","운송","트럭 운송"
"Sakai Moving Service","9039","도쿄","운송","트럭 운송"
"Konoike Transport","9025","도쿄","운송","트럭 운송"
"Trancom Co Ltd","9058","도쿄","운송","트럭 운송"
"Hamakyorex Co Ltd","9037","도쿄","운송","트럭 운송"
"Yusen Logistics","9370","도쿄","운송","항공 우편"
"Tonami Holdings","9070","도쿄","운송","트럭 운송"
"Nissin Corp","9066","도쿄","운송","항공 우편"
"Iino Kaiun Kaisha","9119","도쿄","운송","수상 운송"
"SBS Holdings Inc","2384","도쿄","운송","트럭 운송"
"NS United Kaiun Kaisha","9110","도쿄","운송","수상 운송"
"Maruzen Showa Unyu","9068","도쿄","운송","트럭 운송"
