"종목","기호","거래소","부문","산업"
"Bioleaders","142760","KOSDAQ","보건의료","생물공학 및 약품"
"Corestem","166480","KOSDAQ","보건의료","생물공학 및 약품"
"Bioneer","064550","KOSDAQ","보건의료","생물공학 및 약품"
"Biotoxtech","086040","KOSDAQ","보건의료","헬쓰케어 설비"
"CTC Bio","060590","KOSDAQ","보건의료","기간 약품"
"DaehanPharmaceutical","023910","KOSDAQ","보건의료","기간 약품"
"EyeGene","185490","KOSDAQ","보건의료","생물공학 및 약품"
"명문제약","017180","서울","보건의료","생물공학 및 약품"
"Kang Stem Biotech","217730","KOSDAQ","보건의료","생물공학 및 약품"
"Sewoon Medical","100700","KOSDAQ","보건의료","의료 장비와 용품"
"Cellumed","049180","KOSDAQ","보건의료","생물공학 및 약품"
"현대약품","004310","서울","보건의료","기간 약품"
"Daehan New Pharm","054670","KOSDAQ","보건의료","기간 약품"
"Ahn-Gook Pharmaceutical","001540","KOSDAQ","보건의료","생물공학 및 약품"
"Korea Arlico Pharm","260660","KOSDAQ","보건의료","생물공학 및 약품"
"BCworld Pharm","200780","KOSDAQ","보건의료","생물공학 및 약품"
"Eubiologics","206650","KOSDAQ","보건의료","생물공학 및 약품"
"Kyung Nam Pharm","053950","KOSDAQ","보건의료","기간 약품"
"Qurient","115180","KOSDAQ","보건의료","생물공학 및 약품"
"삼성제약","001360","서울","보건의료","생물공학 및 약품"
"삼일제약","000520","서울","보건의료","기간 약품"
"Sinsin Pharm","002800","KOSDAQ","보건의료","의료 장비와 용품"
"ChoA Pharmaceutical","034940","KOSDAQ","보건의료","생물공학 및 약품"
"Pangen Biotech","222110","KOSDAQ","보건의료","생물공학 및 약품"
"DHP Korea","131030","KOSDAQ","보건의료","생물공학 및 약품"
"EstechPharma","041910","KOSDAQ","보건의료","생물공학 및 약품"
"일동제약","000230","서울","보건의료","생물공학 및 약품"
"Pharmswell Bio","043090","KOSDAQ","보건의료","생물공학 및 약품"
"Sam-A Pharm","009300","KOSDAQ","보건의료","생물공학 및 약품"
"Solborn","035610","KOSDAQ","보건의료","의료 장비와 용품"
"Huvitz","065510","KOSDAQ","보건의료","의료 장비와 용품"
