"종목","기호","거래소","부문","산업"
"CKH Food & Health","900120","KOSDAQ","소비재/ 경기 방어형","식품 가공"
"Hanil Feed","005860","KOSDAQ","소비재/ 경기 방어형","식품 가공"
"Singsongholdin","006880","서울","소비재/ 경기 방어형","식품 가공"
"사조해표","079660","서울","소비재/ 경기 방어형","식품 가공"
"Hyungkuk F&B","189980","KOSDAQ","소비재/ 경기 방어형","식품 가공"
"모나미","005360","서울","소비재/ 경기 방어형","사무용품"
"Daejoo","003310","KOSDAQ","소비재/ 경기 방어형","식품 가공"
"KC Feed","025880","KOSDAQ","소비재/ 경기 방어형","식품 가공"
"Mcnulty Korea","222980","KOSDAQ","소비재/ 경기 방어형","식품 가공"
"GeneBioTech","086060","KOSDAQ","소비재/ 경기 방어형","식품 가공"
"CuroHoldings","051780","KOSDAQ","소비재/ 경기 방어형","식품 가공"
"S&P World","263920","KOSDAQ","소비재/ 경기 방어형","개인과 가계용 제품"
"Foodwell","005670","KOSDAQ","소비재/ 경기 방어형","음료 (비알코올성)"
"VirtualTek","036620","KOSDAQ","소비재/ 경기 방어형","사무용품"
"MH에탄올","023150","서울","소비재/ 경기 방어형","음료(알코올성)"
"Hantop","002680","KOSDAQ","소비재/ 경기 방어형","식품 가공"
"Asia Seed","154030","KOSDAQ","소비재/ 경기 방어형","곡물"
"동원수산","030720","서울","소비재/ 경기 방어형","Fish/Livestock 어업/축산"
"한성기업","003680","서울","소비재/ 경기 방어형","식품 가공"
"CoreCross","038530","KOSDAQ","소비재/ 경기 방어형","사무용품"
"한솔PNS","010420","서울","소비재/ 경기 방어형","사무용품"
"Haengnam","008800","KOSDAQ","소비재/ 경기 방어형","개인과 가계용 제품"
"Silla SG","025870","KOSDAQ","소비재/ 경기 방어형","식품 가공"
"LG생활건강","051900","서울","소비재/ 경기 방어형","개인과 가계용 제품"
"아모레퍼시픽","090430","서울","소비재/ 경기 방어형","개인과 가계용 제품"
"KT&G","033780","서울","소비재/ 경기 방어형","담배"
"아모레G","002790","서울","소비재/ 경기 방어형","개인과 가계용 제품"
"Orion","271560","서울","소비재/ 경기 방어형","식품 가공"
"CJ제일제당","097950","서울","소비재/ 경기 방어형","식품 가공"
"CJ","001040","서울","소비재/ 경기 방어형","식품 가공"
"롯데제과","004990","서울","소비재/ 경기 방어형","식품 가공"
"Dongsuh","026960","서울","소비재/ 경기 방어형","식품 가공"
"오뚜기","007310","서울","소비재/ 경기 방어형","식품 가공"
"농심","004370","서울","소비재/ 경기 방어형","식품 가공"
"오리온","001800","서울","소비재/ 경기 방어형","식품 가공"
"한국콜마","161890","서울","소비재/ 경기 방어형","개인과 가계용 제품"
"하이트진로","000080","서울","소비재/ 경기 방어형","음료(알코올성)"
"Nature Cell","007390","KOSDAQ","소비재/ 경기 방어형","식품 가공"
"Cosmax Inc","192820","서울","소비재/ 경기 방어형","개인과 가계용 제품"
"롯데칠성음료","005300","서울","소비재/ 경기 방어형","음료 (비알코올성)"
"SPC Samlip","005610","서울","소비재/ 경기 방어형","식품 가공"
"Jeil Holdings","003380","KOSDAQ","소비재/ 경기 방어형","식품 가공"
"동원산업","006040","서울","소비재/ 경기 방어형","식품 가공"
"Daesang Corp","001680","서울","소비재/ 경기 방어형","식품 가공"
"삼양사","145990","서울","소비재/ 경기 방어형","식품 가공"
"동원F&B","049770","서울","소비재/ 경기 방어형","식품 가공"
"삼양홀딩스","000070","서울","소비재/ 경기 방어형","식품 가공"
"한국콜마홀딩스","024720","서울","소비재/ 경기 방어형","개인과 가계용 제품"
"롯데푸드","002270","서울","소비재/ 경기 방어형","식품 가공"
"삼양식품","003230","서울","소비재/ 경기 방어형","식품 가공"
"빙그레","005180","서울","소비재/ 경기 방어형","식품 가공"
"Clio Cosmetics","237880","KOSDAQ","소비재/ 경기 방어형","개인과 가계용 제품"
"남양유업","003920","서울","소비재/ 경기 방어형","식품 가공"
"동성제약","002210","서울","소비재/ 경기 방어형","개인과 가계용 제품"
"무학","033920","서울","소비재/ 경기 방어형","음료(알코올성)"
"풀무원홀딩스","017810","서울","소비재/ 경기 방어형","식품 가공"
"신세계푸드","031440","서울","소비재/ 경기 방어형","식품 가공"
"Maeil Dairies Co","267980","KOSDAQ","소비재/ 경기 방어형","음료 (비알코올성)"
"에이블씨엔씨","078520","서울","소비재/ 경기 방어형","개인과 가계용 제품"
"농심홀딩스","072710","서울","소비재/ 경기 방어형","식품 가공"
"팜스코","036580","서울","소비재/ 경기 방어형","식품 가공"
"NeoPharm","092730","KOSDAQ","소비재/ 경기 방어형","개인과 가계용 제품"
"Haitai Confectionery and Foods","101530","서울","소비재/ 경기 방어형","식품 가공"
"CJ Freshway","051500","KOSDAQ","소비재/ 경기 방어형","식품 가공"
