"종목","기호","거래소","부문","산업"
"Cemex","CMXCPO","멕시코","자본재","건설 – 원자재"
"Cemex","CMXCPO","멕시코","자본재","건설 – 원자재"
"IDEAL B1","IDEALB1","멕시코","자본재","건설 서비스"
"Moctezuma","CMOCTEZ","멕시코","자본재","건설 – 원자재"
"Vitro A","VITROA","멕시코","자본재","건설 – 용품과 비품"
"Grupo Cementos","GCC","멕시코","자본재","건설 – 원자재"
"Vitro A","VITROA","멕시코","자본재","건설 – 용품과 비품"
"Elementia SA de CV","ELEMENT","멕시코","자본재","건설 – 원자재"
"Elementia SA de CV","ELEMENT","멕시코","자본재","건설 – 원자재"
"Corporacion Inmobiliaria Vesta SAB","VESTA","멕시코","자본재","건설 서비스"
"Lamosa","LAMOSA","멕시코","자본재","건설 – 용품과 비품"
"Grupo Gicsa SA de CV","GICSAB","멕시코","자본재","건설 서비스"
"Corporacion Inmobiliaria Vesta SAB","VESTA","멕시코","자본재","건설 서비스"
"Grupo Gicsa SA de CV","GICSAB","멕시코","자본재","건설 서비스"
"Consorcio Ara","ARA","멕시코","자본재","건설 서비스"
"Internacional  Ceramica B","CERAMICB","멕시코","자본재","건설 – 용품과 비품"
"Dine A","DINEA","멕시코","자본재","건설 서비스"
"Dine B","DINEB","멕시코","자본재","건설 서비스"
"Planigrupo Latam","PLANI","멕시코","자본재","건설 서비스"
"Cadu Inmobiliaria SA de CV","CADUA","멕시코","자본재","건설 서비스"
"Vinte Viviendas Integrales","VINTE","멕시코","자본재","건설 서비스"
"Servicios Corporativos Javer","JAVER","멕시코","자본재","건설 서비스"
"Collado SA","COLLADO","멕시코","자본재","건설 – 용품과 비품"
"Urbi Desarrollos Urbanos","URBI","멕시코","자본재","건설 서비스"
"Empresas ICA","ICA","멕시코","자본재","건설 서비스"
"Desarrolladora Homex","HOMEX","멕시코","자본재","건설 서비스"
"Sare Holding B","SAREB","멕시코","자본재","건설 서비스"
"Corporacion Geo SAB","GEOB","멕시코","자본재","건설 서비스"
"테나리스","TS","멕시코","자본재","건설 – 용품과 비품"
"유나이티드 테크놀로지스","UTX","멕시코","자본재","항공 우주와 방위"
"마스코","MAS","멕시코","자본재","건설 – 용품과 비품"
"Weir Group","WEIRN","멕시코","자본재","다종 자본재"
"테느니카스 리유니다스","TREN","멕시코","자본재","건설 서비스"
"Atlas Copco A","ACOFN","멕시코","자본재","다종 자본재"
"캐터필러","CAT","멕시코","자본재","건설과 농업용 기계"
"제너럴 일렉트릭","GE","멕시코","자본재","항공 우주와 방위"
"Meggitt","MGGTN","멕시코","자본재","항공 우주와 방위"
"그루포 페러비얼","FERN","멕시코","자본재","건설 서비스"
"레너","LEN","멕시코","자본재","건설 서비스"
"플루오르","FLR","멕시코","자본재","건설 서비스"
"Berkeley Group","BKGN","멕시코","자본재","건설 서비스"
"하니웰","HON","멕시코","자본재","항공 우주와 방위"
"Martin Marietta Materials Inc","MLM","멕시코","자본재","건설 – 원자재"
"펄티 그룹","PHM","멕시코","자본재","건설 서비스"
"Global Dominion","DOMN","멕시코","자본재","건설 서비스"
"Saint Gobain","SGON","멕시코","자본재","건설 – 용품과 비품"
"3M","MMM","멕시코","자본재","건설 – 용품과 비품"
"제너럴 다이내믹스","GD","멕시코","자본재","항공 우주와 방위"
"Mtu Aero Engines Holding AG","MTXN","멕시코","자본재","항공 우주와 방위"
"빈치","DGN","멕시코","자본재","건설 서비스"
"가메사","SGREN","멕시코","자본재","다종 자본재"
"Heidelbergcement","HEIN","멕시코","자본재","건설 – 원자재"
"Kb Home","KBH","멕시코","자본재","건설 서비스"
"록히드 마틴","LMT","멕시코","자본재","항공 우주와 방위"
"빈치","DGN","멕시코","자본재","건설 서비스"
"Topbuild Corp","BLD","멕시코","자본재","건설 서비스"
"Timken Co","TKR","멕시코","자본재","다종 자본재"
