"종목","기호","거래소","부문","산업"
"Nemak SAB de CV","NEMAKA","멕시코","경기 민감형 소비재","자동차와 트럭 제조"
"Nemak SAB de CV","NEMAKA","멕시코","경기 민감형 소비재","자동차와 트럭 제조"
"Rassini SAB de CV","RASSNICPO","멕시코","경기 민감형 소비재","자동차와 트럭 부품"
"Rassini SAB de CV A","RASSINIA","멕시코","경기 민감형 소비재","자동차와 트럭 부품"
"Grupo Industrial Saltillo SAB de CV","GISSAA","멕시코","경기 민감형 소비재","자동차와 트럭 부품"
"Edoardos Martin B","EDOARDOB","멕시코","경기 민감형 소비재","의복/액세서리"
"Hilasal Mexicana A","HILASALA","멕시코","경기 민감형 소비재","직물 – 비의류"
"엑소르","EXO1N","멕시코","경기 민감형 소비재","자동차와 트럭 제조"
"Fiat","FCAUN","멕시코","경기 민감형 소비재","자동차와 트럭 제조"
"Michelin","MLNN","멕시코","경기 민감형 소비재","타이어"
"Daimler","DAIN","멕시코","경기 민감형 소비재","자동차와 트럭 제조"
"GoPro Inc","GPRO","멕시코","경기 민감형 소비재","사진술"
"일리노이 툴 웍스","ITW","멕시코","경기 민감형 소비재","자동차와 트럭 부품"
"Polaris Industries","PII","멕시코","경기 민감형 소비재","여가용 제품"
"제너럴 모터스","GM","멕시코","경기 민감형 소비재","자동차와 트럭 제조"
"BMW","BMWM5N","멕시코","경기 민감형 소비재","자동차와 트럭 제조"
"굿이어","GT","멕시코","경기 민감형 소비재","타이어"
"Louis Vuitton","MCN","멕시코","경기 민감형 소비재","의복/액세서리"
"Cie Automotive SA","CIEAN","멕시코","경기 민감형 소비재","자동차와 트럭 부품"
"포드","F","멕시코","경기 민감형 소비재","자동차와 트럭 제조"
"Adidas","ADSN","멕시코","경기 민감형 소비재","신발"
"나이키","NKE","멕시코","경기 민감형 소비재","신발"
"테슬라 모터스","TSLA","멕시코","경기 민감형 소비재","자동차와 트럭 제조"
"월풀","WHR","멕시코","경기 민감형 소비재","가전과 공구"
"Magna International","MGAN","멕시코","경기 민감형 소비재","자동차와 트럭 부품"
"Under Armour A","UAA","멕시코","경기 민감형 소비재","의복/액세서리"
"스와치 그룹 아이","UHRN","멕시코","경기 민감형 소비재","보석 및 은제품"
"Lear","LEA","멕시코","경기 민감형 소비재","자동차와 트럭 부품"
"Ferrari NV","RACEN","멕시코","경기 민감형 소비재","자동차와 트럭 제조"
"Nintendo","NTDOYN","멕시코","경기 민감형 소비재","여가용 제품"
