"종목","기호","거래소","부문","산업"
"Wilmar international","WLIL","싱가포르","소비재/ 경기 방어형","식품 가공"
"Thai Beverage","TBEV","싱가포르","소비재/ 경기 방어형","음료(알코올성)"
"Olam international","OLAM","싱가포르","소비재/ 경기 방어형","식품 가공"
"Golden agri-resources ltd","GAGR","싱가포르","소비재/ 경기 방어형","식품 가공"
"Fraser and neave","FRNM","싱가포르","소비재/ 경기 방어형","음료 (비알코올성)"
"First Resources Ltd","FRLD","싱가포르","소비재/ 경기 방어형","곡물"
"Bumitama Agri Ltd","BUMI","싱가포르","소비재/ 경기 방어형","곡물"
"Best World International","BEST","싱가포르","소비재/ 경기 방어형","개인과 가계용 제품"
"Delfi","DELF","싱가포르","소비재/ 경기 방어형","식품 가공"
"Japfa Ltd","JAPF","싱가포르","소비재/ 경기 방어형","식품 가공"
"Del Monte Pacific Ltd","DMPL","싱가포르","소비재/ 경기 방어형","식품 가공"
"Yeo Hiap Seng Ltd","YHSS","싱가포르","소비재/ 경기 방어형","음료 (비알코올성)"
"QAF Ltd","QAFS","싱가포르","소비재/ 경기 방어형","식품 가공"
"BreadTalk Group Ltd","BRET","싱가포르","소비재/ 경기 방어형","식품 가공"
"Indofood Agri Resources Ltd","IFAR","싱가포르","소비재/ 경기 방어형","곡물"
"Mewah International Inc","MEWI","싱가포르","소비재/ 경기 방어형","식품 가공"
"Food Empire Holdings Ltd","FEMP","싱가포르","소비재/ 경기 방어형","식품 가공"
"China Fishery Group Ltd","CNFG","싱가포르","소비재/ 경기 방어형","Fish/Livestock 어업/축산"
"Oceanus Group Ltd","OCGL","싱가포르","소비재/ 경기 방어형","Fish/Livestock 어업/축산"
"Sino Grandness Food Industry Group","SOGF","싱가포르","소비재/ 경기 방어형","식품 가공"
"Pacific Andes Resources Development","PACF","싱가포르","소비재/ 경기 방어형","식품 가공"
"ABR","ABRH","싱가포르","소비재/ 경기 방어형","식품 가공"
"JB Foods Ltd","JBFO","싱가포르","소비재/ 경기 방어형","식품 가공"
"Koh Brothers Eco Engineering Ltd","KBEE","싱가포르","소비재/ 경기 방어형","식품 가공"
"San Teh Ltd","SANS","싱가포르","소비재/ 경기 방어형","개인과 가계용 제품"
"Global Palm Resources Holdings Ltd","GPRL","싱가포르","소비재/ 경기 방어형","곡물"
"Yamada Green Resources Ltd","YAMR","싱가포르","소비재/ 경기 방어형","곡물"
"Khong Guan Flour","KHON","싱가포르","소비재/ 경기 방어형","식품 가공"
"United Food Holdings Ltd","UTDF","싱가포르","소비재/ 경기 방어형","식품 가공"
"Chew’s Group","CHGL","싱가포르","소비재/ 경기 방어형","Fish/Livestock 어업/축산"
"Envictus International Holdings Ltd","ETIK","싱가포르","소비재/ 경기 방어형","식품 가공"
"SunMoon Food Company Ltd","SMFC","싱가포르","소비재/ 경기 방어형","식품 가공"
"HLH Group Ltd","HLHG","싱가포르","소비재/ 경기 방어형","곡물"
"Dukang Distillers Holdings Ltd","DDHL","싱가포르","소비재/ 경기 방어형","음료(알코올성)"
"Mercurius Capital Investment","MERC","싱가포르","소비재/ 경기 방어형","개인과 가계용 제품"
"Hosen Group Ltd","HSNG","싱가포르","소비재/ 경기 방어형","식품 가공"
"Luzhou Bio Chem Technology Ltd","LUZH","싱가포르","소비재/ 경기 방어형","식품 가공"
"Zhongxin Fruit and Juice Ltd","ZHON","싱가포르","소비재/ 경기 방어형","식품 가공"
"Nippecraft Ltd","NIPP","싱가포르","소비재/ 경기 방어형","사무용품"
"Pine Capital","PINC","싱가포르","소비재/ 경기 방어형","개인과 가계용 제품"
"Joyas International Holdings Ltd","JIHL","싱가포르","소비재/ 경기 방어형","개인과 가계용 제품"
