"종목","기호","거래소","부문","산업"
"Venture Corporation Ltd","VENM","싱가포르","테크놀로지","전자 장비와 제어기"
"Silverlake Axis Ltd","SLVX","싱가포르","테크놀로지","소프트웨어와 프로그래밍"
"UMS Holdings Ltd","UMSH","싱가포르","테크놀로지","반도체"
"Aem Holdings Ltd","AEM","싱가포르","테크놀로지","반도체"
"Valuetronics Holdings Ltd","VLUE","싱가포르","테크놀로지","전자 장비와 제어기"
"Creative Technology Ltd","CREA","싱가포르","테크놀로지","컴퓨터 주변기기"
"Sunningdale Tech Ltd","SUND","싱가포르","테크놀로지","통신 장비"
"Elec & Eltek International Company","EELT","싱가포르","테크놀로지","반도체"
"Chuan Hup Holdings Ltd","CHHS","싱가포르","테크놀로지","전자 장비와 제어기"
"Memtech International Ltd","MEMT","싱가포르","테크놀로지","과학과 기술 장비"
"CSE Global Ltd","CSES","싱가포르","테크놀로지","컴퓨터 서비스"
"Place Holdings","THEP","싱가포르","테크놀로지","반도체"
"PCI Ltd","PCIL","싱가포르","테크놀로지","전자 장비와 제어기"
"Serial System Ltd","SERL","싱가포르","테크놀로지","반도체"
"Nera Telecommunications Ltd","NERA","싱가포르","테크놀로지","통신 장비"
"Telechoice International Ltd","TCIN","싱가포르","테크놀로지","전자 장비와 제어기"
"Sunright Ltd","SNRT","싱가포르","테크놀로지","반도체"
"Ellipsiz Ltd","ELPZ","싱가포르","테크놀로지","반도체"
"Singapore Myanmar","SINO","싱가포르","테크놀로지","반도체"
"Multi Chem Ltd","MCHE","싱가포르","테크놀로지","반도체"
"Avi Tech Electronics Ltd","AVTH","싱가포르","테크놀로지","반도체"
"CEI","CEII","싱가포르","테크놀로지","반도체"
"PNE Industries Ltd","PNEI","싱가포르","테크놀로지","과학과 기술 장비"
"Trek 2000 International Ltd","TRKL","싱가포르","테크놀로지","컴퓨터 데이터 저장 장치"
"Excelpoint Technology Ltd","EXCE","싱가포르","테크놀로지","전자 장비와 제어기"
"Gss Energy Ltd","GSSE","싱가포르","테크놀로지","전자 장비와 제어기"
"ISDN Holdings Ltd","ISDN","싱가포르","테크놀로지","반도체"
"Datapulse Technology Ltd","DATA","싱가포르","테크놀로지","컴퓨터 데이터 저장 장치"
"Manufacturing Integration Tech","MITD","싱가포르","테크놀로지","반도체"
