"종목","기호","거래소","부문","산업"
"Keppel Corp","KPLM","싱가포르","운송","수상 운송"
"Singapore Airlines","SIAL","싱가포르","운송","항공사"
"SATS Ltd","SATS","싱가포르","운송","다종 운송"
"Yangzijiang ship","YAZG","싱가포르","운송","수상 운송"
"Sembcorp marine","SCMN","싱가포르","운송","수상 운송"
"Comfortdelgro corporation","CMDG","싱가포르","운송","다종 운송"
"Sia engineering company","SIAE","싱가포르","운송","다종 운송"
"Singapore Post Ltd","SPOS","싱가포르","운송","항공 우편"
"COSCO Corp","COSC","싱가포르","운송","수상 운송"
"Keppel Telecom & Transportation","KTEL","싱가포르","운송","다종 운송"
"SBS Transit Ltd","SBVV","싱가포르","운송","다종 운송"
"China Jinjiang Environment","CJEH","싱가포르","운송","트럭 운송"
"PACC Offshore Services Holdings Ltd","PACC","싱가포르","운송","다종 운송"
"Vard Holdings Ltd","VARD","싱가포르","운송","수상 운송"
"Vibrant Group Ltd","VIBR","싱가포르","운송","항공 우편"
"Vallianz Holdings Ltd","VHLD","싱가포르","운송","수상 운송"
"Dyna Mac Holdings Ltd","DMHL","싱가포르","운송","수상 운송"
"Samudera Shipping Line Ltd","SAMU","싱가포르","운송","수상 운송"
"Singapore Shipping Corporation Ltd","SSHP","싱가포르","운송","수상 운송"
"Marco Polo Marine Ltd","MAPM","싱가포르","운송","수상 운송"
"Sinwa Ltd","SINW","싱가포르","운송","철도"
"Pacific Radiance Ltd","PACI","싱가포르","운송","수상 운송"
"Penguin International Ltd","PGUN","싱가포르","운송","수상 운송"
"ASL Marine Holdings Ltd","ASLM","싱가포르","운송","수상 운송"
"GKE Corporation Ltd","GKEC","싱가포르","운송","트럭 운송"
"Nam Cheong","NMCG","싱가포르","운송","수상 운송"
"Atlantic Navigation Singapore","ATLA","싱가포르","운송","다종 운송"
"Swissco Holdings Ltd","SWCO","싱가포르","운송","수상 운송"
"Manhattan Resources Ltd","MANH","싱가포르","운송","다종 운송"
"Mercator Lines Singapore Ltd","MRTL","싱가포르","운송","수상 운송"
"Seroja Investments Ltd","SERO","싱가포르","운송","수상 운송"
"A-Sonic Aerospace Ltd","ASON","싱가포르","운송","항공 우편"
