"종목","기호","거래소","부문","산업"
"CHT","2412","대만","서비스","통신 서비스"
"TWM","3045","대만","서비스","통신 서비스"
"PCSC","2912","대만","서비스","소매(식료잡화)"
"Far EasTone","4904","대만","서비스","통신 서비스"
"FENC","1402","대만","서비스","통신 서비스"
"Chailease","5871","대만","서비스","렌탈과 리스"
"Taiwan Secom","9917","대만","서비스","보안 시스템과 서비스"
"APT","3682","대만","서비스","통신 서비스"
"momo.com","8454","대만","서비스","소매(카탈로그와 메일 주문)"
"Sinyi Realty","9940","대만","서비스","부동산 운용"
"Sunny Friend","8341","대만","서비스","폐기물 관리 서비스"
"FEDS","2903","대만","서비스","소매(백화점과 할인점)"
"Cleanaway","8422","대만","서비스","폐기물 관리 서비스"
"Formosa Hotel","2707","대만","서비스","호텔과 모텔"
"Wisdom","2637","대만","서비스","렌탈과 리스"
"Taiwan Optical Platform Co Ltd","6464","대만","서비스","방송과 케이블 티브이"
"SKS","9925","대만","서비스","보안 시스템과 서비스"
"Senao","2450","대만","서비스","소매(기술제품)"
"National Petroleum","9937","대만","서비스","소매(전문)"
"Test Rite","2908","대만","서비스","소매(전문)"
"EMIC","2614","대만","서비스","소매(카탈로그와 메일 주문)"
"Wowprime","2727","대만","서비스","레스토랑"
"Forest Water Environmental","8473","대만","서비스","폐기물 관리 서비스"
"AMBH","2704","대만","서비스","레스토랑"
"Liontravel","2731","대만","서비스","개인 서비스"
"Holiday","9943","대만","서비스","카지노와 게임"
"First Hotel","2706","대만","서비스","호텔과 모텔"
"Long Bon","2514","대만","서비스","부동산 운용"
"Aurora Systems","2433","대만","서비스","렌탈과 리스"
"I-Sunny","2540","대만","서비스","부동산 운용"
"E-Life Mall","6281","대만","서비스","소매(전문)"
"Dafeng TV","6184","대만","서비스","방송과 케이블 티브이"
"104 Corp","3130","대만","서비스","사업 서비스"
"Wan Hwa","2701","대만","서비스","부동산 운용"
"Tonlin","2910","대만","서비스","소매(백화점과 할인점)"
"FSC","2601","대만","서비스","소매(백화점과 할인점)"
"Pacific Construction","2506","대만","서비스","소매(백화점과 할인점)"
"GORG","5907","대만","서비스","소매(백화점과 할인점)"
"Shan-Loong","2616","대만","서비스","소매(전문)"
"My Humble House Hospitality Management Consulting ","2739","대만","서비스","호텔과 모텔"
"TKE","2430","대만","서비스","소매(기술제품)"
"FDC Hotels","2748","대만","서비스","호텔과 모텔"
"Chateau","2722","대만","서비스","호텔과 모텔"
"Transart Graphics","8481","대만","서비스","인쇄 서비스"
"Spirox","3055","대만","서비스","사업 서비스"
"FGH","2712","대만","서비스","호텔과 모텔"
"Leofoo","2705","대만","서비스","레스토랑"
"Everspring","2390","대만","서비스","보안 시스템과 서비스"
"B’IN Live","6625","대만","서비스","여가 활동"
"Phoenix Tours","5706","대만","서비스","개인 서비스"
"Lucky Life Travel","2745","TPEX","서비스","개인 서비스"
"Ardentec","3264","TPEX","서비스","사업 서비스"
"Winstek Semiconductor","3265","TPEX","서비스","사업 서비스"
"Materials Analysis Tech","3587","TPEX","서비스","사업 서비스"
"Addcn Tech","5287","TPEX","서비스","소매(카탈로그와 메일 주문)"
"Lealea Hotels","5364","TPEX","서비스","호텔과 모텔"
"Lungyen Life Service","5530","TPEX","서비스","개인 서비스"
"Janfusun Fancyworld","5701","TPEX","서비스","소매(백화점과 할인점)"
"LM Development","6212","TPEX","서비스","부동산 운용"
"Ever Clear Environmental","6624","TPEX","서비스","폐기물 관리 서비스"
"Appro Tech","8281","TPEX","서비스","보안 시스템과 서비스"
"Bai Sha Tech","8401","TPEX","서비스","인쇄 서비스"
"1 Production Film Co","8458","TPEX","서비스","영화"
"Power Wind Health","8462","TPEX","서비스","여가 활동"
"Taiwan Environment Scientific","8476","TPEX","서비스","폐기물 관리 서비스"
"Kuobrothers","8477","TPEX","서비스","소매(카탈로그와 메일 주문)"
"Bossdom Digiinnovation","6622","TPEX","서비스","영화"
"An-Shin Food","1259","TPEX","서비스","레스토랑"
"Star Travel","2719","TPEX","서비스","개인 서비스"
"Kai Chieh Intl","2721","TPEX","서비스","카지노와 게임"
"Miramar Hospitality","2730","TPEX","서비스","호텔과 모텔"
"La Kaffa Intl","2732","TPEX","서비스","레스토랑"
"Integrated Service Tech","3289","TPEX","서비스","사업 서비스"
"Taiwan Indigena Botanica","4415","TPEX","서비스","카지노와 게임"
"Yield Microelectronics","6423","TPEX","서비스","사업 서비스"
"Great Tree Pharmacy","6469","TPEX","서비스","소매(약품)"
"AMPAK Tech","6546","TPEX","서비스","통신 서비스"
"PChome Online","8044","TPEX","서비스","소매(카탈로그와 메일 주문)"
"Zimmite Taiwan","8435","TPEX","서비스","폐기물 관리 서비스"
"Dadi Early-Childhood","8437","TPEX","서비스","학교"
"HIM Intl Music","8446","TPEX","서비스","사업 서비스"
"Pili Intl Multimedia","8450","TPEX","서비스","영화"
"Taiwan Artcci","8479","TPEX","서비스","소매(카탈로그와 메일 주문)"
"TWR Entertainment","8492","TPEX","서비스","영화"
"Shenghua Entertainment","4806","TPEX","서비스","영화"
"JSW Pacific","5251","TPEX","서비스","보안 시스템과 서비스"
"Taiwan FamilyMart","5903","TPEX","서비스","소매(식료잡화)"
"Hwacom Systems","6163","TPEX","서비스","통신 서비스"
"M31 Tech","6643","TPEX","서비스","사업 서비스"
"Hi-Lai Foods","1268","TPEX","서비스","레스토랑"
"Kanpai","1269","TPEX","서비스","레스토랑"
"HOYA Resort Hotel","2736","TPEX","서비스","호텔과 모텔"
"Eslite Spectrum","2926","TPEX","서비스","소매(백화점과 할인점)"
"Etrend Hightech","3567","TPEX","서비스","사업 서비스"
"Landis Taipei Hotel","5703","TPEX","서비스","호텔과 모텔"
"Hotel Royal Chihpen","5704","TPEX","서비스","호텔과 모텔"
"DR.Wu Skincare","6523","TPEX","서비스","소매(전문)"
"Brave C&H Supply","6538","TPEX","서비스","인쇄 서비스"
"Chuang Yi Biotech","6566","TPEX","서비스","소매(약품)"
