"종목","기호","거래소","부문","산업"
"Taiwan Semicon","2330","대만","테크놀로지","반도체"
"Hon Hai","2317","대만","테크놀로지","전자 장비와 제어기"
"MediaTek","2454","대만","테크놀로지","반도체"
"LARGAN","3008","대만","테크놀로지","과학과 기술 장비"
"ASE","2311","대만","테크놀로지","반도체"
"Delta Electronics Taiwan","2308","대만","테크놀로지","전자 장비와 제어기"
"Nanya Tech","2408","대만","테크놀로지","반도체"
"Catcher Tech","2474","대만","테크놀로지","컴퓨터 주변기기"
"QCI","2382","대만","테크놀로지","컴퓨터 하드웨어"
"Asustek","2357","대만","테크놀로지","컴퓨터 하드웨어"
"UMC Corp","2303","대만","테크놀로지","반도체"
"Pegatron","4938","대만","테크놀로지","컴퓨터 하드웨어"
"Yageo","2327","대만","테크놀로지","전자 장비와 제어기"
"Siliconware","2325","대만","테크놀로지","반도체"
"ACL","2395","대만","테크놀로지","컴퓨터 하드웨어"
"AUO","2409","대만","테크놀로지","전자 장비와 제어기"
"Innolux","3481","대만","테크놀로지","전자 장비와 제어기"
"Foxconn","2354","대만","테크놀로지","컴퓨터 주변기기"
"Vanguard Intl Semiconductor","5347","TPEX","테크놀로지","반도체"
"Lite-On Tech","2301","대만","테크놀로지","컴퓨터 주변기기"
"Formosa Sumco","3532","대만","테크놀로지","반도체"
"Macronix","2337","대만","테크놀로지","반도체"
"Compal","2324","대만","테크놀로지","컴퓨터 하드웨어"
"Inventec","2356","대만","테크놀로지","컴퓨터 하드웨어"
"MSI","2377","대만","테크놀로지","컴퓨터 주변기기"
"Novatek Micro","3034","대만","테크놀로지","반도체"
"Winbond","2344","대만","테크놀로지","반도체"
"Acer","2353","대만","테크놀로지","컴퓨터 하드웨어"
"Synnex","2347","대만","테크놀로지","컴퓨터 하드웨어"
"Powertech Tech","6239","대만","테크놀로지","반도체"
"Chroma","2360","대만","테크놀로지","전자 장비와 제어기"
"WPG Holdings","3702","대만","테크놀로지","반도체"
"Wistron","3231","대만","테크놀로지","컴퓨터 하드웨어"
"Realtek","2379","대만","테크놀로지","반도체"
"F-GIS","6456","대만","테크놀로지","전자 장비와 제어기"
"Phison Electronics","8299","TPEX","테크놀로지","반도체"
"Walsin Lihwa","1605","대만","테크놀로지","통신 장비"
"WTC","2492","대만","테크놀로지","반도체"
"Silergy","6415","대만","테크놀로지","반도체"
"ZDT","4958","대만","테크놀로지","전자 장비와 제어기"
