"종목","기호","거래소","부문","산업"
"Taiwan High Speed Rail","2633","대만","운송","다종 운송"
"Eva Airways","2618","대만","운송","항공사"
"EMC Taiwan","2603","대만","운송","수상 운송"
"China Airlines","2610","대만","운송","항공사"
"Wan Hai","2615","대만","운송","수상 운송"
"U-Ming","2606","대만","운송","수상 운송"
"YMTC","2609","대만","운송","수상 운송"
"Kerry TJ","2608","대만","운송","트럭 운송"
"EITC","2607","대만","운송","수상 운송"
"CSBC","2208","대만","운송","수상 운송"
"SNC","2605","대만","운송","수상 운송"
"Taiwanline","2617","대만","운송","수상 운송"
"Alexander Marine","8478","대만","운송","수상 운송"
"Chinese Maritime","2612","대만","운송","수상 운송"
"Air Asia","2630","대만","운송","다종 운송"
"Shih Wei","5608","대만","운송","수상 운송"
"Farglory FTZ","5607","대만","운송","다종 운송"
"T3EX Global","2636","대만","운송","수상 운송"
"Pelican","2642","대만","운송","트럭 운송"
"CCTC","2613","대만","운송","다종 운송"
"TSI","2611","대만","운송","트럭 운송"
"Pan Overseas","2904","대만","운송","다종 운송"
"Chien Shing Harbour","8367","TPEX","운송","다종 운송"
"Franbo Lines","2641","TPEX","운송","수상 운송"
"Sea & Land Integrated","5603","TPEX","운송","트럭 운송"
"Taiwan Taxi","2640","TPEX","운송","다종 운송"
"Soonest Express","2643","TPEX","운송","항공사"
"Taiwan Allied Container","5601","TPEX","운송","다종 운송"
"Chung Lien Transport","5604","TPEX","운송","트럭 운송"
"Dimerco Express","5609","TPEX","운송","항공 우편"
