"종목","기호","거래소","부문","산업"
"Meritage Homes Corp","MTH","뉴욕","자본재","건설 서비스"
"Chart Ind.","GTLS","나스닥","자본재","다종 자본재"
"Cubic Corp","CUB","뉴욕","자본재","항공 우주와 방위"
"Masonite Int","DOOR","뉴욕","자본재","건설 – 용품과 비품"
"Amer. Woodmark","AMWD","나스닥","자본재","건설 – 용품과 비품"
"Patrick Ind.","PATK","나스닥","자본재","건설 – 용품과 비품"
"MDC Holdings","MDC","뉴욕","자본재","건설 서비스"
"Cavco Ind.","CVCO","나스닥","자본재","이동 주택과 여가용 차량"
"LGI Homes","LGIH","나스닥","자본재","건설 서비스"
"AAR Corp","AIR","뉴욕","자본재","항공 우주와 방위"
"Comfort Sys USA","FIX","뉴욕","자본재","건설 서비스"
"Ply Gem Holdings","PGEM","뉴욕","자본재","건설 – 용품과 비품"
"Boise Cascad Llc","BCC","뉴욕","자본재","건설 – 용품과 비품"
"Chicago Bridge & Iron","CBI","뉴욕","자본재","건설 서비스"
"Milacron Holdings Corp","MCRN","뉴욕","자본재","다종 자본재"
"SPX Corp","SPXC","뉴욕","자본재","다종 자본재"
"Altra Holdings","AIMC","나스닥","자본재","다종 자본재"
"BMC Stock Hldgs","BMCH","나스닥","자본재","건설 – 용품과 비품"
"Alamo Group Inc","ALG","뉴욕","자본재","건설과 농업용 기계"
"Primoris Ser","PRIM","나스닥","자본재","건설 서비스"
"Astec Ind.","ASTE","나스닥","자본재","건설과 농업용 기계"
"Triumph Group Inc","TGI","뉴욕","자본재","항공 우주와 방위"
"GMS Inc","GMS","뉴욕","자본재","건설 – 용품과 비품"
"International NV","FI","뉴욕","자본재","건설 서비스"
"Apogee Enterp","APOG","나스닥","자본재","건설 – 용품과 비품"
"Standex Intl","SXI","뉴욕","자본재","다종 자본재"
"Tennant Co.","TNC","뉴욕","자본재","다종 자본재"
"Winnebago Ind.","WGO","뉴욕","자본재","이동 주택과 여가용 차량"
"NCI Build. Sys","NCS","뉴욕","자본재","건설 서비스"
"AeroVironment","AVAV","나스닥","자본재","항공 우주와 방위"
"Gibraltar Ind.","ROCK","나스닥","자본재","건설 – 용품과 비품"
"Kratos Defense","KTOS","나스닥","자본재","항공 우주와 방위"
"Tutor Perini","TPC","뉴욕","자본재","건설 서비스"
"Continental Building","CBPX","뉴욕","자본재","건설 – 원자재"
"Astronics Corp Cl B","ATROB","OTC Markets","자본재","항공 우주와 방위"
"Kadant Inc","KAI","뉴욕","자본재","다종 자본재"
"Astronics Corp","ATRO","나스닥","자본재","항공 우주와 방위"
"U S Concrete","USCR","나스닥","자본재","건설 – 원자재"
"Manitowoc Co","MTW","뉴욕","자본재","건설과 농업용 기계"
"Douglas Dynamic","PLOW","뉴욕","자본재","다종 자본재"
"FMSA Holdings Inc","FMSA","뉴욕","자본재","건설 – 원자재"
"Vista Outdoor Inc","VSTO","뉴욕","자본재","항공 우주와 방위"
"Lindsay Corp","LNN","뉴욕","자본재","건설과 농업용 기계"
"Briggs&Stratton","BGG","뉴욕","자본재","다종 자본재"
"Atkore Intl","ATKR","뉴욕","자본재","건설 – 용품과 비품"
"PGT Innovations","PGTI","뉴욕","자본재","건설 – 용품과 비품"
"Forestar Group","FOR","뉴욕","자본재","건설 서비스"
"Five Point","FPH","뉴욕","자본재","건설 서비스"
"Engility Holdings Inc","EGL","뉴욕","자본재","건설 서비스"
"Century Communities","CCS","뉴욕","자본재","건설 서비스"
"M/I Homes Inc","MHO","뉴욕","자본재","건설 서비스"
"William Lyon Hms","WLH","뉴욕","자본재","건설 서비스"
"Griffon Corp","GFF","뉴욕","자본재","건설 – 용품과 비품"
"China Yuchai International Ltd","CYD","뉴욕","자본재","다종 자본재"
"Columbus McKin.","CMCO","나스닥","자본재","다종 자본재"
"Lydall Inc","LDL","뉴욕","자본재","다종 자본재"
"TPI Composites","TPIC","나스닥","자본재","건설 서비스"
"Gorman-Rupp Co.","GRC","뉴욕","자본재","다종 자본재"
"Aegion Corp","AEGN","나스닥","자본재","건설 서비스"
"CSW Industrials Inc","CSWI","나스닥","자본재","건설 – 용품과 비품"
"Argan","AGX","뉴욕","자본재","건설 서비스"
"Yat Sing","YSGHF","OTC Markets","자본재","건설 서비스"
"DXP Enterprises","DXPE","나스닥","자본재","다종 자본재"
"National Presto","NPK","뉴욕","자본재","항공 우주와 방위"
"Caesarstone","CSTE","나스닥","자본재","건설 – 용품과 비품"
