"종목","기호","거래소","부문","산업"
"East West Bancorp","EWBC","나스닥","금융","지방 은행"
"Wr Berkley Corp","WRB","뉴욕","금융","보험 (손해)"
"Voya Financial Inc","VOYA","뉴욕","금융","투자 서비스"
"MarketAxess","MKTX","나스닥","금융","투자 서비스"
"루카디아 내셔널","LUK","뉴욕","금융","투자 서비스"
"Signature Bank","SBNY","나스닥","금융","지방 은행"
"Brown & Brown Inc","BRO","뉴욕","금융","보험(다종)"
"Ares Capital","ARCC","나스닥","금융","다종 금융 서비스"
"CIT","CIT","뉴욕","금융","소비자 금융 서비스"
"Lazard Ltd","LAZ","뉴욕","금융","투자 서비스"
"Cullen/Frost Bankers Inc","CFR","뉴욕","금융","지방 은행"
"Janus Henderson","JHG","뉴욕","금융","투자 서비스"
"Eaton Vance","EV","뉴욕","금융","투자 서비스"
"First American Financial Corp","FAF","뉴욕","금융","보험 (손해)"
"BOK Financial Corp","BOKF","나스닥","금융","지방 은행"
"피플스 유나이티드","PBCT","나스닥","금융","지방 은행"
"Commerce Bancshar","CBSH","나스닥","금융","지방 은행"
"New York Community Bancorp","NYCB","뉴욕","금융","지방 은행"
"Credit Accept","CACC","나스닥","금융","소비자 금융 서비스"
"PacWest Bancorp","PACW","나스닥","금융","지방 은행"
"Virtu Financial Inc","VIRT","나스닥","금융","투자 서비스"
"Brighthouse Financial","BHF","나스닥","금융","보험 (생명)"
"First Horizon","FHN","뉴욕","금융","지방 은행"
"Erie Indemnity Co","ERIE","나스닥","금융","보험 (손해)"
"Bank of Ozark","OZRK","나스닥","금융","지방 은행"
"W.A.L. Bcorp","WAL","뉴욕","금융","지방 은행"
"Apollo Global Management A","APO","뉴욕","금융","투자 서비스"
"Synovus Financial","SNV","뉴욕","금융","지방 은행"
"Santander Consumer USA Holdings Inc","SC","뉴욕","금융","소비자 금융 서비스"
"Old Republic International","ORI","뉴욕","금융","보험 (손해)"
"Renaissancere","RNR","뉴욕","금융","보험 (손해)"
"Starwood Pro Tr","STWD","뉴욕","금융","소비자 금융 서비스"
"LPL Financial","LPLA","나스닥","금융","투자 서비스"
"Validus Holdings Limited","VR","뉴욕","금융","보험 (생명)"
"First Citizens Bancshares","FCNCA","나스닥","금융","지방 은행"
"Corporate Capital","CCT","뉴욕","금융","다종 금융 서비스"
"Webster Fin.","WBS","뉴욕","금융","지방 은행"
"Prosperity BShr","PB","뉴욕","금융","지방 은행"
"Sterling BCorp","STL","뉴욕","금융","지방 은행"
"Hanover Insurance Group Inc","THG","뉴욕","금융","보험 (손해)"
"Pinnacle Fin.","PNFP","나스닥","금융","지방 은행"
"Axis Capital","AXS","뉴욕","금융","보험 (손해)"
"어슈어런트","AIZ","뉴욕","금융","보험 (생명)"
"SLM - 셀리 메이","SLM","나스닥","금융","소비자 금융 서비스"
"MGIC Investment","MTG","뉴욕","금융","보험 (손해)"
"Wintrust Fin.","WTFC","나스닥","금융","지방 은행"
"Umpqua Holdings","UMPQ","나스닥","금융","지방 은행"
