"종목","기호","거래소","부문","산업"
"Hoa Phat Group JSC","HPG","Ho Chi Minh","기초 소재","철과 철강"
"Masan Resources","MSR","하노이","기초 소재","금속 광업"
"Sai Gon Quy Nhon","SQC","하노이","기초 소재","금속 광업"
"PetroVietnam Fertilizer Chemical","DPM","Ho Chi Minh","기초 소재","화학제조"
"Hoasen Group","HSG","Ho Chi Minh","기초 소재","철과 철강"
"Binh Minh Plastics JSC","BMP","Ho Chi Minh","기초 소재","조립식 플라스틱과 고무"
"Viet Nam Steel","TVN","하노이","기초 소재","철과 철강"
"Petrovietnam Camau Fertilizer","DCM","Ho Chi Minh","기초 소재","화학제조"
"Viet Nam Forestry","VIF","하노이","기초 소재","임업과 목재 제품"
"Tien Phong Plastic JSC","NTP","하노이","기초 소재","조립식 플라스틱과 고무"
"Nam Kim Steel JSC","NKG","Ho Chi Minh","기초 소재","철과 철강"
"Phuoc Hoa Rubber JSC","PHR","Ho Chi Minh","기초 소재","조립식 플라스틱과 고무"
"Pomina Steel Corp","POM","Ho Chi Minh","기초 소재","철과 철강"
"Ducgiang Lao Cai Chemicals JSC","DGL","하노이","기초 소재","화학제조"
"Dai Thien Loc Corp","DTL","Ho Chi Minh","기초 소재","철과 철강"
"Vietnam Electric Cable Corp","CAV","Ho Chi Minh","기초 소재","다종 조립 제품"
"Loc Troi","LTG","하노이","기초 소재","화학제조"
"Viet Nam Italy Steel JSC","VIS","Ho Chi Minh","기초 소재","철과 철강"
"An Phat Plastic and Green","AAA","Ho Chi Minh","기초 소재","컨테이너와 포장"
"Vinacomin Minerals","KSV","하노이","기초 소재","금속 광업"
"Binh Dien Fertilizer JSC","BFC","Ho Chi Minh","기초 소재","화학제조"
"South Basic Chemicals JSC","CSV","Ho Chi Minh","기초 소재","화학제조"
"Dong Phu Rubber JSC","DPR","Ho Chi Minh","기초 소재","조립식 플라스틱과 고무"
"Ducgiang Chemicals Detergent Powder","DGC","하노이","기초 소재","화학제조"
"LAM THAO FERTI","LAS","하노이","기초 소재","화학제조"
"Dong Hai JSC of Bentre","DHC","Ho Chi Minh","기초 소재","컨테이너와 포장"
"SMC Investment Trading JSC","SMC","Ho Chi Minh","기초 소재","철과 철강"
"Baria Rubber","BRR","하노이","기초 소재","조립식 플라스틱과 고무"
"Tan Bien Rubber","RTB","하노이","기초 소재","조립식 플라스틱과 고무"
"Tienlen Steel Corp JSC","TLH","Ho Chi Minh","기초 소재","철과 철강"
"Duc Long Gia Lai Group JSC","DLG","Ho Chi Minh","기초 소재","임업과 목재 제품"
"DAP VINACHEM JSC","DDV","하노이","기초 소재","화학제조"
"Dong Nai Plastic Construction JSC","DNP","하노이","기초 소재","조립식 플라스틱과 고무"
"AMD Group Investment JSC","AMD","Ho Chi Minh","기초 소재","다종 조립 제품"
"Hoa Binh Rubber JSC","HRC","Ho Chi Minh","기초 소재","임업과 목재 제품"
"HAI Agrochem JSC","HAI","Ho Chi Minh","기초 소재","화학제조"
"Tay Ninh Rubber JSC","TRC","Ho Chi Minh","기초 소재","임업과 목재 제품"
"Viet Nam Fumigation JSC","VFG","Ho Chi Minh","기초 소재","화학제조"
"Dream House Investment Corp","DRH","Ho Chi Minh","기초 소재","화학제조"
"Vimico Thai Nguyen","TMG","하노이","기초 소재","금속 광업"
"Daklak Rubber","DRI","하노이","기초 소재","조립식 플라스틱과 고무"
