"종목","기호","거래소","부문","산업"
"Vietcombank","VCB","Ho Chi Minh","금융","지방 은행"
"Bank for Investment and Development","BID","Ho Chi Minh","금융","단기금융시장은행"
"Vietnam Joint Stock Commercial Bank","CTG","Ho Chi Minh","금융","지방 은행"
"Vietnam Prosperity","VPB","Ho Chi Minh","금융","지방 은행"
"Military Commercial Bank","MBB","Ho Chi Minh","금융","지방 은행"
"BaoViet Holdings","BVH","Ho Chi Minh","금융","보험(상해와 건강)"
"ACB","ACB","하노이","금융","지방 은행"
"Ho Chi Minh City Develop","HDB","Ho Chi Minh","금융","지방 은행"
"Sai Gon Thuong Tin Commercial","STB","Ho Chi Minh","금융","지방 은행"
"Viet Nam Intl Bank","VIB","하노이","금융","지방 은행"
"Vietnam Export Import Commercial","EIB","Ho Chi Minh","금융","지방 은행"
"Saigon Securities Incorporation","SSI","Ho Chi Minh","금융","투자 서비스"
"SHB","SHB","하노이","금융","지방 은행"
"Ho Chi Minh City Securities Corp","HCM","Ho Chi Minh","금융","투자 서비스"
"Viet Capital","VCI","Ho Chi Minh","금융","투자 서비스"
"Petrovietnam Insurance JSC","PVI","하노이","금융","보험 (손해)"
"BIDV Insurance Corp","BIC","Ho Chi Minh","금융","보험 (손해)"
"VNDIRECT Securities","VND","Ho Chi Minh","금융","투자 서비스"
"Vietnam National Reinsurance","VNR","하노이","금융","보험 (손해)"
"Kien Long Commercial","KLB","하노이","금융","지방 은행"
"NAVIBANK","NVB","하노이","금융","지방 은행"
"BaoMinh Insurance Corp","BMI","Ho Chi Minh","금융","보험(상해와 건강)"
"SHS","SHS","하노이","금융","투자 서비스"
"MB Securities","MBS","하노이","금융","투자 서비스"
"POST TELECOMMU","PTI","하노이","금융","보험 (손해)"
"FIT INVEST JSC","FIT","Ho Chi Minh","금융","투자 서비스"
"Petrolimex Insurance Corp","PGI","Ho Chi Minh","금융","보험 (손해)"
"BIDV Securities JSC","BSI","Ho Chi Minh","금융","투자 서비스"
"FPT Securities","FTS","Ho Chi Minh","금융","투자 서비스"
"Baoviet Securities Company","BVS","하노이","금융","투자 서비스"
"Vietnam Bank For Industry","CTS","Ho Chi Minh","금융","투자 서비스"
"AgriBank Securities JSC","AGR","Ho Chi Minh","금융","투자 서비스"
"Viet Dragon","VDS","Ho Chi Minh","금융","투자 서비스"
"Military Insurance","MIG","하노이","금융","보험 (손해)"
"Agriculture Bank Insurance","ABI","하노이","금융","보험 (손해)"
"Thien Viet Securities JSC","TVS","Ho Chi Minh","금융","투자 서비스"
"Ocean Group JSC","OGC","Ho Chi Minh","금융","투자 서비스"
"VINCOMSC","VIX","하노이","금융","투자 서비스"
"Bao Long Insurance","BLI","하노이","금융","보험 (손해)"
"Tri Viet Securities JSC","TVB","하노이","금융","투자 서비스"
"First Securities","FSC","하노이","금융","투자 서비스"
"Sacombank Securities JSC","SBS","하노이","금융","투자 서비스"
"VNS SECURITY","IVS","하노이","금융","투자 서비스"
"Artex Securities","ART","하노이","금융","투자 서비스"
"PSI","PSI","하노이","금융","투자 서비스"
"WSS","WSS","하노이","금융","투자 서비스"
"Apec Securitie","APS","하노이","금융","투자 서비스"
"Hai Phong Securities JSC","HAC","하노이","금융","투자 서비스"
"VICS","VIG","하노이","금융","투자 서비스"
"HBS","HBS","하노이","금융","투자 서비스"
"AnPhat Securities","APG","Ho Chi Minh","금융","투자 서비스"
"ORS","ORS","하노이","금융","투자 서비스"
