"종목","기호","거래소","부문","산업"
"Khanh Hoi Investment and Services","KHA","Ho Chi Minh","서비스","부동산 운용"
"Tri Viet Management Investment Corp","TVC","하노이","서비스","사업 서비스"
"Vietnam Superintendence&Inspection","VNC","하노이","서비스","사업 서비스"
"Khang An Investment Real Estate","KAC","Ho Chi Minh","서비스","부동산 운용"
"FLC Global JSC","KLF","하노이","서비스","여가 활동"
"Petro Capital and Infrastructure","PTL","Ho Chi Minh","서비스","부동산 운용"
"HUDLAND REAL E","HLD","하노이","서비스","부동산 운용"
"Truong Long Engineering and Auto","HTL","Ho Chi Minh","서비스","소매(전문)"
"Vimedimex Medi Pharma JSC","VMD","Ho Chi Minh","서비스","소매(약품)"
"Ninh Van Bay Travel Real Estate","NVT","Ho Chi Minh","서비스","호텔과 모텔"
"Saigon Hotel JSC","SGH","하노이","서비스","호텔과 모텔"
"City Auto","CTF","Ho Chi Minh","서비스","소매(전문)"
"Cam Ranh Airport","CIA","하노이","서비스","소매(백화점과 할인점)"
"THANGLONG INVE","TIG","하노이","서비스","부동산 운용"
"EVN Intl","EIC","하노이","서비스","부동산 운용"
"PECC3","TV3","하노이","서비스","사업 서비스"
"CuChi Commercial and Industrial Dev","CCI","Ho Chi Minh","서비스","소매(전문)"
"SURICOD.,JSC","SDU","하노이","서비스","부동산 운용"
"Phuong Nam Cultural Joint Stock","PNC","Ho Chi Minh","서비스","소매(전문)"
"HEID","EID","하노이","서비스","인쇄와 출판"
"EDID","SED","하노이","서비스","인쇄와 출판"
"Atesco Industrial Cartering","ATS","하노이","서비스","레스토랑"
"Thu Duc Trading&Import Export JSC","TMC","하노이","서비스","소매(전문)"
"Ba Ria Vung Tau","VTG","하노이","서비스","호텔과 모텔"
"Dong A Hotel Group","DAH","Ho Chi Minh","서비스","호텔과 모텔"
"Cuu Long Petro Urban Development","CCL","Ho Chi Minh","서비스","부동산 운용"
"De Tam JSC","DTA","Ho Chi Minh","서비스","부동산 운용"
"PV POWER SERVI","PPS","하노이","서비스","사업 서비스"
"Danang Pharmaceutical Medical Equip","DDN","하노이","서비스","소매(약품)"
"Tien Thanh Service","TTH","하노이","서비스","소매(의복)"
"FIDITOUR JSC","FDT","하노이","서비스","개인 서비스"
"VINACONEX ITC","VCR","하노이","서비스","호텔과 모텔"
"PVI INVEST","PV2","하노이","서비스","부동산 운용"
"Nam Dinh Educational Book&Equipment","DST","하노이","서비스","소매(전문)"
"PETROLEUM REAL","PVL","하노이","서비스","부동산 운용"
"Hoi An Tourist","HOT","Ho Chi Minh","서비스","호텔과 모텔"
"IDJ FINANCIAL","IDJ","하노이","서비스","부동산 운용"
"Educational Book JSC","EBS","하노이","서비스","인쇄와 출판"
"Hanoi Fuel","HFC","하노이","서비스","소매(전문)"
"Song Da 1.01 JSC","SJC","하노이","서비스","부동산 운용"
"Danangbook","BED","하노이","서비스","소매(전문)"
"No 4 Printing JSC","IN4","하노이","서비스","인쇄 서비스"
"Deidco","DAD","하노이","서비스","인쇄와 출판"
"Viet Nam Land Invest","VNI","하노이","서비스","부동산 운용"
"Vung Tau Intourco","VIR","하노이","서비스","호텔과 모텔"
"Vung Ang Petroleum JSC","POV","하노이","서비스","소매(전문)"
"Sonadezi Services","SDV","하노이","서비스","사업 서비스"
"Song Da Manpower Supply&Trading JSC","SDA","하노이","서비스","사업 서비스"
"Post Printing and Telecom","PTP","하노이","서비스","인쇄 서비스"
"Pacific Property and Infrastructure","PPI","Ho Chi Minh","서비스","부동산 운용"
"PIV.,JSC","PIV","하노이","서비스","부동산 운용"
"PTC","PDC","하노이","서비스","호텔과 모텔"
"Tourism Trade and Investment JSC","TTR","하노이","서비스","개인 서비스"
"Petroleum Dong Do","PFL","하노이","서비스","부동산 운용"
"Daklak Pharmaceutical Medical Equip","DBM","하노이","서비스","소매(약품)"
"ADC","ADC","하노이","서비스","사업 서비스"
"KASATI","KST","하노이","서비스","사업 서비스"
"Bao Thu Industrial Develop Invest","BII","하노이","서비스","렌탈과 리스"
"South Books Educational Equipment","SMN","하노이","서비스","인쇄와 출판"
"BTSC","BSC","하노이","서비스","사업 서비스"
"Educational Book In Ho Chi Minh","SGD","하노이","서비스","인쇄와 출판"
"VINACONEX MEC","VCM","하노이","서비스","사업 서비스"
"Vinacomin Quacontrol","VQC","하노이","서비스","사업 서비스"
"EFI","EFI","하노이","서비스","사업 서비스"
"Consultancy Design and Urban Devel","CDO","Ho Chi Minh","서비스","호텔과 모텔"
"Gialai Ctc","CTC","하노이","서비스","인쇄와 출판"
"Aviation Printing","IHK","하노이","서비스","인쇄 서비스"
"Haiphong PTS JSC","PTS","하노이","서비스","소매(전문)"
"P TAXI SAIGON","PGT","하노이","서비스","소매(전문)"
"IDICO INCON","INC","하노이","서비스","사업 서비스"
"Dongnai Pharma","DPP","하노이","서비스","소매(약품)"
"Educational Book In Da Nang City","DAE","하노이","서비스","인쇄와 출판"
"ECICO.,JSC","ECI","하노이","서비스","인쇄와 출판"
"Transport Engineering Construction","NTB","하노이","서비스","부동산 운용"
"HTBEECO","HBE","하노이","서비스","인쇄와 출판"
"Q.E.E.J.CO","QST","하노이","서비스","소매(전문)"
"Sara Group","SRB","하노이","서비스","학교"
"Petrovietnam Nghe An Inv","PXA","하노이","서비스","부동산 운용"
"LABECO","LBE","하노이","서비스","인쇄와 출판"
"Hanoi Textbooks Printing JSC","TPH","하노이","서비스","인쇄 서비스"
"South Vietnam Container Shipping","VSG","하노이","서비스","렌탈과 리스"
"Bisathico","BST","하노이","서비스","인쇄와 출판"
"Higher Educational&Vocational Book","HEV","하노이","서비스","인쇄와 출판"
"Song Da Thang Long JSC","STL","하노이","서비스","부동산 운용"
"LILAMA TESTING","LCD","하노이","서비스","사업 서비스"
"HST","HST","하노이","서비스","인쇄와 출판"
"Hoaphat Textbook Printing JSC","HTP","하노이","서비스","인쇄 서비스"
"Textbook Printing In Ho Chi Minh","SAP","하노이","서비스","인쇄 서비스"
"Lang Son Tourism and Import Export","DXL","하노이","서비스","개인 서비스"
"Vinaconexs Construction","VCT","하노이","서비스","사업 서비스"
"Viet Nam Power Investment","VPC","하노이","서비스","학교"
"Bidibook","BDB","하노이","서비스","인쇄와 출판"
"Vingroup JSC","VIC","Ho Chi Minh","서비스","부동산 운용"
"Vincom Retail","VRE","Ho Chi Minh","서비스","부동산 운용"
"Mobile World Investment Corp","MWG","Ho Chi Minh","서비스","소매(기술제품)"
"FPT Corp","FPT","Ho Chi Minh","서비스","소매(기술제품)"
"Saidong Urban Development Invest","SDI","하노이","서비스","부동산 운용"
"FPT Telecom","FOX","하노이","서비스","통신 서비스"
"Khang Dien House Trading Invest","KDH","Ho Chi Minh","서비스","부동산 운용"
"Dat Xanh Real Estate Service Contr","DXG","Ho Chi Minh","서비스","부동산 운용"
"Vietnam Exhibition Fair Centre JSC","VEF","하노이","서비스","사업 서비스"
"Phat Dat Real Estate Development","PDR","Ho Chi Minh","서비스","부동산 운용"
"Southern Airports Services JSC","SAS","하노이","서비스","소매(백화점과 할인점)"
"FLC Group JSC","FLC","Ho Chi Minh","서비스","부동산 운용"
"LDG Investment","LDG","Ho Chi Minh","서비스","부동산 운용"
"Quoc Cuong Gia Lai JSC","QCG","Ho Chi Minh","서비스","부동산 운용"
"Phu Tai JSC","PTB","Ho Chi Minh","서비스","소매(전문)"
"Song Da Urban & Industrial Zone Inv","SJS","Ho Chi Minh","서비스","부동산 운용"
"Tan Tao Investment and Industry","ITA","Ho Chi Minh","서비스","부동산 운용"
"Saigon Thuong Tin Real Estate JSC","SCR","Ho Chi Minh","서비스","부동산 운용"
"Sao Mai Group Corp","ASM","Ho Chi Minh","서비스","부동산 운용"
"Apax","IBC","Ho Chi Minh","서비스","학교"
"Ha Noi Tourist","TSJ","하노이","서비스","개인 서비스"
"Thanh Thanh Cong Tourist JSC","VNG","Ho Chi Minh","서비스","호텔과 모텔"
"Viet Nam Books","VNB","하노이","서비스","인쇄와 출판"
"Saigon General Service Corp","SVC","Ho Chi Minh","서비스","소매(전문)"
"HANIC","SHN","하노이","서비스","사업 서비스"
"Thu Duc Housing Development Corp","TDH","Ho Chi Minh","서비스","부동산 운용"
"Apec Investmen","API","하노이","서비스","부동산 운용"
"Vung Tau Real Estate Constructiion","VRC","Ho Chi Minh","서비스","부동산 운용"
"An Duong Thao Dien Real estate Trad","HAR","Ho Chi Minh","서비스","부동산 운용"
"OCH.JSC","OCH","하노이","서비스","호텔과 모텔"
"Hang Xanh Motors Service JSC","HAX","Ho Chi Minh","서비스","소매(전문)"
"Noi Bai Catering","NCS","하노이","서비스","레스토랑"
"TRAN ANH DIGIT","TAG","하노이","서비스","소매(기술제품)"
"Tan Binh Import Export JSC","TIX","Ho Chi Minh","서비스","부동산 운용"
"Van Phat Hung Corp","VPH","Ho Chi Minh","서비스","부동산 운용"
"Foreign Trade Development Invest","FDC","Ho Chi Minh","서비스","부동산 운용"
"Industrial Urban Development JSC","D2D","Ho Chi Minh","서비스","부동산 운용"
"Dam Sen Water Park Corp","DSN","Ho Chi Minh","서비스","여가 활동"
"PV Inconess Invest","RGC","하노이","서비스","여가 활동"
"APP PRINT JSC","INN","하노이","서비스","인쇄 서비스"
"Ba Ria Vung Tau House Development","HDC","Ho Chi Minh","서비스","부동산 운용"
"Bamboo Capital","BCG","Ho Chi Minh","서비스","사업 서비스"
"PECC 2","TV2","하노이","서비스","사업 서비스"
"Tu Liem Urban Development JSC","NTL","Ho Chi Minh","서비스","부동산 운용"
"Royal International Corp","RIC","Ho Chi Minh","서비스","카지노와 게임"
"Ben Thanh Trading Service JSC","BTT","Ho Chi Minh","서비스","소매(백화점과 할인점)"
"VPID","IDV","하노이","서비스","부동산 운용"
"Ben Thanh Tourist","BTV","하노이","서비스","개인 서비스"
"Saigon Telecommunication & Tech","SGT","Ho Chi Minh","서비스","통신 서비스"
"Power Engineering Consulting JSC 1","TV1","Ho Chi Minh","서비스","사업 서비스"
