"종목","기호","거래소","부문","산업"
"Viet Nam Electrical","GEX","Ho Chi Minh","테크놀로지","전자 장비와 제어기"
"Dry Cell and Storage Battery","PAC","Ho Chi Minh","테크놀로지","전자 장비와 제어기"
"Electrical Equipment","THI","Ho Chi Minh","테크놀로지","전자 장비와 제어기"
"CMC Corp","CMG","Ho Chi Minh","테크놀로지","소프트웨어와 프로그래밍"
"Rangdong Light source and Vacuum","RAL","Ho Chi Minh","테크놀로지","전자 장비와 제어기"
"Dong Anh Electrical Equipment Manuf","TBD","하노이","테크놀로지","전자 장비와 제어기"
"Dien Quang JSC","DQC","Ho Chi Minh","테크놀로지","전자 장비와 제어기"
"Digiworld","DGW","Ho Chi Minh","테크놀로지","전자 장비와 제어기"
"Electronics Communications Tech","ELC","Ho Chi Minh","테크놀로지","전자 장비와 제어기"
"Hanoi Electromechanical","HEM","하노이","테크놀로지","전자 장비와 제어기"
"GLT CORP","GLT","하노이","테크놀로지","전자 장비와 제어기"
"Sieu Thanh JSC","ST8","Ho Chi Minh","테크놀로지","사무실 장비"
"Petrovietnam Machinery Tech","PVM","하노이","테크놀로지","전자 장비와 제어기"
"Post&Telecommunication Equipment","POT","하노이","테크놀로지","통신 장비"
"PETROLEUM GENE","PSD","하노이","테크놀로지","통신 장비"
"VMG Media","ABC","하노이","테크놀로지","컴퓨터 서비스"
"Innovative Technology Development","ITD","Ho Chi Minh","테크놀로지","컴퓨터 하드웨어"
"Book And Educational Equipment JSC","STC","하노이","테크놀로지","과학과 기술 장비"
"Central Area Electrical Mechanical","CJC","하노이","테크놀로지","전자 장비와 제어기"
"HIPT Group JSC","HIG","하노이","테크놀로지","소프트웨어와 프로그래밍"
"SMT","SMT","하노이","테크놀로지","통신 장비"
"Vien Lien Joint - Stock Co.","UNI","하노이","테크놀로지","통신 장비"
"Cokyvina","CKV","하노이","테크놀로지","전자 장비와 제어기"
"Information and Networking Tech","CMT","Ho Chi Minh","테크놀로지","소프트웨어와 프로그래밍"
"Hacisco JSC","HAS","Ho Chi Minh","테크놀로지","컴퓨터 하드웨어"
"Viettronics Binh Hoa","VBH","하노이","테크놀로지","전자 장비와 제어기"
"TIBACO","TSB","하노이","테크놀로지","전자 장비와 제어기"
"HPT Vietnam","HPT","하노이","테크놀로지","컴퓨터 서비스"
"Viet Nam Trading Construction Devel","MBG","하노이","테크놀로지","전자 장비와 제어기"
"VTC Telecommunications JSC","VTC","하노이","테크놀로지","통신 장비"
"ONE CORP","ONE","하노이","테크놀로지","통신 장비"
"Telvina Vietnam","PMT","하노이","테크놀로지","통신 장비"
"Telecommunication Technical Service","TST","하노이","테크놀로지","통신 장비"
"VITECO VIETNAM","VIE","하노이","테크놀로지","통신 장비"
"VLA","VLA","하노이","테크놀로지","컴퓨터 서비스"
