"종목","기호","거래소","부문","산업"
"Shanghai Fosun Pharmaceutical","2196","홍콩","보건의료","기간 약품"
"CSPC Pharma","1093","홍콩","보건의료","생물공학 및 약품"
"Sino Biopharmaceutical","1177","홍콩","보건의료","생물공학 및 약품"
"Sinopharm Group Co","1099","홍콩","보건의료","생물공학 및 약품"
"Wuxi Biologics Cayman","2269","홍콩","보건의료","생물공학 및 약품"
"Shanghai Pharma Holding","2607","홍콩","보건의료","기간 약품"
"China Resources Pharma","3320","홍콩","보건의료","생물공학 및 약품"
"Guangzhou Baiyunshan Pharma","0874","홍콩","보건의료","생물공학 및 약품"
"Livzon Pharma","1513","홍콩","보건의료","생물공학 및 약품"
"3SBio","1530","홍콩","보건의료","생물공학 및 약품"
"China Medical System","0867","홍콩","보건의료","생물공학 및 약품"
"Genscript Biotech Corp","1548","홍콩","보건의료","생물공학 및 약품"
"China Traditional Chinese Medicine","0570","홍콩","보건의료","생물공학 및 약품"
"Luye Pharma Group","2186","홍콩","보건의료","생물공학 및 약품"
"Shandong Weigao Medical Polymer","1066","홍콩","보건의료","의료 장비와 용품"
"Sihuan Pharma","0460","홍콩","보건의료","생물공학 및 약품"
"SSY Group","2005","홍콩","보건의료","생물공학 및 약품"
"Tong Ren Tang Tech","1666","홍콩","보건의료","생물공학 및 약품"
"Yichang Hec Changjiang Pharma","1558","홍콩","보건의료","생물공학 및 약품"
"United Laboratories Int","3933","홍콩","보건의료","기간 약품"
"MicroPort Scientific","0853","홍콩","보건의료","의료 장비와 용품"
"Beijing Tong Ren Tang Medicine","8138","홍콩","보건의료","생물공학 및 약품"
"China Resources Phoenix","1515","홍콩","보건의료","헬쓰케어 설비"
"China Grand Pharma and Healthcare","0512","홍콩","보건의료","생물공학 및 약품"
"China Animal Healthcare","0940","홍콩","보건의료","생물공학 및 약품"
"C-Mer Eye Care","3309","홍콩","보건의료","헬쓰케어 설비"
"China Shineway Pharma","2877","홍콩","보건의료","생물공학 및 약품"
"LifeTech Scientific Corp","1302","홍콩","보건의료","의료 장비와 용품"
"Shanghai Haohai Biological Tech","6826","홍콩","보건의료","의료 장비와 용품"
"Consun Pharma","1681","홍콩","보건의료","생물공학 및 약품"
"Shandong Xinhua Pharma","0719","홍콩","보건의료","생물공학 및 약품"
"Lee’s Pharma","0950","홍콩","보건의료","기간 약품"
"CK Life Sciences","0775","홍콩","보건의료","생물공학 및 약품"
"New Century Healthcare","1518","홍콩","보건의료","헬쓰케어 설비"
"Town Health Medical Group","3886","홍콩","보건의료","헬쓰케어 설비"
