"종목","기호","거래소","부문","산업"
"CRRC Corp","1766","홍콩","운송","철도"
"MTR","0066","홍콩","운송","다종 운송"
"Air China Ltd","0753","홍콩","운송","항공사"
"China Southern Airlines","1055","홍콩","운송","항공사"
"China Eastern Airlines","0670","홍콩","운송","항공사"
"COSCO Shipping H","1919","홍콩","운송","수상 운송"
"초상국국제유한공사","0144","홍콩","운송","다종 운송"
"Cathay Airways","0293","홍콩","운송","항공사"
"Beijing Capital Int Airport","0694","홍콩","운송","다종 운송"
"Orient Overseas Int","0316","홍콩","운송","수상 운송"
"Guangshen Railway","0525","홍콩","운송","철도"
"Qingdao Port International Co","6198","홍콩","운송","다종 운송"
"Shenzhen Int Hlds","0152","홍콩","운송","다종 운송"
"Qinhuangdao Port","3369","홍콩","운송","다종 운송"
"Zhejiang Expressway","0576","홍콩","운송","다종 운송"
"Dalian Port PDA Co","2880","홍콩","운송","다종 운송"
"CSSC Offshore & Marine Engineering","0317","홍콩","운송","수상 운송"
"Sinotrans Ltd","0598","홍콩","운송","다종 운송"
"Hopewell Holdings","0054","홍콩","운송","다종 운송"
"COSCO Shipping Energy","1138","홍콩","운송","수상 운송"
"Shenzhen Expressway","0548","홍콩","운송","다종 운송"
"SITC Int","1308","홍콩","운송","다종 운송"
"코스코태평양","1199","홍콩","운송","다종 운송"
"Kerry Logistics Network","0636","홍콩","운송","트럭 운송"
"Hopewell Highway Infrastructure","0737","홍콩","운송","다종 운송"
"Sichuan Expressway","0107","홍콩","운송","다종 운송"
"Yuexiu Transport Infrastructure","1052","홍콩","운송","다종 운송"
"Transport Intl","0062","홍콩","운송","다종 운송"
"Pacific Basin Shipping","2343","홍콩","운송","수상 운송"
"Sinotrans Shipping","0368","홍콩","운송","수상 운송"
"Hong Kong Aircraft Engineering","0044","홍콩","운송","다종 운송"
"China Logistics Property","1589","홍콩","운송","항공 우편"
"Tianjin Port Development","3382","홍콩","운송","다종 운송"
"Beijing Sports and Entertainment","1803","홍콩","운송","항공 우편"
"HNA Infrastructure","0357","홍콩","운송","다종 운송"
"Xiamen International Port","3378","홍콩","운송","다종 운송"
"Hong Kong Ferry","0050","홍콩","운송","수상 운송"
"DTXS Silk Road Invest","0620","홍콩","운송","수상 운송"
"CIG Yangtze Ports","1719","홍콩","운송","다종 운송"
"On Time Logistics","6123","홍콩","운송","다종 운송"
"Noble Century Investment","2322","홍콩","운송","수상 운송"
"Chu Kong Shipping Enterprises","0560","홍콩","운송","수상 운송"
"Kwoon Chung Bus","0306","홍콩","운송","다종 운송"
"Beijing Properties","0925","홍콩","운송","다종 운송"
"Great Harvest Maeta","3683","홍콩","운송","수상 운송"
"Zhuhai Invest","0908","홍콩","운송","다종 운송"
"China Resources & Transportation","0269","홍콩","운송","다종 운송"
"Dragon Crown","0935","홍콩","운송","다종 운송"
"Worldgate Global Logistics","8292","홍콩","운송","수상 운송"
"Dafeng Port Heshun Tech","8310","홍콩","운송","수상 운송"
"Hans Energy","0554","홍콩","운송","다종 운송"
"China Ocean Shipbuilding Industry","0651","홍콩","운송","수상 운송"
"Jinhui","0137","홍콩","운송","수상 운송"
"China Huarong Energy","1101","홍콩","운송","수상 운송"
"World-Link Logistics Asia","6083","홍콩","운송","트럭 운송"
"Courage Invest","1145","홍콩","운송","수상 운송"
"China Ever Grand Financial Leasing","0379","홍콩","운송","다종 운송"
"AMS Public Transport","0077","홍콩","운송","다종 운송"
"Ever Harvest","1549","홍콩","운송","수상 운송"
"Huayu Expressway","1823","홍콩","운송","다종 운송"
"Asia Energy Logistics","0351","홍콩","운송","수상 운송"
"Daido","0544","홍콩","운송","다종 운송"
"Goal Rise Logistics China","8457","홍콩","운송","트럭 운송"
"Janco Holdings","8035","홍콩","운송","다종 운송"
