"종목","기호","거래소","부문","산업"
"Maruti Suzuki","MRTI","NSE","경기 민감형 소비재","자동차와 트럭 제조"
"Maruti Suzuki","MRTI","BSE","경기 민감형 소비재","자동차와 트럭 제조"
"Tata Motors","TAMO","NSE","경기 민감형 소비재","자동차와 트럭 제조"
"Tata Motors","TAMO","BSE","경기 민감형 소비재","자동차와 트럭 제조"
"Tata Motors DV Ltd","TAMdv","NSE","경기 민감형 소비재","자동차와 트럭 제조"
"Tata Motors DV Ltd","TAMdv","BSE","경기 민감형 소비재","자동차와 트럭 제조"
"Mahindra & Mahindra","MAHM","NSE","경기 민감형 소비재","자동차와 트럭 제조"
"Mahindra & Mahindra","MAHM","BSE","경기 민감형 소비재","자동차와 트럭 제조"
"Titan Company","TITN","BSE","경기 민감형 소비재","보석 및 은제품"
"Titan Company","TITN","NSE","경기 민감형 소비재","보석 및 은제품"
"Bajaj Auto","BAJA","BSE","경기 민감형 소비재","여가용 제품"
"Bajaj Auto","BAJA","NSE","경기 민감형 소비재","여가용 제품"
"Eicher Motors","EICH","NSE","경기 민감형 소비재","자동차와 트럭 제조"
"Eicher Motors","EICH","BSE","경기 민감형 소비재","자동차와 트럭 제조"
"Hero Moto","HROM","NSE","경기 민감형 소비재","여가용 제품"
"Hero Moto","HROM","BSE","경기 민감형 소비재","여가용 제품"
"Motherson Sumi Systems","MOSS","NSE","경기 민감형 소비재","자동차와 트럭 부품"
"Motherson Sumi Systems","MOSS","BSE","경기 민감형 소비재","자동차와 트럭 부품"
"Bosch","BOSH","NSE","경기 민감형 소비재","자동차와 트럭 부품"
"Bosch","BOSH","BSE","경기 민감형 소비재","자동차와 트럭 부품"
"Ashok Leyland","ASOK","BSE","경기 민감형 소비재","자동차와 트럭 제조"
"Ashok Leyland","ASOK","NSE","경기 민감형 소비재","자동차와 트럭 제조"
"MRF","MRF","NSE","경기 민감형 소비재","타이어"
"MRF","MRF","BSE","경기 민감형 소비재","타이어"
"TVS Motor Company","TVSM","BSE","경기 민감형 소비재","자동차와 트럭 제조"
"TVS Motor Company","TVSM","NSE","경기 민감형 소비재","자동차와 트럭 제조"
"Page Industries","PAGE","NSE","경기 민감형 소비재","의복/액세서리"
"Page Industries","PAGE","BSE","경기 민감형 소비재","의복/액세서리"
"Rajesh Exports","REXP","NSE","경기 민감형 소비재","보석 및 은제품"
"Rajesh Exports","REXP","BSE","경기 민감형 소비재","보석 및 은제품"
"Balkrishna Industries Ltd","BLKI","NSE","경기 민감형 소비재","타이어"
"Balkrishna Industries Ltd","BLKI","BSE","경기 민감형 소비재","타이어"
"월풀","WHIR","NSE","경기 민감형 소비재","가전과 공구"
"월풀","WHIR","BSE","경기 민감형 소비재","가전과 공구"
"Endurance Technologies Cn","ENDU","NSE","경기 민감형 소비재","자동차와 트럭 부품"
"Endurance Technologies Cn","ENDU","BSE","경기 민감형 소비재","자동차와 트럭 부품"
"Apollo Tyres","APLO","BSE","경기 민감형 소비재","타이어"
"Apollo Tyres","APLO","NSE","경기 민감형 소비재","타이어"
"WABCO India","WABC","NSE","경기 민감형 소비재","자동차와 트럭 부품"
"WABCO India","WABC","BSE","경기 민감형 소비재","자동차와 트럭 부품"
"Honeywell Automation India","HONE","BSE","경기 민감형 소비재","가전과 공구"
"Honeywell Automation India","HONE","NSE","경기 민감형 소비재","가전과 공구"
"Crompton Greaves Consumer Electricals Ltd","CROP","NSE","경기 민감형 소비재","가전과 공구"
"Crompton Greaves Consumer Electricals Ltd","CROP","BSE","경기 민감형 소비재","가전과 공구"
"PC Jeweller Ltd","PCJE","NSE","경기 민감형 소비재","보석 및 은제품"
"PC Jeweller Ltd","PCJE","BSE","경기 민감형 소비재","보석 및 은제품"
"SRF","SRFL","NSE","경기 민감형 소비재","직물 – 비의류"
"SRF","SRFL","BSE","경기 민감형 소비재","직물 – 비의류"
"Arvind","ARVN","BSE","경기 민감형 소비재","의복/액세서리"
"Arvind","ARVN","NSE","경기 민감형 소비재","의복/액세서리"
"Rane Holdings Ltd","RANE","NSE","경기 민감형 소비재","자동차와 트럭 부품"
"Himatsingka Seide","HMSD","BSE","경기 민감형 소비재","직물 – 비의류"
"Himatsingka Seide","HMSD","NSE","경기 민감형 소비재","직물 – 비의류"
"Trident","TRIE","BSE","경기 민감형 소비재","직물 – 비의류"
"Trident","TRIE","NSE","경기 민감형 소비재","직물 – 비의류"
"Rupa Company Ltd","RUCL","BSE","경기 민감형 소비재","의복/액세서리"
"Rupa Company Ltd","RUCL","NSE","경기 민감형 소비재","의복/액세서리"
"Siyaram Silk Mills","SIYR","NSE","경기 민감형 소비재","의복/액세서리"
"Siyaram Silk Mills","SIYR","BSE","경기 민감형 소비재","의복/액세서리"
"Vishal Fabrics","VIFA","BSE","경기 민감형 소비재","직물 – 비의류"
"Greaves Cotton","GRVL","NSE","경기 민감형 소비재","자동차와 트럭 부품"
"Greaves Cotton","GRVL","BSE","경기 민감형 소비재","자동차와 트럭 부품"
"Wheels India Ltd","WHEL","NSE","경기 민감형 소비재","자동차와 트럭 부품"
"Wheels India Ltd","WHEL","BSE","경기 민감형 소비재","자동차와 트럭 부품"
"Goodyear India","GDYR","BSE","경기 민감형 소비재","타이어"
"Jindal Worldwide","JINW","BSE","경기 민감형 소비재","의복/액세서리"
"Jindal Worldwide","JINW","NSE","경기 민감형 소비재","의복/액세서리"
"Swaraj Engines","SWAR","NSE","경기 민감형 소비재","자동차와 트럭 부품"
"Swaraj Engines","SWAR","BSE","경기 민감형 소비재","자동차와 트럭 부품"
"Igarashi Motors India Ltd","IGAM","NSE","경기 민감형 소비재","자동차와 트럭 부품"
"Igarashi Motors India Ltd","IGAM","BSE","경기 민감형 소비재","자동차와 트럭 부품"
"TVS Srichakra Ltd","TVSC","BSE","경기 민감형 소비재","타이어"
"TVS Srichakra Ltd","TVSC","NSE","경기 민감형 소비재","타이어"
"Federal Mogul Goetze","FEDM","BSE","경기 민감형 소비재","자동차와 트럭 부품"
"Federal Mogul Goetze","FEDM","NSE","경기 민감형 소비재","자동차와 트럭 부품"
"Vaibhav Global","VAIB","BSE","경기 민감형 소비재","보석 및 은제품"
"Vaibhav Global","VAIB","NSE","경기 민감형 소비재","보석 및 은제품"
"Dollar Industries","DLLA","NSE","경기 민감형 소비재","의복/액세서리"
"Automotive Axles","ATOA","BSE","경기 민감형 소비재","자동차와 트럭 부품"
"Automotive Axles","ATOA","NSE","경기 민감형 소비재","자동차와 트럭 부품"
"Mayur Uniquoters Ltd","MAYU","BSE","경기 민감형 소비재","의복/액세서리"
"Mayur Uniquoters Ltd","MAYU","NSE","경기 민감형 소비재","의복/액세서리"
"Lumax Industries Ltd","LUMA","BSE","경기 민감형 소비재","자동차와 트럭 부품"
