"종목","기호","거래소","부문","산업"
"Tata Consult","TCS","NSE","테크놀로지","소프트웨어와 프로그래밍"
"Tata Consult","TCS","BSE","테크놀로지","소프트웨어와 프로그래밍"
"Infosys","INFY","NSE","테크놀로지","소프트웨어와 프로그래밍"
"Infosys","INFY","BSE","테크놀로지","소프트웨어와 프로그래밍"
"HCL Tech.","HCLT","BSE","테크놀로지","소프트웨어와 프로그래밍"
"HCL Tech.","HCLT","NSE","테크놀로지","소프트웨어와 프로그래밍"
"Wipro","WIPR","NSE","테크놀로지","컴퓨터 서비스"
"Wipro","WIPR","BSE","테크놀로지","컴퓨터 서비스"
"Tech Mahindra","TEML","NSE","테크놀로지","소프트웨어와 프로그래밍"
"Tech Mahindra","TEML","BSE","테크놀로지","소프트웨어와 프로그래밍"
"Oracle Financial Software","ORCL","BSE","테크놀로지","소프트웨어와 프로그래밍"
"Oracle Financial Software","ORCL","NSE","테크놀로지","소프트웨어와 프로그래밍"
"ABB India","ABB","NSE","테크놀로지","전자 장비와 제어기"
"ABB India","ABB","BSE","테크놀로지","전자 장비와 제어기"
"Vakrangee Softwares Ltd","VAKR","NSE","테크놀로지","컴퓨터 서비스"
"Vakrangee Softwares Ltd","VAKR","BSE","테크놀로지","컴퓨터 서비스"
"Larsen & Toubro Infotech","LRTI","NSE","테크놀로지","소프트웨어와 프로그래밍"
"Larsen & Toubro Infotech","LRTI","BSE","테크놀로지","소프트웨어와 프로그래밍"
"Exide Industries","EXID","NSE","테크놀로지","전자 장비와 제어기"
"Exide Industries","EXID","BSE","테크놀로지","전자 장비와 제어기"
"MphasiS","MBFL","NSE","테크놀로지","소프트웨어와 프로그래밍"
"MphasiS","MBFL","BSE","테크놀로지","소프트웨어와 프로그래밍"
"Info Edge India","INED","BSE","테크놀로지","컴퓨터 서비스"
"Info Edge India","INED","NSE","테크놀로지","컴퓨터 서비스"
"Graphite India","GRPH","NSE","테크놀로지","전자 장비와 제어기"
"Graphite India","GRPH","BSE","테크놀로지","전자 장비와 제어기"
"Amara Raja Batteries","AMAR","NSE","테크놀로지","전자 장비와 제어기"
"Amara Raja Batteries","AMAR","BSE","테크놀로지","전자 장비와 제어기"
"HEG","HEGL","BSE","테크놀로지","전자 장비와 제어기"
"HEG","HEGL","NSE","테크놀로지","전자 장비와 제어기"
"MindTree","MINT","NSE","테크놀로지","컴퓨터 서비스"
"MindTree","MINT","BSE","테크놀로지","컴퓨터 서비스"
"Sterlite Technologies","STTE","BSE","테크놀로지","전자 장비와 제어기"
"Sterlite Technologies","STTE","NSE","테크놀로지","전자 장비와 제어기"
"Hexaware Technologies","HEXT","NSE","테크놀로지","소프트웨어와 프로그래밍"
"Hexaware Technologies","HEXT","BSE","테크놀로지","소프트웨어와 프로그래밍"
"Ge T&D India","GETD","NSE","테크놀로지","전자 장비와 제어기"
"Ge T&D India","GETD","BSE","테크놀로지","전자 장비와 제어기"
"V Guard Industries","VGUA","NSE","테크놀로지","전자 장비와 제어기"
"V Guard Industries","VGUA","BSE","테크놀로지","전자 장비와 제어기"
"ITI Ltd","ITEL","BSE","테크놀로지","통신 장비"
"ITI Ltd","ITEL","NSE","테크놀로지","통신 장비"
"CMC","CMC","NSE","테크놀로지","소프트웨어와 프로그래밍"
"Tata Elxsi Limited","TTEX","NSE","테크놀로지","소프트웨어와 프로그래밍"
"Tata Elxsi Limited","TTEX","BSE","테크놀로지","소프트웨어와 프로그래밍"
"Redington India","REDI","BSE","테크놀로지","컴퓨터 주변기기"
"Redington India","REDI","NSE","테크놀로지","컴퓨터 주변기기"
"Persistent Systems","PERS","NSE","테크놀로지","소프트웨어와 프로그래밍"
"Persistent Systems","PERS","BSE","테크놀로지","소프트웨어와 프로그래밍"
"Niit Technologies Ltd","NITT","BSE","테크놀로지","소프트웨어와 프로그래밍"
"Infinite Computers","INFI","BSE","테크놀로지","소프트웨어와 프로그래밍"
"Infinite Computers","INFI","NSE","테크놀로지","소프트웨어와 프로그래밍"
"Majesco Ltd","MAJC","BSE","테크놀로지","소프트웨어와 프로그래밍"
"Majesco Ltd","MAJC","NSE","테크놀로지","소프트웨어와 프로그래밍"
"Genus Power Infrastructures","GEOE","BSE","테크놀로지","전자 장비와 제어기"
"Genus Power Infrastructures","GEOE","NSE","테크놀로지","전자 장비와 제어기"
"Mastek","MAST","NSE","테크놀로지","소프트웨어와 프로그래밍"
"Mastek","MAST","BSE","테크놀로지","소프트웨어와 프로그래밍"
"Vindhya Telelinks Ltd","VNDY","BSE","테크놀로지","통신 장비"
"Vindhya Telelinks Ltd","VNDY","NSE","테크놀로지","통신 장비"
"HBL Power Systems Ltd","HBLS","BSE","테크놀로지","전자 장비와 제어기"
"HBL Power Systems Ltd","HBLS","NSE","테크놀로지","전자 장비와 제어기"
"Sasken Communication Tech","SKCT","BSE","테크놀로지","컴퓨터 서비스"
"Sasken Communication Tech","SKCT","NSE","테크놀로지","컴퓨터 서비스"
"Nucleus Software Exports Ltd","NSEL","NSE","테크놀로지","소프트웨어와 프로그래밍"
"Nucleus Software Exports Ltd","NSEL","BSE","테크놀로지","소프트웨어와 프로그래밍"
"Fiem Industries Ltd","FIIN","BSE","테크놀로지","전자 장비와 제어기"
"Fiem Industries Ltd","FIIN","NSE","테크놀로지","전자 장비와 제어기"
"Sharda Motor Industries Ltd","SHAD","BSE","테크놀로지","전자 장비와 제어기"
"Sharda Motor Industries Ltd","SHAD","NSE","테크놀로지","전자 장비와 제어기"
"Ramco Systems Ltd","RMCS","NSE","테크놀로지","컴퓨터 서비스"
"Ramco Systems Ltd","RMCS","BSE","테크놀로지","컴퓨터 서비스"
"Voltamp Transformers Ltd","VOTL","BSE","테크놀로지","전자 장비와 제어기"
"Voltamp Transformers Ltd","VOTL","NSE","테크놀로지","전자 장비와 제어기"
"Rolta India","ROLT","BSE","테크놀로지","소프트웨어와 프로그래밍"
"Rolta India","ROLT","NSE","테크놀로지","소프트웨어와 프로그래밍"
"Goldstone Infratech Ltd","GODT","BSE","테크놀로지","전자 장비와 제어기"
"Goldstone Infratech Ltd","GODT","NSE","테크놀로지","전자 장비와 제어기"
"Bharat Bijlee Ltd","BBJL","NSE","테크놀로지","전자 장비와 제어기"
"Bharat Bijlee Ltd","BBJL","BSE","테크놀로지","전자 장비와 제어기"
"HPL Electric & Power","HPLE","NSE","테크놀로지","전자 장비와 제어기"
"HPL Electric & Power","HPLE","BSE","테크놀로지","전자 장비와 제어기"
"3i Infotech","TIIN","BSE","테크놀로지","소프트웨어와 프로그래밍"
"3i Infotech","TIIN","NSE","테크놀로지","소프트웨어와 프로그래밍"
"Genesys International Corp","GENS","NSE","테크놀로지","소프트웨어와 프로그래밍"
"Genesys International Corp","GENS","BSE","테크놀로지","소프트웨어와 프로그래밍"
"Ricoh India","RICO","BSE","테크놀로지","사무실 장비"
"Polo Queen Industrial Fintech","POLO","BSE","테크놀로지","소프트웨어와 프로그래밍"
"Pine Animation Ltd-BO","PINE","BSE","테크놀로지","소프트웨어와 프로그래밍"
"Cerebra Integrated Technolog","CEIT","NSE","테크놀로지","컴퓨터 하드웨어"
"Cerebra Integrated Technolog","CEIT","BSE","테크놀로지","컴퓨터 하드웨어"
"Centum Electronics Ltd","CENT","BSE","테크놀로지","전자 장비와 제어기"
"Centum Electronics Ltd","CENT","NSE","테크놀로지","전자 장비와 제어기"
"Xchanging Solutions Ltd","XCHA","NSE","테크놀로지","컴퓨터 서비스"
"Xchanging Solutions Ltd","XCHA","BSE","테크놀로지","컴퓨터 서비스"
"Cigniti Technologies","CIGN","BSE","테크놀로지","컴퓨터 서비스"
"Cigniti Technologies","CIGN","NSE","테크놀로지","컴퓨터 서비스"
"TVS Electronics Ltd","TVEL","NSE","테크놀로지","컴퓨터 주변기기"
"TVS Electronics Ltd","TVEL","BSE","테크놀로지","컴퓨터 주변기기"
"Alankit Ltd","ALAK","NSE","테크놀로지","컴퓨터 서비스"
"Alankit Ltd","ALAK","BSE","테크놀로지","컴퓨터 서비스"
"Datamatics Global Services Ltd","DATC","BSE","테크놀로지","소프트웨어와 프로그래밍"
"Datamatics Global Services Ltd","DATC","NSE","테크놀로지","소프트웨어와 프로그래밍"
"Sqs India BFSI","SQSI","NSE","테크놀로지","소프트웨어와 프로그래밍"
"Sqs India BFSI","SQSI","BSE","테크놀로지","소프트웨어와 프로그래밍"
"Allsec Technologies Ltd","ALLS","NSE","테크놀로지","컴퓨터 서비스"
"Allsec Technologies Ltd","ALLS","BSE","테크놀로지","컴퓨터 서비스"
"Aurionpro Solutions Ltd","APSL","BSE","테크놀로지","소프트웨어와 프로그래밍"
"Aurionpro Solutions Ltd","APSL","NSE","테크놀로지","소프트웨어와 프로그래밍"
"Onmobile Global Ltd","ONMO","NSE","테크놀로지","소프트웨어와 프로그래밍"
