"종목","기호","거래소","부문","산업"
"미쓰이","8031","도쿄","에너지","석유와 가스 – 통합"
"스미토모","8053","도쿄","에너지","석유와 가스 운용"
"JX홀딩스","5020","도쿄","에너지","석유와 가스 운용"
"인펙스","1605","도쿄","에너지","석유와 가스 – 통합"
"마루베니","8002","도쿄","에너지","석유와 가스 운용"
"Idemitsu Kosan Co Ltd","5019","도쿄","에너지","석유와 가스 운용"
"쇼와 셸 석유","5002","도쿄","에너지","석유와 가스 운용"
"소지츠","2768","도쿄","에너지","석유와 가스 운용"
"Cosmo Energy Holdings","5021","도쿄","에너지","석유와 가스 – 통합"
"Iwatani Corp","8088","도쿄","에너지","석유와 가스 운용"
"Tokai Holdings Corp","3167","도쿄","에너지","석유와 가스 운용"
"JP Petroleum Exploration Ltd","1662","도쿄","에너지","석유와 가스 – 통합"
"Itochu Enex Co Ltd","8133","도쿄","에너지","석유와 가스 운용"
"San-Ai Oil","8097","도쿄","에너지","석유와 가스 운용"
"Yamashin-Filter","6240","도쿄","에너지","유정 서비스와 장비"
"Kamei Corp","8037","도쿄","에너지","석유와 가스 운용"
"Mitsuuroko Group Holdings","8131","도쿄","에너지","석유와 가스 운용"
"K&O Energy Group Inc","1663","도쿄","에너지","석유와 가스 운용"
"Shinko Plantech","6379","도쿄","에너지","유정 서비스와 장비"
"Sala Corp","2734","도쿄","에너지","석유와 가스 운용"
"Oyo Corp","9755","도쿄","에너지","유정 서비스와 장비"
"BP Castrol KK","5015","도쿄","에너지","석유와 가스 운용"
"Japan Drilling","1606","도쿄","에너지","유정 서비스와 장비"
"Sinanen Co Ltd","8132","도쿄","에너지","석유와 가스 운용"
"Fuji Oil Co","5017","도쿄","에너지","석유와 가스 운용"
"Nippon Coke & Engineering Ltd","3315","도쿄","에너지","석탄"
"Toell Co Ltd","3361","도쿄","에너지","석유와 가스 운용"
"Toa Oil","5008","도쿄","에너지","석유와 가스 운용"
"Mitsui Matsushima Co Ltd","1518","도쿄","에너지","석탄"
"MORESCO Corp","5018","도쿄","에너지","석유와 가스 운용"
"Joban Kosan Co Ltd","9675","도쿄","에너지","석탄"
"Sumiseki Holdings Inc","1514","도쿄","에너지","석탄"
"Sanrin","7486","도쿄","에너지","석유와 가스 운용"
"Taiheiyo Kouhatsuorporated","8835","도쿄","에너지","석탄"
"Nippon Seiro","5010","도쿄","에너지","석유와 가스 운용"
"Daimaru Enawin","9818","도쿄","에너지","석유와 가스 운용"
"Nissin Shoji","7490","도쿄","에너지","석유와 가스 운용"
"Fuji Kosan Co Ltd","5009","도쿄","에너지","석유와 가스 운용"
