"종목","기호","거래소","부문","산업"
"San Miguel","SMC","필리핀","에너지","석유와 가스 – 통합"
"Semirara Mining","SCC","필리핀","에너지","석탄"
"Top Frontier Inv","TFHI","필리핀","에너지","석유와 가스 운용"
"Pilipinas Shell Petroleum","SHLPH","필리핀","에너지","석유와 가스 운용"
"Petron","PCOR","필리핀","에너지","석유와 가스 운용"
"Philex Petroleum","PXP","필리핀","에너지","석유와 가스 운용"
"Phoenix Petroleum","PNX","필리핀","에너지","석유와 가스 운용"
"Pryce","PPC","필리핀","에너지","석유와 가스 운용"
"PetroEnergy Resources","PERC","필리핀","에너지","석유와 가스 운용"
"Philodrill","OV","필리핀","에너지","석유와 가스 운용"
"Oriental Petrol","OPM","필리핀","에너지","석유와 가스 운용"
"Oriental Petrol B","OPMB","필리핀","에너지","석유와 가스 운용"
"Coal Asia","COAL","필리핀","에너지","석탄"
"Vulcan","VUL","필리핀","에너지","석유와 가스 – 통합"
"SOCResources","SOC","필리핀","에너지","석유와 가스 – 통합"
"Basic Energy","BSC","필리핀","에너지","석유와 가스 – 통합"
"Phinma Petroleum Geothermal","PPG","필리핀","에너지","석유와 가스 – 통합"
"Seafront Resources","SPM","필리핀","에너지","석유와 가스 – 통합"
"Forum Pacific","FPI","필리핀","에너지","석유와 가스 운용"
