"종목","기호","거래소","부문","산업"
"JG Summit","JGS","필리핀","소비재/ 경기 방어형","식품 가공"
"Universal Robina","URC","필리핀","소비재/ 경기 방어형","식품 가공"
"Emperador","EMP","필리핀","소비재/ 경기 방어형","음료(알코올성)"
"San Miguel","PF","필리핀","소비재/ 경기 방어형","식품 가공"
"D&L Industries","DNL","필리핀","소비재/ 경기 방어형","식품 가공"
"Century Pacific Food","CNPF","필리핀","소비재/ 경기 방어형","식품 가공"
"Del Monte Pacific Ltd","DMPL","필리핀","소비재/ 경기 방어형","식품 가공"
"Macay","MACAY","필리핀","소비재/ 경기 방어형","음료 (비알코올성)"
"RFM","RFM","필리핀","소비재/ 경기 방어형","식품 가공"
"Pepsi Cola Products","PIP","필리핀","소비재/ 경기 방어형","음료 (비알코올성)"
"AgriNurture","ANI","필리핀","소비재/ 경기 방어형","식품 가공"
"Central Azucarera de Tarlac","CAT","필리핀","소비재/ 경기 방어형","식품 가공"
"Liberty Flour Mills","LFM","필리핀","소비재/ 경기 방어형","식품 가공"
"Ginebra San Miguel","GSMI","필리핀","소비재/ 경기 방어형","음료(알코올성)"
"Victorias Milling Company","VMC","필리핀","소비재/ 경기 방어형","식품 가공"
"Vitarich","VITA","필리핀","소비재/ 경기 방어형","식품 가공"
"Roxas","ROX","필리핀","소비재/ 경기 방어형","식품 가공"
"Roxas","RCI","필리핀","소비재/ 경기 방어형","식품 가공"
"Alliance Select Foods","FOOD","필리핀","소비재/ 경기 방어형","식품 가공"
"Bogo Medellin Milling","BMM","필리핀","소비재/ 경기 방어형","식품 가공"
"Millennium Global","MG","필리핀","소비재/ 경기 방어형","식품 가공"
"Swift Foods","SFI","필리핀","소비재/ 경기 방어형","식품 가공"
