"종목","기호","거래소","부문","산업"
"SM Investments","SM","필리핀","서비스","소매(백화점과 할인점)"
"SM Prime","SMPH","필리핀","서비스","부동산 운용"
"Jollibee Foods","JFC","필리핀","서비스","레스토랑"
"PLDT","TEL","필리핀","서비스","통신 서비스"
"Globe Telecom","GLO","필리핀","서비스","통신 서비스"
"Bloomberry Resorts","BLOOM","필리핀","서비스","카지노와 게임"
"Megaworld","MEG","필리핀","서비스","부동산 운용"
"Puregold Price Club","PGOLD","필리핀","서비스","소매(식료잡화)"
"Alliance Global","AGI","필리핀","서비스","부동산 운용"
"Robinsons Retail","RRHI","필리핀","서비스","소매(식료잡화)"
"Robinsons Land","RLC","필리핀","서비스","부동산 운용"
"Philippine Seven","SEVN","필리핀","서비스","소매(식료잡화)"
"Vista Land","VLL","필리핀","서비스","부동산 운용"
"Filinvest Development","FDC","필리핀","서비스","부동산 운용"
"Travellers Int Hotel","RWM","필리핀","서비스","카지노와 게임"
"Cosco Capital","COSCO","필리핀","서비스","소매(식료잡화)"
"Melco Resorts","MRP","필리핀","서비스","카지노와 게임"
"Belle","BEL","필리핀","서비스","부동산 운용"
"Premium Leisure","PLC","필리핀","서비스","여가 활동"
"ABS CBN","ABS","필리핀","서비스","방송과 케이블 티브이"
"Shakey’s Pizza Asia","PIZZA","필리핀","서비스","레스토랑"
"Berjaya","BCOR","필리핀","서비스","여가 활동"
"GMA Network","GMA7","필리핀","서비스","방송과 케이블 티브이"
"Max’s Group","MAXS","필리핀","서비스","레스토랑"
"Global-Estate Resorts","GERI","필리핀","서비스","부동산 운용"
"Anchor Land","ALHI","필리핀","서비스","부동산 운용"
"Prime Orion Phils","POPI","필리핀","서비스","부동산 운용"
"Shang Properties","SHNG","필리핀","서비스","부동산 운용"
"Far Eastern University","FEU","필리핀","서비스","학교"
"STI Education Systems","STI","필리핀","서비스","학교"
"Metro Retail Stores Group","MRSGI","필리핀","서비스","소매(백화점과 할인점)"
"Cebu","CHI","필리핀","서비스","부동산 운용"
"MJC Investments","MJIC","필리핀","서비스","카지노와 게임"
"SSI Group","SSI","필리핀","서비스","소매(의복)"
"Leisure and Resorts World","LR","필리핀","서비스","카지노와 게임"
"Cebu Landmasters","CLI","필리핀","서비스","부동산 운용"
"Manila Broadcasting Co","MBC","필리핀","서비스","방송과 케이블 티브이"
"Primex","PRMX","필리핀","서비스","부동산 운용"
"Cebu Property B","CPVB","필리핀","서비스","부동산 운용"
"Cebu Property Ventures","CPV","필리핀","서비스","부동산 운용"
"IPM","IPM","필리핀","서비스","부동산 운용"
"Manila Jockey Club","MJC","필리핀","서비스","여가 활동"
"Pacificonline Systems","LOTO","필리핀","서비스","카지노와 게임"
"MRC Allied","MRC","필리핀","서비스","부동산 운용"
"Philippine Racing Club","PRC","필리핀","서비스","여가 활동"
"Araneta Properties","ARA","필리핀","서비스","부동산 운용"
"Cityland Development","CDC","필리핀","서비스","부동산 운용"
"Easycall Communications","ECP","필리핀","서비스","사업 서비스"
"Paxys","PAX","필리핀","서비스","사업 서비스"
"Centro Escolar","CEU","필리핀","서비스","학교"
"Cyber Bay","CYBR","필리핀","서비스","부동산 운용"
"APC Group","APC","필리핀","서비스","사업 서비스"
"Anglo Philippine","APO","필리핀","서비스","부동산 운용"
"ATN Holdings","ATN","필리핀","서비스","부동산 운용"
"ATN Holdings B","ATNB","필리핀","서비스","부동산 운용"
"Waterfront Philippines","WPI","필리핀","서비스","호텔과 모텔"
"Suntrust Home","SUN","필리핀","서비스","렌탈과 리스"
"F&J Prince","FJP","필리핀","서비스","부동산 운용"
"F&J Prince B","FJPB","필리핀","서비스","부동산 운용"
"Manila Bulletin","MB","필리핀","서비스","인쇄와 출판"
"Italpinas Dev","IDC","필리핀","서비스","부동산 운용"
"Discovery World","DWC","필리핀","서비스","호텔과 모텔"
"City and Land Developers","LAND","필리핀","서비스","부동산 운용"
"IRC Properties","IRC","필리핀","서비스","부동산 운용"
"IRemit","I","필리핀","서비스","사업 서비스"
"Transpacific Broadband","TBGI","필리핀","서비스","방송과 케이블 티브이"
"Grand Plaza Hotel","GPH","필리핀","서비스","호텔과 모텔"
"Boulevard","BHI","필리핀","서비스","호텔과 모텔"
"Ever Gotesco","EVER","필리핀","서비스","부동산 운용"
"Omico","OM","필리핀","서비스","부동산 운용"
"Acesite Hotel","ACE","필리핀","서비스","호텔과 모텔"
