"종목","기호","거래소","부문","산업"
"Aboitiz Equity","AEV","필리핀","유틸러티","전기 유틸러티"
"Manila Electric","MER","필리핀","유틸러티","전기 유틸러티"
"Aboitiz Power","AP","필리핀","유틸러티","전기 유틸러티"
"Metro Pacific Inv","MPI","필리핀","유틸러티","전기 유틸러티"
"Energy Development","EDC","필리핀","유틸러티","전기 유틸러티"
"First Gen","FGEN","필리핀","유틸러티","전기 유틸러티"
"Manila Water","MWC","필리핀","유틸러티","수도 유틸러티"
"First Philippine","FPH","필리핀","유틸러티","전기 유틸러티"
"Vivant","VVT","필리핀","유틸러티","전기 유틸러티"
"Lopez","LPZ","필리핀","유틸러티","전기 유틸러티"
"Alsons Consolidated","ACR","필리핀","유틸러티","전기 유틸러티"
"SPC Power","SPC","필리핀","유틸러티","전기 유틸러티"
"Phima Energy","PHEN","필리핀","유틸러티","전기 유틸러티"
"Jolliville","JOH","필리핀","유틸러티","전기 유틸러티"
"Philippine H2O Ventures","H2O","필리핀","유틸러티","수도 유틸러티"
