"종목","기호","거래소","부문","산업"
"Capitaland","CATL","싱가포르","자본재","건설 서비스"
"ST Engineering","STEG","싱가포르","자본재","항공 우주와 방위"
"United Overseas Land","UTOS","싱가포르","자본재","건설 서비스"
"United Industrial Corporation Ltd","UICS","싱가포르","자본재","건설 서비스"
"Yanlord land group","YNLG","싱가포르","자본재","건설 서비스"
"Wheelock Properties Singapore Ltd","WPSL","싱가포르","자본재","건설 서비스"
"Ho Bee Land Ltd","HBEE","싱가포르","자본재","건설 서비스"
"Sinarmas Land Ltd","SINA","싱가포르","자본재","건설 서비스"
"United Engineers Ltd","UTES","싱가포르","자본재","건설 서비스"
"Wing Tai Holdings Ltd","WTHS","싱가포르","자본재","건설 서비스"
"Bukit Sembawang Estates Ltd","BSES","싱가포르","자본재","건설 서비스"
"Fragrance Group Ltd","FRAG","싱가포르","자본재","건설 서비스"
"First Sponsor Group Ltd","FSCA","싱가포르","자본재","건설 서비스"
"Yoma Strategic Holdings Ltd","YOMA","싱가포르","자본재","건설 서비스"
"Hong Fok Corporation Ltd","HONG","싱가포르","자본재","건설 서비스"
"Chip Eng Seng Corporation Ltd","CESE","싱가포르","자본재","건설 서비스"
"Far East Orchard Ltd","FARE","싱가포르","자본재","건설 서비스"
"Rowsley Ltd","ROWS","싱가포르","자본재","건설 서비스"
"Tuan Sing Holdings Ltd","TSHS","싱가포르","자본재","건설 서비스"
"NSL Ltd","NATS","싱가포르","자본재","건설 – 원자재"
"Low Keng Huat Singapore Ltd","LKH","싱가포르","자본재","건설 서비스"
"Aspial Corporation Ltd","ASPA","싱가포르","자본재","건설 서비스"
"Boustead Singapore Ltd","BTSS","싱가포르","자본재","건설 서비스"
"Hiap Hoe Ltd","HIAP","싱가포르","자본재","건설 서비스"
"Sunpower Group Ltd","SUNP","싱가포르","자본재","다종 자본재"
"Sarine Technologies Ltd","SARI","싱가포르","자본재","다종 자본재"
"KSH Holdings Ltd","KSHH","싱가포르","자본재","건설 서비스"
"Hong Leong Asia Ltd","HLAA","싱가포르","자본재","다종 자본재"
"Lian Beng Group Ltd","LIBG","싱가포르","자본재","건설 서비스"
"BRC Asia Ltd","BRCA","싱가포르","자본재","건설 서비스"
"Micro Mechanics Holdings Ltd","MMEC","싱가포르","자본재","다종 자본재"
"Pan United Corporation Ltd","PANU","싱가포르","자본재","건설 – 원자재"
"Civmec Ltd","CIVM","싱가포르","자본재","건설 서비스"
"Boustead Projects Ltd","BOUS","싱가포르","자본재","건설 서비스"
"Frencken Group Ltd","FREN","싱가포르","자본재","다종 자본재"
"Hock Lian Seng Holdings Ltd","HLSG","싱가포르","자본재","건설 서비스"
"Hatten Land","HATT","싱가포르","자본재","건설 서비스"
"Wee Hur Holdings Ltd","WHHL","싱가포르","자본재","건설 서비스"
"World Class Global","WORL","싱가포르","자본재","건설 서비스"
"Compact Metal Industries Ltd","COMI","싱가포르","자본재","건설 – 용품과 비품"
"Aspen","ASPE","싱가포르","자본재","건설 서비스"
"Tiong Seng Holdings Ltd","TISE","싱가포르","자본재","건설 서비스"
"Sing Holdings Ltd","SHDS","싱가포르","자본재","건설 서비스"
"Yongnam Holdings Ltd","YNAM","싱가포르","자본재","건설 서비스"
"Lum Chang Holdings Ltd","LUCS","싱가포르","자본재","건설 서비스"
"Koh Brothers Group Ltd","KBRO","싱가포르","자본재","건설 서비스"
"Keong Hong Holdings Ltd","KEHO","싱가포르","자본재","건설 서비스"
"TA Corp","TACO","싱가포르","자본재","건설 서비스"
"Weiye Holdings Ltd","WEIH","싱가포르","자본재","건설 서비스"
"Engro Corporation Ltd","ENGR","싱가포르","자본재","건설 – 원자재"
"GCCP Resources Ltd","GCCP","싱가포르","자본재","건설 – 원자재"
"Transit Mixed Concrete Ltd","TMCL","싱가포르","자본재","건설 서비스"
"KS Energy Ltd","KSTL","싱가포르","자본재","다종 자본재"
