"종목","기호","거래소","부문","산업"
"JMH","JARD","싱가포르","경기 민감형 소비재","자동차와 트럭 제조"
"JSH","JSH","싱가포르","경기 민감형 소비재","자동차와 트럭 제조"
"Jardine cycle & carriage","JCYC","싱가포르","경기 민감형 소비재","자동차와 트럭 제조"
"GSH Corporation Ltd","GSHC","싱가포르","경기 민감형 소비재","사진술"
"GP Industries Ltd","GPEI","싱가포르","경기 민감형 소비재","오디오와 비디오 장비"
"YHI International Ltd","YHII","싱가포르","경기 민감형 소비재","자동차와 트럭 부품"
"InnoTek Ltd","INTK","싱가포르","경기 민감형 소비재","가전과 공구"
"Design Studio Group Ltd","DESS","싱가포르","경기 민감형 소비재","가구와 비품"
"Stamford Tyres Corporation Ltd","STAS","싱가포르","경기 민감형 소비재","타이어"
"DISA","DISA","싱가포르","경기 민감형 소비재","오디오와 비디오 장비"
"EuroSports Global Ltd","EURO","싱가포르","경기 민감형 소비재","자동차와 트럭 부품"
"Jackspeed Corporation Ltd","JACK","싱가포르","경기 민감형 소비재","자동차와 트럭 부품"
"Thakral Corporation Ltd","THAK","싱가포르","경기 민감형 소비재","오디오와 비디오 장비"
"Grand Banks Yachts Ltd","GBYL","싱가포르","경기 민감형 소비재","여가용 제품"
"Koda Ltd","KODA","싱가포르","경기 민감형 소비재","가구와 비품"
"Broadway Industrial Group Ltd","BRWY","싱가포르","경기 민감형 소비재","가전과 공구"
"Mencast Holdings Ltd","MCHL","싱가포르","경기 민감형 소비재","자동차와 트럭 부품"
"China Jishan Holdings Ltd","CJIS","싱가포르","경기 민감형 소비재","직물 – 비의류"
"Swing Media Technology Group Ltd","SWMT","싱가포르","경기 민감형 소비재","여가용 제품"
"Ossia International Ltd","OSSA","싱가포르","경기 민감형 소비재","여가용 제품"
"Casa Holdings Ltd","CASA","싱가포르","경기 민감형 소비재","가전과 공구"
"China Star Food","CHIA","싱가포르","경기 민감형 소비재","가구와 비품"
"Tye Soon Ltd","TYES","싱가포르","경기 민감형 소비재","자동차와 트럭 부품"
"Fuxing China Group Ltd","FXCG","싱가포르","경기 민감형 소비재","의복/액세서리"
"Versalink Holdings Ltd","VERS","싱가포르","경기 민감형 소비재","가구와 비품"
"Forise Int","FOIL","싱가포르","경기 민감형 소비재","의복/액세서리"
"China Sports International Ltd","CSIL","싱가포르","경기 민감형 소비재","신발"
"Asia Fashion Holdings Ltd","ASFN","싱가포르","경기 민감형 소비재","의복/액세서리"
"China Fibretech Ltd","CHFI","싱가포르","경기 민감형 소비재","직물 – 비의류"
"Sitra (International)","SITR","싱가포르","경기 민감형 소비재","가구와 비품"
"Qingmei Group Holdings Ltd","QGMI","싱가포르","경기 민감형 소비재","신발"
"China Kunda Technology Holdings Ltd","CKUN","싱가포르","경기 민감형 소비재","자동차와 트럭 부품"
"Huan Hsin Holdings Ltd","HUAN","싱가포르","경기 민감형 소비재","가전과 공구"
"SMJ International Holdings Ltd","SMJI","싱가포르","경기 민감형 소비재","의복/액세서리"
"Foreland Fabrictech Holdings Ltd","FFHL","싱가포르","경기 민감형 소비재","직물 – 비의류"
"Plastoform Holdings Ltd","PFML","싱가포르","경기 민감형 소비재","오디오와 비디오 장비"
"China Gaoxian Fibre Fabric Holdings","CGXF","싱가포르","경기 민감형 소비재","의복/액세서리"
"Cacola Furniture International Ltd","CACF","싱가포르","경기 민감형 소비재","가구와 비품"
"China Taisan Technology Group Holdi","CTTG","싱가포르","경기 민감형 소비재","직물 – 비의류"
"Dapai International Holdings Co Ltd","DAPA","싱가포르","경기 민감형 소비재","의복/액세서리"
