"종목","기호","거래소","부문","산업"
"GoPro Inc","GPRO","나스닥","경기 민감형 소비재","사진술"
"Malibu Boats Inc","MBUU","나스닥","경기 민감형 소비재","여가용 제품"
"Unifi Inc","UFI","뉴욕","경기 민감형 소비재","직물 – 비의류"
"Ethan Allen","ETH","뉴욕","경기 민감형 소비재","가구와 비품"
"Johnson Outdrs","JOUT","나스닥","경기 민감형 소비재","여가용 제품"
"Huami","HMI","뉴욕","경기 민감형 소비재","보석 및 은제품"
"Fossil","FOSL","나스닥","경기 민감형 소비재","보석 및 은제품"
"Spartan Motors","SPAR","나스닥","경기 민감형 소비재","자동차와 트럭 제조"
"Blue Bird","BLBD","나스닥","경기 민감형 소비재","자동차와 트럭 제조"
"Tower International","TOWR","뉴욕","경기 민감형 소비재","자동차와 트럭 부품"
"American Outdoor","AOBC","나스닥","경기 민감형 소비재","여가용 제품"
"Marine Products","MPX","뉴욕","경기 민감형 소비재","여가용 제품"
"MCBC Holdings Inc","MCFT","나스닥","경기 민감형 소비재","여가용 제품"
"Hooker Furnitur","HOFT","나스닥","경기 민감형 소비재","가구와 비품"
"Perry Ellis","PERY","나스닥","경기 민감형 소비재","의복/액세서리"
"Nautilus Group Inc","NLS","뉴욕","경기 민감형 소비재","여가용 제품"
"Motorcar Parts of America","MPAA","나스닥","경기 민감형 소비재","자동차와 트럭 부품"
"Superior Uniform","SGC","나스닥","경기 민감형 소비재","의복/액세서리"
"Culp Inc","CULP","뉴욕","경기 민감형 소비재","가구와 비품"
"Vera Bradley","VRA","나스닥","경기 민감형 소비재","의복/액세서리"
"Bassett","BSET","나스닥","경기 민감형 소비재","가구와 비품"
"Weyco Group","WEYS","나스닥","경기 민감형 소비재","신발"
"Superior Ind.","SUP","뉴욕","경기 민감형 소비재","자동차와 트럭 부품"
"Flexsteel Ind.","FLXS","나스닥","경기 민감형 소비재","가구와 비품"
"Miller Ind.","MLR","뉴욕","경기 민감형 소비재","자동차와 트럭 제조"
"PolarityTE","COOL","나스닥","경기 민감형 소비재","여가용 제품"
"C.V.G. Inc","CVGI","나스닥","경기 민감형 소비재","자동차와 트럭 부품"
"Kandi Technolgies","KNDI","나스닥","경기 민감형 소비재","자동차와 트럭 제조"
"LSI Industries","LYTS","나스닥","경기 민감형 소비재","가구와 비품"
"Horizon Global Corp","HZN","뉴욕","경기 민감형 소비재","자동차와 트럭 부품"
"Black Diamond","CLAR","나스닥","경기 민감형 소비재","여가용 제품"
"Escalade","ESCA","나스닥","경기 민감형 소비재","여가용 제품"
"Funko","FNKO","나스닥","경기 민감형 소비재","여가용 제품"
"Avid Technology","AVID","나스닥","경기 민감형 소비재","사진술"
"Sportsmans","SPWH","나스닥","경기 민감형 소비재","여가용 제품"
"Rocky Brands","RCKY","나스닥","경기 민감형 소비재","신발"
