"종목","기호","거래소","부문","산업"
"Petrovietnam Gas JSCrp","GAS","Ho Chi Minh","에너지","석유와 가스 운용"
"Vietnam National Petro","PLX","Ho Chi Minh","에너지","석유와 가스 운용"
"Petroleum Technical","PVS","하노이","에너지","유정 서비스와 장비"
"PetroVietnam Drilling Well Services","PVD","Ho Chi Minh","에너지","유정 서비스와 장비"
"Petrolimex Petrochemical JSC","PLC","하노이","에너지","석유와 가스 운용"
"Petrovietnam Southern Gas JSC","PGS","하노이","에너지","석유와 가스 운용"
"Petrolimex Gas Corp JSC","PGC","Ho Chi Minh","에너지","석유와 가스 운용"
"PetroVietnam General Services Corp","PET","Ho Chi Minh","에너지","유정 서비스와 장비"
"Materials Petroleum JSC","COM","Ho Chi Minh","에너지","석유와 가스 운용"
"Southern Waterborne","SWC","하노이","에너지","석유와 가스 운용"
"Pacific Petroleum Transport","PVP","하노이","에너지","유정 서비스와 장비"
"PTSC Offshore","POS","하노이","에너지","유정 서비스와 장비"
"Petroleum Equipment Assembly","PXS","Ho Chi Minh","에너지","유정 서비스와 장비"
"HOTRACO","HTC","하노이","에너지","석유와 가스 운용"
"An Pha Petroleum Group JSC","ASP","Ho Chi Minh","에너지","석유와 가스 운용"
"PVGAS NORTH","PVG","하노이","에너지","석유와 가스 운용"
"Saigon Fuel JSC","SFC","Ho Chi Minh","에너지","석유와 가스 운용"
"Camau Trading JSC","CMV","Ho Chi Minh","에너지","석유와 가스 운용"
"VNBC","NBC","하노이","에너지","석탄"
"TVD","TVD","하노이","에너지","석탄"
"Petrolimex Hanoi","PJC","하노이","에너지","석유와 가스 운용"
"Sao Mai Ben Dinh Petroleum Investme","PSB","하노이","에너지","유정 서비스와 장비"
"Petrovietnam Engineering JSC","PVE","하노이","에너지","유정 서비스와 장비"
"VHLC","HLC","하노이","에너지","석탄"
"VCSC","TC6","하노이","에너지","석탄"
"VHTC","THT","하노이","에너지","석탄"
"PVGASCITY","PCG","하노이","에너지","유정 서비스와 장비"
"VDNC","TDN","하노이","에너지","석탄"
"PetroVietnam Oil Phu Yen","PPY","하노이","에너지","석유와 가스 운용"
"VCASC","TCS","하노이","에너지","석탄"
"Petrolimex Saigon","PSC","하노이","에너지","석유와 가스 운용"
"VMDC","MDC","하노이","에너지","석탄"
"Vinacomin Northern Coal","TMB","하노이","에너지","석탄"
"Vietnam Enterprise Investment Dev","FID","하노이","에너지","석탄"
"Vinacomin Central Zone","CZC","하노이","에너지","석탄"
"APP","APP","하노이","에너지","석유와 가스 운용"
"MT Gas JSC","MTG","하노이","에너지","석유와 가스 운용"
"Vung Tau Petroleum","VMG","하노이","에너지","석유와 가스 운용"
"Petrolimex Hatay","PTH","하노이","에너지","석유와 가스 운용"
"Cavico Mineral","CMI","하노이","에너지","석유와 가스 운용"
"Vinacomin Industry Investment","TVM","하노이","에너지","석탄"
"Petro Center","PMG","Ho Chi Minh","에너지","석유와 가스 운용"
