"종목","기호","거래소","부문","산업"
"DHG Pharmaceutical JSC","DHG","Ho Chi Minh","보건의료","기간 약품"
"Pymepharco","PME","Ho Chi Minh","보건의료","생물공학 및 약품"
"Traphaco JSC","TRA","Ho Chi Minh","보건의료","기간 약품"
"Vietnam Pharma","DVN","하노이","보건의료","기간 약품"
"DOMESCO Medical Import Export","DMC","Ho Chi Minh","보건의료","기간 약품"
"Imexpharm Corp","IMP","Ho Chi Minh","보건의료","기간 약품"
"Binh Dinh Pharma","DBD","하노이","보건의료","생물공학 및 약품"
"Mekophar Chemical","MKP","하노이","보건의료","기간 약품"
"OPC Pharmaceutical JSC","OPC","Ho Chi Minh","보건의료","기간 약품"
"Cuu Long Pharmaceutical","DCL","Ho Chi Minh","보건의료","기간 약품"
"Tam Duc Cardiology","TTD","하노이","보건의료","헬쓰케어 설비"
"Hataphar","DHT","하노이","보건의료","기간 약품"
"PHARMEDIC JSC","PMC","하노이","보건의료","생물공학 및 약품"
"J&V Medical Instrument JSC","JVC","Ho Chi Minh","보건의료","의료 장비와 용품"
"Central Pharmaceutical JSC No3","DP3","하노이","보건의료","생물공학 및 약품"
"Amvibiotech","AMV","하노이","보건의료","생물공학 및 약품"
"Vidipha Central Pharma","VDP","Ho Chi Minh","보건의료","생물공학 및 약품"
"Traphaco High Tech JSC","CNC","하노이","보건의료","생물공학 및 약품"
"No 25 Central Pharma","UPH","하노이","보건의료","생물공학 및 약품"
"Central Pharma No2","DP2","하노이","보건의료","생물공학 및 약품"
"SPM Corp","SPM","Ho Chi Minh","보건의료","기간 약품"
"LADOPHAR","LDP","하노이","보건의료","생물공학 및 약품"
"Bepharco","DBT","하노이","보건의료","생물공학 및 약품"
"Armephaco","AMP","하노이","보건의료","의료 장비와 용품"
"Nam Duoc JSC","NDC","하노이","보건의료","기간 약품"
"Hatinh Pharmaceutical","HDP","하노이","보건의료","생물공학 및 약품"
"DANAMECO MEDIC","DNM","하노이","보건의료","의료 장비와 용품"
"PP PHARCO","PPP","하노이","보건의료","기간 약품"
"MEKOVET","MKV","하노이","보건의료","기간 약품"
"Medipharco Tenamyd Central Pharmace","MTP","하노이","보건의료","기간 약품"
"Becamex Pharmaceutical JSC","BCP","하노이","보건의료","생물공학 및 약품"
