"종목","기호","거래소","부문","산업"
"Vinacomin Power","DTK","하노이","유틸러티","전기 유틸러티"
"PetroVietnam Power Nhon Trach 2 JSC","NT2","Ho Chi Minh","유틸러티","전기 유틸러티"
"Da Nhim Ham Thuan Da Mi Hydro","DNH","하노이","유틸러티","전기 유틸러티"
"Hai Phong Thermal Power","HND","하노이","유틸러티","전기 유틸러티"
"Pha Lai Thermal Power JSC","PPC","Ho Chi Minh","유틸러티","전기 유틸러티"
"Quang Ninh Thermal Power","QTP","하노이","유틸러티","전기 유틸러티"
"Binh Duong Water","BWE","Ho Chi Minh","유틸러티","수도 유틸러티"
"Petrovietnam Low Pressure Gas Distr","PGD","Ho Chi Minh","유틸러티","천연가스 유틸러티"
"Vinh Son Song Hinh Hydropower JSC","VSH","Ho Chi Minh","유틸러티","전기 유틸러티"
"Central Hydropower JSC","CHP","Ho Chi Minh","유틸러티","전기 유틸러티"
"Thac Mo Hydropower JSC","TMP","Ho Chi Minh","유틸러티","전기 유틸러티"
"A Vuong Hydropower","AVC","하노이","유틸러티","전기 유틸러티"
"Southern Hydropower JSC","SHP","Ho Chi Minh","유틸러티","전기 유틸러티"
"Vinaconex Water Supply JSC","VCW","하노이","유틸러티","수도 유틸러티"
"Baria Vungtau Water","BWS","하노이","유틸러티","수도 유틸러티"
"Can Don Hydro Power JSC","SJD","Ho Chi Minh","유틸러티","전기 유틸러티"
"Viet Nam Power","VPD","Ho Chi Minh","유틸러티","전기 유틸러티"
"Thac Ba Hydropower JSC","TBC","Ho Chi Minh","유틸러티","전기 유틸러티"
"Vinaconex Power Development","VCP","하노이","유틸러티","전기 유틸러티"
"Viet Nam Urban","IDC","하노이","유틸러티","전기 유틸러티"
"Hanoi Water Supply 2","NS2","하노이","유틸러티","수도 유틸러티"
"Thu Dau Mot Water","TDM","하노이","유틸러티","수도 유틸러티"
"Sai Gon Water Infrastructure Corp","SII","Ho Chi Minh","유틸러티","수도 유틸러티"
"Gia Lai Electricity","GEG","하노이","유틸러티","전기 유틸러티"
"Dong Nai Water","DNW","하노이","유틸러티","수도 유틸러티"
"Bac Minh Develop","SBM","하노이","유틸러티","전기 유틸러티"
"Sesan 4A Hydroelectric","S4A","Ho Chi Minh","유틸러티","전기 유틸러티"
"North Electrictiy No2","ND2","하노이","유틸러티","전기 유틸러티"
"MIEN TRUNG PID","SEB","하노이","유틸러티","전기 유틸러티"
"Song Ba JSC","SBA","Ho Chi Minh","유틸러티","전기 유틸러티"
"Bac Ha Hydropower","BHA","하노이","유틸러티","전기 유틸러티"
"Tkv Campha Thermal","NCP","하노이","유틸러티","전기 유틸러티"
"CNG Vietnam JSC","CNG","Ho Chi Minh","유틸러티","천연가스 유틸러티"
"Hai Phong Water","HPW","하노이","유틸러티","수도 유틸러티"
"Gia Lai Hydropower JSC","GHC","하노이","유틸러티","전기 유틸러티"
"Ba Ria Thermal Power JSC","BTP","Ho Chi Minh","유틸러티","전기 유틸러티"
"Sonadezi Long Thanh Shareholding Co","SZL","Ho Chi Minh","유틸러티","수도 유틸러티"
"Viwaco","VAV","하노이","유틸러티","수도 유틸러티"
"Idico Srok Phu Mieng Hydropower","ISH","하노이","유틸러티","전기 유틸러티"
"Hydro Power No3","DRL","Ho Chi Minh","유틸러티","전기 유틸러티"
"PC3 Investment","PIC","하노이","유틸러티","전기 유틸러티"
"Nam Mu Hydropower JSC","HJS","하노이","유틸러티","전기 유틸러티"
"Khanh Hoa Power JSC","KHP","Ho Chi Minh","유틸러티","전기 유틸러티"
"Dinh Binh Hydro","TDB","하노이","유틸러티","전기 유틸러티"
"Que Phong Hydropower","QPH","하노이","유틸러티","전기 유틸러티"
"Huong Son Hydro Power JSC","GSM","하노이","유틸러티","전기 유틸러티"
"Vinh Long Water","VLW","하노이","유틸러티","수도 유틸러티"
"Hai Duong Water","HDW","하노이","유틸러티","수도 유틸러티"
"Nhon Trach Water Supply JSC","NTW","하노이","유틸러티","수도 유틸러티"
"Idico Urban and House Development","UIC","Ho Chi Minh","유틸러티","전기 유틸러티"
"Cho Lon Water Supply JSC","CLW","Ho Chi Minh","유틸러티","수도 유틸러티"
"Thu Duc Water Supply JSC","TDW","Ho Chi Minh","유틸러티","수도 유틸러티"
"Song Da Investment Development JSC","SIC","하노이","유틸러티","전기 유틸러티"
"Nha Be Water","NBW","하노이","유틸러티","수도 유틸러티"
"NBTPC","NBP","하노이","유틸러티","전기 유틸러티"
"Binh Dinh Water","BDW","하노이","유틸러티","수도 유틸러티"
"Gia Dinh Water Supply","GDW","하노이","유틸러티","수도 유틸러티"
"Long An Water","LAW","하노이","유틸러티","수도 유틸러티"
"Ben Thanh Water","BTW","하노이","유틸러티","수도 유틸러티"
"Dak Doa Hydropower JSC","HPD","하노이","유틸러티","전기 유틸러티"
"Phu Hoa Tan Water Supply","PJS","하노이","유틸러티","수도 유틸러티"
"HEWMAC","DNC","하노이","유틸러티","전기 유틸러티"
"Long Khanh Water Supply","LKW","하노이","유틸러티","수도 유틸러티"
"Bao Loc Supply Sewerage","BWA","하노이","유틸러티","수도 유틸러티"
