Name,Symbol,Exchange,Sector,Industry
Baoshan Iron & Steel,600019,상하이,기초 소재,철과 철강
China Molybdenum A,603993,상하이,기초 소재,금속 광업
Wanhua Chemical,600309,상하이,기초 소재,화학 제품 – 플라스틱과 고무
Inner Mongolia BaoTou Steel,600010,상하이,기초 소재,철과 철강
Zijin Mining A,601899,상하이,기초 소재,금과 은
Kangdexin A,2450,심천,기초 소재,컨테이너와 포장
Zhejiang Huayou Cobalt,603799,상하이,기초 소재,금속 광업
Aluminum Corp of China,601600,상하이,기초 소재,금속 광업
Tianqi Lithium A,2466,심천,기초 소재,화학제조
Ganfeng Lithium A,2460,심천,기초 소재,금속 광업
Beijing Sanju Environmental,300072,심천,기초 소재,화학제조
Rongsheng A,2493,심천,기초 소재,화학 제품 – 플라스틱과 고무
Zhejiang Transfar Co Ltd,2010,심천,기초 소재,화학제조
Shandong Gold Mining,600547,상하이,기초 소재,금과 은
Jiangxi Copper A,600362,상하이,기초 소재,금속 광업
China Northern Rare Earth Hi-Tech,600111,상하이,기초 소재,금속 광업
Baiyin Nonferrous,601212,상하이,기초 소재,다종 조립 제품
Angang Steel A,898,심천,기초 소재,철과 철강
Hengyi Petrochem A,703,심천,기초 소재,화학 제품 – 플라스틱과 고무
Junzheng Energy & Chemical,601216,상하이,기초 소재,화학 제품 – 플라스틱과 고무
Hubei Biocause Pharmaceutical,627,심천,기초 소재,화학제조
Kingray New Materials,600390,상하이,기초 소재,금속 광업
Billions Chemicl A,2601,심천,기초 소재,화학제조
Zhejiang Sanhua Co Ltd,2050,심천,기초 소재,다종 조립 제품
Hebei Steel A,709,심천,기초 소재,철과 철강
Idc Fluidcontrol A,2468,심천,기초 소재,다종 조립 제품
Jiangsu Zhongtian Tech,600522,상하이,기초 소재,다종 조립 제품
Zhejiang Longsheng,600352,상하이,기초 소재,화학제조
Jiangsu Shagang A,2075,심천,기초 소재,다종 조립 제품
Qinghai Saltlake A,792,심천,기초 소재,비금속 광업
Nanjing Hanruibalt,300618,심천,기초 소재,금속 광업
Sinopec Oilfield,600871,상하이,기초 소재,화학 제품 – 플라스틱과 고무
Taigang A,825,심천,기초 소재,다종 조립 제품
Hubei Sanonda,200553,심천,기초 소재,화학제조
Hubei Sanonda A,553,심천,기초 소재,화학제조
Yunnan Chihong,600497,상하이,기초 소재,금속 광업
Jinguyuan Hold A,408,심천,기초 소재,금과 은
Zhejiang Supor A,2032,심천,기초 소재,다종 조립 제품
Zhongjin Gold,600489,상하이,기초 소재,금과 은
Shandong Nanshan,600219,상하이,기초 소재,금속 광업
Wuchan Zhongda,600704,상하이,기초 소재,다종 조립 제품
Xiamen Tungsten,600549,상하이,기초 소재,금속 광업
Sun Paper A,2078,심천,기초 소재,종이와 종이 제품
Shandong Chenming Paper,200488,심천,기초 소재,종이와 종이 제품
Chenming Paper A,488,심천,기초 소재,종이와 종이 제품
Tongling Nfm A,630,심천,기초 소재,금속 광업
Fangyuan Slewing A,2147,심천,기초 소재,다종 조립 제품
Kingenta Eco A,2470,심천,기초 소재,화학제조
Shandong Hualu Hengsheng,600426,상하이,기초 소재,화학제조
Pgvt A,629,심천,기초 소재,금속 광업
Kingfa Sci&Tech,600143,상하이,기초 소재,화학 제품 – 플라스틱과 고무
Yunnan Copper A,878,심천,기초 소재,금속 광업
Western Mining,601168,상하이,기초 소재,금속 광업
Chow Tai Seng Jewellery,2867,심천,기초 소재,다종 조립 제품
Hang Zhou Iron & Steel,600126,상하이,기초 소재,철과 철강
MeiHua Holdings,600873,상하이,기초 소재,화학제조
Tinci Materials A,2709,심천,기초 소재,화학제조
Guangdong Hongteo Accurate Tech,300176,심천,기초 소재,다종 조립 제품
Liuzhou Iron & Steel,601003,상하이,기초 소재,철과 철강
Sinochem International,600500,상하이,기초 소재,화학제조
Sgis A,717,심천,기초 소재,철과 철강
Hongxing Iron & Steel,600307,상하이,기초 소재,철과 철강
Elion Energy,600277,상하이,기초 소재,화학 제품 – 플라스틱과 고무
Hailiang A,2203,심천,기초 소재,다종 조립 제품
Eagle Mining,600711,상하이,기초 소재,다종 조립 제품
Jiangsu Yangnong Chemical,600486,상하이,기초 소재,화학제조
Hangzhou First PV Material,603806,상하이,기초 소재,조립식 플라스틱과 고무
ENN Ecological,600803,상하이,기초 소재,화학제조
Zhejiang Shenghua Biok,600226,상하이,기초 소재,화학제조
Hainan Mining,601969,상하이,기초 소재,금속 광업
Neway Valve Suzhou,603699,상하이,기초 소재,다종 조립 제품
Jinhe Industrial A,2597,심천,기초 소재,화학제조
Org Packaging A,2701,심천,기초 소재,컨테이너와 포장
Bengang Steel A,761,심천,기초 소재,철과 철강
Bengang Steel Plates,200761,심천,기초 소재,철과 철강
Hexin Industry A,2343,심천,기초 소재,조립식 플라스틱과 고무
Guangdong Kaiping Chunhui Ltd,976,심천,기초 소재,화학 제품 – 플라스틱과 고무
Bbca A,930,심천,기초 소재,화학제조
Jinneng Science,603113,상하이,기초 소재,화학제조
Yahua Ind A,2497,심천,기초 소재,화학제조
Redsun A,525,심천,기초 소재,화학제조
China Garments A,902,심천,기초 소재,화학제조
Zhejiang Jiahua,600273,상하이,기초 소재,화학제조
Western Region Gold,601069,상하이,기초 소재,금과 은
Cangzhou Dahua,600230,상하이,기초 소재,화학제조
Cefc Anhui Intl,2018,심천,기초 소재,화학제조
Henan Huanghe Whirlwind,600172,상하이,기초 소재,금속 광업
Zhejiang Honglei Copper,2647,심천,기초 소재,다종 조립 제품
Guanfu Co Ltd A,2102,심천,기초 소재,다종 조립 제품
Shangying Global,600146,상하이,기초 소재,조립식 플라스틱과 고무
Zhejiang Tony,603595,상하이,기초 소재,다종 조립 제품
Kingee Culture A,2721,심천,기초 소재,금속 광업
Jianxin Mining A,688,심천,기초 소재,금속 광업
Guanlu A,831,심천,기초 소재,금속 광업
Sh Morn Elec A,2451,심천,기초 소재,다종 조립 제품
Cn Metal Eng A,758,심천,기초 소재,금속 광업
Yiwu Huading Nylon,601113,상하이,기초 소재,화학 제품 – 플라스틱과 고무
Guangdong Dowstone Tech,300409,심천,기초 소재,화학제조
Dfd Chemical A,2407,심천,기초 소재,화학제조
Minmetals Dev,600058,상하이,기초 소재,다종 조립 제품
Jingui Silver A,2716,심천,기초 소재,금속 광업
Jien Nickel,600432,상하이,기초 소재,화학제조
Befar Group,601678,상하이,기초 소재,화학제조
Hunan Gold Corp,2155,심천,기초 소재,금과 은
Roshow Tech,2617,심천,기초 소재,다종 조립 제품
Yuanxing Energy A,683,심천,기초 소재,화학제조
Ligeance Mineral A,697,심천,기초 소재,금속 광업
Liyuan Precision A,2501,심천,기초 소재,다종 조립 제품
JANUS Dongguan Precision,300083,심천,기초 소재,조립식 플라스틱과 고무
Lier Chemical A,2258,심천,기초 소재,화학제조
Wanchang Tech A,2581,심천,기초 소재,화학제조
Mz Plastic A,2108,심천,기초 소재,조립식 플라스틱과 고무
Zhengzhou Sino Crystal Diamond,300064,심천,기초 소재,금속 광업
Zhongnan Heavy A,2445,심천,기초 소재,다종 조립 제품
Xinjiang Ba Yi Iron & Steel,600581,상하이,기초 소재,철과 철강
Tianma Bearing A,2122,심천,기초 소재,다종 조립 제품
Hanhe Cable A,2498,심천,기초 소재,다종 조립 제품
Xilong Chemical A,2584,심천,기초 소재,화학제조
Shenzhen Mys A,2303,심천,기초 소재,컨테이너와 포장
Lingyuan Iron & Steel,600231,상하이,기초 소재,다종 조립 제품
Shanghai Chlor-Alkali Chemical B,900908,상하이,기초 소재,화학제조
Chlor-Alkali Chemical A,600618,상하이,기초 소재,화학제조
Beijing Easpring Material Tech,300073,심천,기초 소재,화학제조
Rising Nonferrous,600259,상하이,기초 소재,금속 광업
Guizhou Chitianhua,600227,상하이,기초 소재,화학제조
Valiant Co,2643,심천,기초 소재,화학제조
Eerduosi Resources A,600295,상하이,기초 소재,철과 철강
Eerduosi-B,900936,상하이,기초 소재,철과 철강
Anyang Iron & Steel,600569,상하이,기초 소재,철과 철강
Yunnan Yuntianhua,600096,상하이,기초 소재,화학제조
Lianhe Chem Tech A,2250,심천,기초 소재,화학제조
Guizhou Chanhen Chemical,2895,심천,기초 소재,화학제조
Shanghai Phichem A,300398,심천,기초 소재,화학 제품 – 플라스틱과 고무
Humon Smelting A,2237,심천,기초 소재,금과 은
Zhongcheng Pack A,2522,심천,기초 소재,컨테이너와 포장
Zhejiang XinAn Chemical,600596,상하이,기초 소재,화학제조
Henan Yinge Industrial Inv,600069,상하이,기초 소재,종이와 종이 제품
ZheJiang JiHua,603980,상하이,기초 소재,화학제조
Nuode Investment,600110,상하이,기초 소재,다종 조립 제품
Ningbo Yunsheng,600366,상하이,기초 소재,다종 조립 제품
Dragon Molybde,603399,상하이,기초 소재,다종 조립 제품
Chifeng Jilong Gold Mining,600988,상하이,기초 소재,금과 은
Hubei Xingfa Chemicals,600141,상하이,기초 소재,화학제조
Jiangmen Sugar A,576,심천,기초 소재,종이와 종이 제품
Jiaozuo Wanfang Aluminum,612,심천,기초 소재,금속 광업
Sichuan Chem A,155,심천,기초 소재,화학제조
Asia-Pacific Tech A,2540,심천,기초 소재,다종 조립 제품
Keshun Waterproof A,300737,심천,기초 소재,화학제조
Aucksun A,2245,심천,기초 소재,다종 조립 제품
Tibet Huayu Mining,601020,상하이,기초 소재,금속 광업
Jinhua Chemical A,818,심천,기초 소재,화학제조
BaoJi Titanium,600456,상하이,기초 소재,다종 조립 제품
Rainbow Fine Chemical Industry,2256,심천,기초 소재,화학제조
Unifull Fiber A,2427,심천,기초 소재,화학 제품 – 플라스틱과 고무
Hongda,600331,상하이,기초 소재,금속 광업
