Name,Symbol,Exchange,Sector,Industry
Ningbo Yak Tech A,2036,심천,경기 민감형 소비재,직물 – 비의류
항생은행,11,홍콩,금융,저축대부조합/저축은행
Junzheng Energy & Chemical,601216,상하이,기초 소재,화학 제품 – 플라스틱과 고무
Toshiba Plant Systems Services,1983,도쿄,자본재,건설 서비스
Celltrion Pharm,68760,KOSDAQ,보건의료,생물공학 및 약품
Bimbo,BIMBOA,멕시코,소비재/ 경기 방어형,식품 가공
SM Prime,SMPH,필리핀,서비스,부동산 운용
Serial System Ltd,SERL,싱가포르,테크놀로지,반도체
Vanguard Intl Semiconductor,5347,TPEX,테크놀로지,반도체
CCTC,2613,대만,운송,다종 운송
USANA Hlth Sci,USNA,뉴욕,복합기업,복합기업
American Energy,AEPT,OTC Markets,유틸러티,수도 유틸러티
Asian Paints,ASPN,BSE,기초 소재,화학제조
Kamdhenu,KAMI,NSE,기초 소재,철과 철강
Ichor Holdings,ICHR,나스닥,기초 소재,다종 조립 제품
Citizens Financial Services Inc,CZFS,OTC BB,금융,투자 서비스
FMS co Ltd,278990,KONEX,경기 민감형 소비재,자동차와 트럭 부품
