Name,Symbol,Exchange,Code,Sector,Industry,Listing_status,Delisting_date,New_listing_date
Baoshan Iron & Steel,600019,상하이,s01,기초 소재,철과 철강,O,null,null
China Molybdenum A,603993,상하이,s01,기초 소재,금속 광업,O,null,null
Wanhua Chemical,600309,상하이,s01,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Inner Mongolia BaoTou Steel,600010,상하이,s01,기초 소재,철과 철강,O,null,null
Zijin Mining A,601899,상하이,s01,기초 소재,금과 은,O,null,null
Kangdexin A,2450,심천,s01,기초 소재,컨테이너와 포장,O,null,null
Zhejiang Huayou Cobalt,603799,상하이,s01,기초 소재,금속 광업,O,null,null
Aluminum Corp of China,601600,상하이,s01,기초 소재,금속 광업,O,null,null
Tianqi Lithium A,2466,심천,s01,기초 소재,화학제조,O,null,null
Ganfeng Lithium A,2460,심천,s01,기초 소재,금속 광업,O,null,null
Beijing Sanju Environmental,300072,심천,s01,기초 소재,화학제조,O,null,null
Rongsheng A,2493,심천,s01,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Zhejiang Transfar Co Ltd,2010,심천,s01,기초 소재,화학제조,O,null,null
Shandong Gold Mining,600547,상하이,s01,기초 소재,금과 은,O,null,null
Jiangxi Copper A,600362,상하이,s01,기초 소재,금속 광업,O,null,null
China Northern Rare Earth Hi-Tech,600111,상하이,s01,기초 소재,금속 광업,O,null,null
Baiyin Nonferrous,601212,상하이,s01,기초 소재,다종 조립 제품,O,null,null
Angang Steel A,898,심천,s01,기초 소재,철과 철강,O,null,null
Hengyi Petrochem A,703,심천,s01,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Junzheng Energy & Chemical,601216,상하이,s01,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Hubei Biocause Pharmaceutical,627,심천,s01,기초 소재,화학제조,O,null,null
Kingray New Materials,600390,상하이,s01,기초 소재,금속 광업,O,null,null
Billions Chemicl A,2601,심천,s01,기초 소재,화학제조,O,null,null
Zhejiang Sanhua Co Ltd,2050,심천,s01,기초 소재,다종 조립 제품,O,null,null
Hebei Steel A,709,심천,s01,기초 소재,철과 철강,O,null,null
Idc Fluidcontrol A,2468,심천,s01,기초 소재,다종 조립 제품,O,null,null
Jiangsu Zhongtian Tech,600522,상하이,s01,기초 소재,다종 조립 제품,O,null,null
Zhejiang Longsheng,600352,상하이,s01,기초 소재,화학제조,O,null,null
Jiangsu Shagang A,2075,심천,s01,기초 소재,다종 조립 제품,O,null,null
Qinghai Saltlake A,792,심천,s01,기초 소재,비금속 광업,O,null,null
Nanjing Hanruibalt,300618,심천,s01,기초 소재,금속 광업,O,null,null
Sinopec Oilfield,600871,상하이,s01,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Taigang A,825,심천,s01,기초 소재,다종 조립 제품,O,null,null
Hubei Sanonda,200553,심천,s01,기초 소재,화학제조,O,null,null
Hubei Sanonda A,553,심천,s01,기초 소재,화학제조,O,null,null
Yunnan Chihong,600497,상하이,s01,기초 소재,금속 광업,O,null,null
Jinguyuan Hold A,408,심천,s01,기초 소재,금과 은,O,null,null
Zhejiang Supor A,2032,심천,s01,기초 소재,다종 조립 제품,O,null,null
Zhongjin Gold,600489,상하이,s01,기초 소재,금과 은,O,null,null
Shandong Nanshan,600219,상하이,s01,기초 소재,금속 광업,O,null,null
Wuchan Zhongda,600704,상하이,s01,기초 소재,다종 조립 제품,O,null,null
Xiamen Tungsten,600549,상하이,s01,기초 소재,금속 광업,O,null,null
Sun Paper A,2078,심천,s01,기초 소재,종이와 종이 제품,O,null,null
Shandong Chenming Paper,200488,심천,s01,기초 소재,종이와 종이 제품,O,null,null
Chenming Paper A,488,심천,s01,기초 소재,종이와 종이 제품,O,null,null
Tongling Nfm A,630,심천,s01,기초 소재,금속 광업,O,null,null
Fangyuan Slewing A,2147,심천,s01,기초 소재,다종 조립 제품,O,null,null
Kingenta Eco A,2470,심천,s01,기초 소재,화학제조,O,null,null
Shandong Hualu Hengsheng,600426,상하이,s01,기초 소재,화학제조,O,null,null
Pgvt A,629,심천,s01,기초 소재,금속 광업,O,null,null
Kingfa Sci&Tech,600143,상하이,s01,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Yunnan Copper A,878,심천,s01,기초 소재,금속 광업,O,null,null
Western Mining,601168,상하이,s01,기초 소재,금속 광업,O,null,null
Chow Tai Seng Jewellery,2867,심천,s01,기초 소재,다종 조립 제품,O,null,null
Hang Zhou Iron & Steel,600126,상하이,s01,기초 소재,철과 철강,O,null,null
MeiHua Holdings,600873,상하이,s01,기초 소재,화학제조,O,null,null
Tinci Materials A,2709,심천,s01,기초 소재,화학제조,O,null,null
Guangdong Hongteo Accurate Tech,300176,심천,s01,기초 소재,다종 조립 제품,O,null,null
Liuzhou Iron & Steel,601003,상하이,s01,기초 소재,철과 철강,O,null,null
Sinochem International,600500,상하이,s01,기초 소재,화학제조,O,null,null
Sgis A,717,심천,s01,기초 소재,철과 철강,O,null,null
Hongxing Iron & Steel,600307,상하이,s01,기초 소재,철과 철강,O,null,null
Elion Energy,600277,상하이,s01,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Hailiang A,2203,심천,s01,기초 소재,다종 조립 제품,O,null,null
Eagle Mining,600711,상하이,s01,기초 소재,다종 조립 제품,O,null,null
Jiangsu Yangnong Chemical,600486,상하이,s01,기초 소재,화학제조,O,null,null
Hangzhou First PV Material,603806,상하이,s01,기초 소재,조립식 플라스틱과 고무,O,null,null
ENN Ecological,600803,상하이,s01,기초 소재,화학제조,O,null,null
Zhejiang Shenghua Biok,600226,상하이,s01,기초 소재,화학제조,O,null,null
Hainan Mining,601969,상하이,s01,기초 소재,금속 광업,O,null,null
Neway Valve Suzhou,603699,상하이,s01,기초 소재,다종 조립 제품,O,null,null
Jinhe Industrial A,2597,심천,s01,기초 소재,화학제조,O,null,null
Org Packaging A,2701,심천,s01,기초 소재,컨테이너와 포장,O,null,null
Bengang Steel A,761,심천,s01,기초 소재,철과 철강,O,null,null
Bengang Steel Plates,200761,심천,s01,기초 소재,철과 철강,O,null,null
Hexin Industry A,2343,심천,s01,기초 소재,조립식 플라스틱과 고무,O,null,null
Guangdong Kaiping Chunhui Ltd,976,심천,s01,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Bbca A,930,심천,s01,기초 소재,화학제조,O,null,null
Jinneng Science,603113,상하이,s01,기초 소재,화학제조,O,null,null
Yahua Ind A,2497,심천,s01,기초 소재,화학제조,O,null,null
Redsun A,525,심천,s01,기초 소재,화학제조,O,null,null
China Garments A,902,심천,s01,기초 소재,화학제조,O,null,null
Zhejiang Jiahua,600273,상하이,s01,기초 소재,화학제조,O,null,null
Western Region Gold,601069,상하이,s01,기초 소재,금과 은,O,null,null
Cangzhou Dahua,600230,상하이,s01,기초 소재,화학제조,O,null,null
Cefc Anhui Intl,2018,심천,s01,기초 소재,화학제조,O,null,null
Henan Huanghe Whirlwind,600172,상하이,s01,기초 소재,금속 광업,O,null,null
Zhejiang Honglei Copper,2647,심천,s01,기초 소재,다종 조립 제품,O,null,null
Guanfu Co Ltd A,2102,심천,s01,기초 소재,다종 조립 제품,O,null,null
Shangying Global,600146,상하이,s01,기초 소재,조립식 플라스틱과 고무,O,null,null
Zhejiang Tony,603595,상하이,s01,기초 소재,다종 조립 제품,O,null,null
Kingee Culture A,2721,심천,s01,기초 소재,금속 광업,O,null,null
Jianxin Mining A,688,심천,s01,기초 소재,금속 광업,O,null,null
Guanlu A,831,심천,s01,기초 소재,금속 광업,O,null,null
Sh Morn Elec A,2451,심천,s01,기초 소재,다종 조립 제품,O,null,null
Cn Metal Eng A,758,심천,s01,기초 소재,금속 광업,O,null,null
Yiwu Huading Nylon,601113,상하이,s01,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Guangdong Dowstone Tech,300409,심천,s01,기초 소재,화학제조,O,null,null
Dfd Chemical A,2407,심천,s01,기초 소재,화학제조,O,null,null
Minmetals Dev,600058,상하이,s01,기초 소재,다종 조립 제품,O,null,null
Jingui Silver A,2716,심천,s01,기초 소재,금속 광업,O,null,null
Jien Nickel,600432,상하이,s01,기초 소재,화학제조,O,null,null
Befar Group,601678,상하이,s01,기초 소재,화학제조,O,null,null
Hunan Gold Corp,2155,심천,s01,기초 소재,금과 은,O,null,null
Roshow Tech,2617,심천,s01,기초 소재,다종 조립 제품,O,null,null
Yuanxing Energy A,683,심천,s01,기초 소재,화학제조,O,null,null
Ligeance Mineral A,697,심천,s01,기초 소재,금속 광업,O,null,null
